"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Special Education",48,"29.2%","47.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","Non-Special Education",414,"44.9%","67.0%"
"=""2790013""","Amistad Academy District","Special Education",30,"43.3%","57.5%"
"=""2790013""","Amistad Academy District","Non-Special Education",381,"56.2%","77.5%"
"=""0010011""","Andover School District","Special Education","*","*","*"
"=""0010011""","Andover School District","Non-Special Education","*","50.0%","76.8%"
"=""0020011""","Ansonia School District","Special Education",130,"23.8%","46.1%"
"=""0020011""","Ansonia School District","Non-Special Education",673,"37.0%","59.4%"
"=""2440014""","Area Cooperative Educational Services","Special Education",206,"29.1%","49.9%"
"=""2440014""","Area Cooperative Educational Services","Non-Special Education",913,"37.5%","57.0%"
"=""0030011""","Ashford School District","Special Education",20,"50.0%","80.7%"
"=""0030011""","Ashford School District","Non-Special Education",173,"41.0%","55.8%"
"=""0040011""","Avon School District","Special Education",96,"34.4%","55.8%"
"=""0040011""","Avon School District","Non-Special Education",1142,"59.5%","77.9%"
"=""0050011""","Barkhamsted School District","Special Education",21,"23.8%","55.9%"
"=""0050011""","Barkhamsted School District","Non-Special Education",112,"36.6%","68.3%"
"=""0070011""","Berlin School District","Special Education",121,"33.1%","51.5%"
"=""0070011""","Berlin School District","Non-Special Education",965,"46.0%","68.3%"
"=""0080011""","Bethany School District","Special Education",24,"50.0%","72.4%"
"=""0080011""","Bethany School District","Non-Special Education",143,"56.6%","79.7%"
"=""0090011""","Bethel School District","Special Education",102,"47.1%","69.3%"
"=""0090011""","Bethel School District","Non-Special Education",907,"60.0%","80.9%"
"=""0110011""","Bloomfield School District","Special Education",83,"31.3%","51.6%"
"=""0110011""","Bloomfield School District","Non-Special Education",482,"45.4%","67.8%"
"=""0120011""","Bolton School District","Special Education",35,"54.3%","75.5%"
"=""0120011""","Bolton School District","Non-Special Education",254,"50.0%","70.3%"
"=""0130011""","Bozrah School District","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","Non-Special Education",90,"47.8%","75.5%"
"=""0140011""","Branford School District","Special Education",120,"36.7%","57.9%"
"=""0140011""","Branford School District","Non-Special Education",926,"42.3%","63.7%"
"=""2850013""","Bridgeport Achievement First District","Special Education",38,"36.8%","60.8%"
"=""2850013""","Bridgeport Achievement First District","Non-Special Education",384,"61.7%","79.5%"
"=""0150011""","Bridgeport School District","Special Education",946,"28.6%","48.4%"
"=""0150011""","Bridgeport School District","Non-Special Education",5773,"29.2%","51.3%"
"=""0170011""","Bristol School District","Special Education",491,"35.2%","56.1%"
