"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","Female",39,2419,2501,82,"64.1%","87.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","Male",48,2398,2465,66,"50.0%","77.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","Female",39,2419,2476,57,"43.6%","84.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","Male",46,2433,2489,55,"45.7%","73.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","Female",74,2426,2473,47,"35.1%","61.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","Male",57,2408,2459,51,"40.4%","62.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","Female",73,2436,2464,28,"34.2%","54.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","Male",57,2434,2449,16,"35.1%","49.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","Female",61,2474,2533,59,"52.5%","78.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","Male",70,2449,2500,51,"45.7%","70.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","Female",60,2433,2481,48,"55.0%","77.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","Male",70,2426,2474,47,"52.9%","75.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","Female",32,2513,2558,45,"56.3%","70.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","Male",23,2461,2504,43,"34.8%","64.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","Female",32,2470,2484,14,"18.8%","44.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","Male",23,2444,2456,12,"34.8%","48.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","Female",29,2512,2576,65,"62.1%","79.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","Male",32,2529,2583,53,"56.3%","74.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","Female",29,2498,2535,37,"48.3%","66.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","Male",33,2502,2542,40,"57.6%","68.2%"
"=""2790013""","Amistad Academy District",4,"ELA","Female",39,2422,2491,69,"56.4%","77.9%"
