"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","Eligible For Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","Eligible For Lunch",346,"54.3%","75.8%"
"=""2790013""","Amistad Academy District","Not Eligible For Lunch",65,"60.0%","77.5%"
"=""0010011""","Andover School District","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","Not Eligible For Lunch",110,"50.9%","77.2%"
"=""0020011""","Ansonia School District","Eligible For Lunch",572,"34.1%","55.9%"
"=""0020011""","Ansonia School District","Not Eligible For Lunch",231,"36.8%","60.7%"
"=""2440014""","Area Cooperative Educational Services","Eligible For Lunch",726,"31.3%","51.8%"
"=""2440014""","Area Cooperative Educational Services","Not Eligible For Lunch",393,"44.5%","62.8%"
"=""0030011""","Ashford School District","Eligible For Lunch",66,"43.9%","57.1%"
"=""0030011""","Ashford School District","Not Eligible For Lunch",127,"40.9%","59.0%"
"=""0040011""","Avon School District","Eligible For Lunch",63,"25.4%","48.1%"
"=""0040011""","Avon School District","Not Eligible For Lunch",1175,"59.2%","77.7%"
"=""0050011""","Barkhamsted School District","Eligible For Lunch",16,"*","*"
"=""0050011""","Barkhamsted School District","Not Eligible For Lunch",117,"36.8%","69.4%"
"=""0070011""","Berlin School District","Eligible For Lunch",134,"39.6%","59.5%"
"=""0070011""","Berlin School District","Not Eligible For Lunch",952,"45.3%","67.4%"
"=""0080011""","Bethany School District","Eligible For Lunch",13,"*","*"
"=""0080011""","Bethany School District","Not Eligible For Lunch",154,"57.8%","80.8%"
"=""0090011""","Bethel School District","Eligible For Lunch",222,"48.2%","69.8%"
"=""0090011""","Bethel School District","Not Eligible For Lunch",787,"61.6%","82.5%"
"=""0110011""","Bloomfield School District","Eligible For Lunch",303,"42.9%","63.8%"
"=""0110011""","Bloomfield School District","Not Eligible For Lunch",262,"43.9%","67.4%"
"=""0120011""","Bolton School District","Eligible For Lunch",50,"48.0%","69.1%"
"=""0120011""","Bolton School District","Not Eligible For Lunch",239,"51.0%","71.4%"
"=""0130011""","Bozrah School District","Eligible For Lunch",22,"54.5%","82.4%"
"=""0130011""","Bozrah School District","Not Eligible For Lunch",85,"44.7%","70.6%"
"=""0140011""","Branford School District","Eligible For Lunch",262,"35.5%","55.7%"
"=""0140011""","Branford School District","Not Eligible For Lunch",784,"43.8%","65.5%"
"=""2850013""","Bridgeport Achievement First District","Eligible For Lunch",347,"59.1%","77.1%"
"=""2850013""","Bridgeport Achievement First District","Not Eligible For Lunch",75,"61.3%","81.2%"
"=""0150011""","Bridgeport School District","Eligible For Lunch",6719,"29.1%","50.9%"
"=""0170011""","Bristol School District","Eligible For Lunch",1285,"40.5%","63.5%"
"=""0170011""","Bristol School District","Not Eligible For Lunch",1497,"45.1%","67.4%"
"=""0180011""","Brookfield School District","Eligible For Lunch",69,"44.9%","68.0%"
"=""0180011""","Brookfield School District","Not Eligible For Lunch",888,"45.7%","67.9%"
"=""0190011""","Brooklyn School District","Eligible For Lunch",123,"35.8%","56.1%"
"=""0190011""","Brooklyn School District","Not Eligible For Lunch",300,"39.7%","59.9%"
"=""0210011""","Canaan School District","Eligible For Lunch","*","*","*"
"=""0210011""","Canaan School District","Not Eligible For Lunch","*","26.5%","50.3%"
"=""0220011""","Canterbury School District","Eligible For Lunch",72,"38.9%","60.9%"
"=""0220011""","Canterbury School District","Not Eligible For Lunch",176,"46.6%","70.4%"
"=""0230011""","Canton School District","Eligible For Lunch",84,"45.2%","69.7%"
