"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Eligible for Free Lunch",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Eligible for Free Lunch",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Eligible for Free Lunch",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Eligible for Free Lunch",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Eligible for Free Lunch",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District",4,"Eligible for Free Lunch",58,2414,2481,67,"58.6%","87.3%"
"=""2790013""","Amistad Academy District",4,"Not Eligible for Free/Reduced Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Eligible for Reduced Lunch",20,2505,2552,47,"60.0%","84.5%"
"=""2790013""","Amistad Academy District",5,"Eligible for Free Lunch",64,2462,2492,30,"39.1%","64.8%"
"=""2790013""","Amistad Academy District",5,"Not Eligible for Free/Reduced Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Eligible for Reduced Lunch",9,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible for Free Lunch",60,2452,2523,72,"71.7%","87.1%"
"=""2790013""","Amistad Academy District",6,"Not Eligible for Free/Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Eligible for Free Lunch",53,2499,2521,22,"32.1%","55.4%"
"=""2790013""","Amistad Academy District",7,"Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Eligible for Reduced Lunch",14,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Eligible for Free Lunch",45,2483,2540,56,"66.7%","81.0%"
"=""2790013""","Amistad Academy District",8,"Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Not Eligible for Free/Reduced Lunch",31,2467,2518,50,"35.5%","76.1%"
"=""0010011""","Andover School District",5,"Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Not Eligible for Free/Reduced Lunch","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District",6,"Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Not Eligible for Free/Reduced Lunch",41,2553,2592,38,"61.0%","79.2%"
"=""0010011""","Andover School District",6,"Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District",4,"Eligible for Free Lunch",97,2400,2436,35,"21.6%","56.2%"
"=""0020011""","Ansonia School District",4,"Not Eligible for Free/Reduced Lunch",45,2434,2476,42,"24.4%","66.6%"
"=""0020011""","Ansonia School District",4,"Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""0020011""","Ansonia School District",5,"Eligible for Free Lunch",99,2430,2432,2,"17.2%","34.4%"
"=""0020011""","Ansonia School District",5,"Not Eligible for Free/Reduced Lunch",53,2463,2479,16,"32.1%","50.7%"
"=""0020011""","Ansonia School District",5,"Eligible for Reduced Lunch",19,"*","*","*","*","*"
"=""0020011""","Ansonia School District",6,"Eligible for Free Lunch",93,2440,2492,52,"63.4%","83.8%"
