"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","Non-ELL",448,"43.3%","65.2%"
"=""2790013""","Amistad Academy District","ELL",24,"45.8%","62.6%"
"=""2790013""","Amistad Academy District","Non-ELL",387,"55.8%","76.9%"
"=""0010011""","Andover School District","ELL","*","*","*"
"=""0010011""","Andover School District","Non-ELL","*","50.0%","76.1%"
"=""0020011""","Ansonia School District","ELL",8,"*","*"
"=""0020011""","Ansonia School District","Non-ELL",795,"35.0%","57.4%"
"=""2440014""","Area Cooperative Educational Services","ELL",49,"30.6%","51.5%"
"=""2440014""","Area Cooperative Educational Services","Non-ELL",1070,"36.2%","55.9%"
"=""0030011""","Ashford School District","ELL","*","*","*"
"=""0030011""","Ashford School District","Non-ELL","*","41.7%","58.1%"
"=""0040011""","Avon School District","ELL",24,"50.0%","79.3%"
"=""0040011""","Avon School District","Non-ELL",1214,"57.7%","76.1%"
"=""0050011""","Barkhamsted School District","Non-ELL",133,"34.6%","66.4%"
"=""0070011""","Berlin School District","ELL",16,"*","*"
"=""0070011""","Berlin School District","Non-ELL",1070,"44.8%","66.6%"
"=""0080011""","Bethany School District","Non-ELL",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","ELL",24,"45.8%","69.7%"
"=""0090011""","Bethel School District","Non-ELL",985,"59.0%","80.0%"
"=""0110011""","Bloomfield School District","ELL",6,"*","*"
"=""0110011""","Bloomfield School District","Non-ELL",559,"43.5%","65.5%"
"=""0120011""","Bolton School District","Non-ELL",289,"50.5%","71.0%"
"=""0130011""","Bozrah School District","ELL","*","*","*"
"=""0130011""","Bozrah School District","Non-ELL","*","47.2%","73.1%"
"=""0140011""","Branford School District","ELL",20,"60.0%","80.2%"
"=""0140011""","Branford School District","Non-ELL",1026,"41.3%","62.7%"
"=""2850013""","Bridgeport Achievement First District","ELL",45,"62.2%","79.3%"
"=""2850013""","Bridgeport Achievement First District","Non-ELL",377,"59.2%","77.6%"
"=""0150011""","Bridgeport School District","ELL",850,"32.0%","51.7%"
"=""0150011""","Bridgeport School District","Non-ELL",5869,"28.7%","50.7%"
"=""0170011""","Bristol School District","ELL",95,"42.1%","73.2%"
"=""0170011""","Bristol School District","Non-ELL",2687,"43.0%","65.3%"
"=""0180011""","Brookfield School District","ELL",15,"*","*"
"=""0180011""","Brookfield School District","Non-ELL",942,"45.5%","67.8%"
"=""0190011""","Brooklyn School District","ELL","*","*","*"
"=""0190011""","Brooklyn School District","Non-ELL","*","38.6%","58.7%"
"=""0210011""","Canaan School District","ELL","*","*","*"
"=""0210011""","Canaan School District","Non-ELL","*","21.6%","44.8%"
"=""0220011""","Canterbury School District","Non-ELL",248,"44.4%","67.6%"
"=""0230011""","Canton School District","ELL","*","*","*"
"=""0230011""","Canton School District","Non-ELL","*","55.1%","76.4%"
"=""2970013""","Capital Preparatory Harbor School Inc. District","Non-ELL",87,"13.8%","31.6%"
"=""2410014""","Capitol Region Education Council","ELL",101,"27.7%","52.1%"
"=""2410014""","Capitol Region Education Council","Non-ELL",2411,"37.7%","58.7%"
"=""0240011""","Chaplin School District","Non-ELL",42,"31.0%","43.8%"
"=""0250011""","Cheshire School District","ELL",8,"*","*"
"=""0250011""","Cheshire School District","Non-ELL",1681,"53.2%","73.0%"
"=""0260011""","Chester School District","Non-ELL",100,"55.0%","74.4%"
"=""0270011""","Clinton School District","ELL",12,"*","*"
"=""0270011""","Clinton School District","Non-ELL",715,"48.3%","69.5%"
"=""0280011""","Colchester School District","ELL",11,"*","*"
"=""0280011""","Colchester School District","Non-ELL",924,"42.5%","61.7%"
"=""0290011""","Colebrook School District","Non-ELL",31,"35.5%","62.7%"
"=""0300011""","Columbia School District","Non-ELL",227,"37.4%","60.9%"
"=""2430014""","Cooperative Educational Services","ELL","*","*","*"
"=""2430014""","Cooperative Educational Services","Non-ELL","*","37.2%","57.6%"
"=""0310011""","Cornwall School District","Non-ELL",45,"46.7%","65.7%"
"=""0320011""","Coventry School District","Non-ELL",605,"52.1%","75.4%"
"=""0330011""","Cromwell School District","ELL",14,"*","*"
"=""0330011""","Cromwell School District","Non-ELL",738,"38.2%","59.1%"
"=""0340011""","Danbury School District","ELL",631,"45.6%","67.5%"
"=""0340011""","Danbury School District","Non-ELL",3103,"42.2%","63.9%"
"=""0350011""","Darien School District","ELL","*","*","*"
"=""0350011""","Darien School District","Non-ELL","*","68.2%","86.1%"
"=""0360011""","Deep River School District","ELL","*","*","*"
"=""0360011""","Deep River School District","Non-ELL","*","51.0%","73.4%"
"=""0370011""","Derby School District","ELL",10,"*","*"
"=""0370011""","Derby School District","Non-ELL",510,"23.3%","45.6%"
"=""0400011""","East Granby School District","ELL","*","*","*"
"=""0400011""","East Granby School District","Non-ELL","*","50.2%","70.5%"
"=""0410011""","East Haddam School District","Non-ELL",392,"32.4%","52.4%"
"=""0420011""","East Hampton School District","ELL","*","*","*"
"=""0420011""","East Hampton School District","Non-ELL","*","34.5%","55.0%"
"=""0430011""","East Hartford School District","ELL",192,"27.1%","46.9%"
"=""0430011""","East Hartford School District","Non-ELL",2003,"26.7%","48.2%"
"=""0440011""","East Haven School District","ELL",84,"44.0%","62.7%"
"=""0440011""","East Haven School District","Non-ELL",975,"37.1%","60.8%"
"=""0450011""","East Lyme School District","ELL",11,"*","*"
"=""0450011""","East Lyme School District","Non-ELL",946,"50.6%","70.9%"
"=""0470011""","East Windsor School District","ELL",10,"*","*"
"=""0470011""","East Windsor School District","Non-ELL",337,"33.2%","56.6%"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"=""2530014""","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","24.0%","41.8%"
"=""0390011""","Eastford School District","Non-ELL",67,"47.8%","68.6%"
"=""0460011""","Easton School District","ELL","*","*","*"
"=""0460011""","Easton School District","Non-ELL","*","66.7%","86.3%"
"=""2420014""","EdAdvance","Non-ELL","*","*","*"
"=""0480011""","Ellington School District","ELL",7,"*","*"
"=""0480011""","Ellington School District","Non-ELL",1007,"47.5%","69.8%"
"=""2890013""","Elm City College Preparatory School District","ELL",9,"*","*"
"=""2890013""","Elm City College Preparatory School District","Non-ELL",301,"46.8%","68.0%"
"=""0490011""","Enfield School District","ELL",21,"19.0%","40.6%"
"=""0490011""","Enfield School District","Non-ELL",1688,"34.5%","58.4%"
"=""0500011""","Essex School District","ELL","*","*","*"
"=""0500011""","Essex School District","Non-ELL","*","59.4%","82.3%"
"=""0510011""","Fairfield School District","ELL",57,"33.3%","54.4%"
"=""0510011""","Fairfield School District","Non-ELL",3738,"49.3%","70.8%"
"=""0520011""","Farmington School District","ELL",20,"60.0%","83.1%"
"=""0520011""","Farmington School District","Non-ELL",1499,"64.7%","84.2%"
"=""0530011""","Franklin School District","Non-ELL",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","ELL",12,"*","*"
"=""0540011""","Glastonbury School District","Non-ELL",2301,"57.6%","77.8%"
"=""0560011""","Granby School District","ELL","*","*","*"
"=""0560011""","Granby School District","Non-ELL","*","51.4%","72.8%"
"=""2940013""","Great Oaks Charter School District","ELL",28,"57.1%","75.7%"
"=""2940013""","Great Oaks Charter School District","Non-ELL",175,"42.9%","60.7%"
"=""0570011""","Greenwich School District","ELL",107,"55.1%","75.9%"
"=""0570011""","Greenwich School District","Non-ELL",2953,"55.8%","74.0%"
"=""0580011""","Griswold School District","ELL","*","*","*"
"=""0580011""","Griswold School District","Non-ELL","*","50.1%","70.3%"
"=""0590011""","Groton School District","ELL",39,"43.6%","61.6%"
"=""0590011""","Groton School District","Non-ELL",1373,"45.5%","65.5%"
"=""0600011""","Guilford School District","ELL",14,"*","*"
"=""0600011""","Guilford School District","Non-ELL",1288,"58.1%","78.1%"
"=""0620011""","Hamden School District","ELL",64,"45.3%","65.0%"
"=""0620011""","Hamden School District","Non-ELL",1769,"35.7%","56.2%"
"=""0630011""","Hampton School District","Non-ELL",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","ELL",1059,"33.2%","56.2%"
"=""0640011""","Hartford School District","Non-ELL",5851,"33.9%","55.7%"
"=""0650011""","Hartland School District","Non-ELL",104,"60.6%","82.4%"
"=""0670011""","Hebron School District","Non-ELL",342,"56.7%","82.2%"
"=""2860013""","Highville Charter School District","Non-ELL",181,"47.0%","67.9%"
"=""2640013""","Integrated Day Charter School District","ELL",6,"*","*"
"=""2640013""","Integrated Day Charter School District","Non-ELL",148,"42.6%","63.8%"
"=""2650013""","Interdistrict School for Arts and Comm District","ELL",25,"24.0%","43.6%"
"=""2650013""","Interdistrict School for Arts and Comm District","Non-ELL",227,"18.1%","31.8%"
"=""2610013""","Jumoke Academy District","Non-ELL",326,"35.3%","55.7%"
"=""0680011""","Kent School District","ELL","*","*","*"
"=""0680011""","Kent School District","Non-ELL","*","52.8%","70.5%"
"=""0690011""","Killingly School District","ELL",21,"33.3%","65.0%"
