"Five-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",23,20,87.0,"*","*","*","*"
"Ansonia School District",210,173,82.4,10,4.8,27,12.9
"Avon School District",263,257,97.7,"*","*","*","*"
"Berlin School District",263,253,96.2,"*","*","*","*"
"Bethel School District",233,222,95.3,"*","*","*","*"
"Bloomfield School District",161,151,93.8,"*","*","*","*"
"Bolton School District",82,79,96.3,"*","*","*","*"
"Branford School District",271,253,93.4,6,2.2,12,4.4
"Bridgeport School District",1218,885,72.7,26,2.1,307,25.2
"Bristol School District",629,536,85.2,18,2.9,75,11.9
"Brookfield School District",240,234,97.5,"*","*","*","*"
"Canton School District",124,122,98.4,"*","*","*","*"
"Capitol Region Education Council",253,216,85.4,11,4.3,26,10.3
"Cheshire School District",384,368,95.8,9,2.3,7,1.8
"Clinton School District",145,131,90.3,"*","*","*","*"
"Colchester School District",254,241,94.9,7,2.8,6,2.4
"Common Ground High School District",38,36,94.7,"*","*","*","*"
"Connecticut Technical High School System",2473,2399,97.0,"*","*","*","*"
"Coventry School District",138,125,90.6,"*","*","*","*"
"Cromwell School District",142,134,94.4,"*","*","*","*"
"Danbury School District",775,645,83.2,25,3.2,105,13.5
"Darien School District",316,308,97.5,"*","*","*","*"
"Department of Mental Health and Addiction Services","*","*","*","*","*","*","*"
"Derby School District",87,70,80.5,"*","*","*","*"
"East Granby School District",71,67,94.4,"*","*","*","*"
"East Haddam School District",99,96,97.0,"*","*","*","*"
"East Hampton School District",132,127,96.2,"*","*","*","*"
"East Hartford School District",546,456,83.5,12,2.2,78,14.3
"East Haven School District",246,187,76.0,8,3.3,51,20.7
"East Lyme School District",310,295,95.2,"*","*","*","*"
"East Windsor School District",95,82,86.3,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",71,60,84.5,"*","*","*","*"
"Ellington School District",198,187,94.4,"*","*","*","*"
"Elm City College Preparatory School District",13,10,76.9,"*","*","*","*"
"Enfield School District",443,400,90.3,7,1.6,36,8.1
"Explorations District",30,21,70.0,"*","*","*","*"
"Fairfield School District",705,665,94.3,20,2.8,20,2.8
"Farmington School District",326,315,96.6,"*","*","*","*"
"Glastonbury School District",551,537,97.5,6,1.1,6,1.1
"Granby School District",198,192,97.0,"*","*","*","*"
"Greenwich School District",691,667,96.5,13,1.9,11,1.6
"Griswold School District",168,152,90.5,"*","*","*","*"
"Groton School District",327,272,83.2,13,4.0,42,12.8
"Guilford School District",280,265,94.6,"*","*","*","*"
"Hamden School District",450,403,89.6,14,3.1,33,7.3
"Hartford School District",1442,1098,76.1,36,2.5,307,21.3
"Killingly School District",225,175,77.8,12,5.3,38,16.9
"Learn",42,39,92.9,"*","*","*","*"
"Lebanon School District",118,111,94.1,"*","*","*","*"
"Ledyard School District",231,209,90.5,9,3.9,13,5.6
"Lisbon School District",6,"*","*","*","*","*","*"
"Litchfield School District",89,87,97.8,"*","*","*","*"
"Madison School District",316,315,99.7,"*","*","*","*"
"Manchester School District",473,386,81.6,13,2.7,74,15.6
"Meriden School District",626,464,74.1,25,4.0,137,21.9
"Middletown School District",376,318,84.6,9,2.4,49,13.0
"Milford School District",523,467,89.3,31,5.9,25,4.8
"Monroe School District",309,304,98.4,"*","*","*","*"
"Montville School District",188,165,87.8,8,4.3,15,8.0
"Naugatuck School District",333,273,82.0,14,4.2,46,13.8
"New Britain School District",651,433,66.5,32,4.9,186,28.6
"New Canaan School District",339,332,97.9,"*","*","*","*"
"New Fairfield School District",258,249,96.5,"*","*","*","*"
"New Haven School District",1309,994,75.9,34,2.6,281,21.5
"New London School District",258,174,67.4,11,4.3,72,27.9
"New Milford School District",389,347,89.2,9,2.3,33,8.5
"Newington School District",375,344,91.7,6,1.6,25,6.7
"Newtown School District",471,453,96.2,"*","*","*","*"
"North Branford School District",170,164,96.5,"*","*","*","*"
"North Haven School District",312,284,91.0,6,1.9,22,7.1
"North Stonington School District",48,46,95.8,"*","*","*","*"
"Norwalk School District",781,680,87.1,6,0.8,95,12.2
"Norwich Free Academy District",594,500,84.2,31,5.2,63,10.6
"Old Saybrook School District",139,132,95.0,"*","*","*","*"
"Oxford School District",155,151,97.4,"*","*","*","*"
"Plainfield School District",201,176,87.6,10,5.0,15,7.5
"Plainville School District",207,187,90.3,7,3.4,13,6.3
"Plymouth School District",128,112,87.5,"*","*","*","*"
"Portland School District",93,81,87.1,"*","*","*","*"
"Putnam School District",97,85,87.6,"*","*","*","*"
"Regional School District 01",109,101,92.7,"*","*","*","*"
"Regional School District 04",162,155,95.7,"*","*","*","*"
"Regional School District 05",396,381,96.2,"*","*","*","*"
"Regional School District 06",97,93,95.9,"*","*","*","*"
"Regional School District 07",193,187,96.9,"*","*","*","*"
"Regional School District 08",284,266,93.7,7,2.5,11,3.9
"Regional School District 09",238,229,96.2,"*","*","*","*"
"Regional School District 10",198,188,94.9,"*","*","*","*"
"Regional School District 11",44,38,86.4,"*","*","*","*"
"Regional School District 12",90,80,88.9,"*","*","*","*"
"Regional School District 13",157,144,91.7,"*","*","*","*"
"Regional School District 14",202,189,93.6,"*","*","*","*"
"Regional School District 15",319,310,97.2,"*","*","*","*"
"Regional School District 16",186,170,91.4,"*","*","*","*"
"Regional School District 17",164,159,97.0,"*","*","*","*"
"Regional School District 18",113,109,96.5,"*","*","*","*"
"Regional School District 19",314,291,92.7,9,2.9,14,4.5
"Ridgefield School District",414,404,97.6,"*","*","*","*"
"Rocky Hill School District",177,165,93.2,"*","*","*","*"
"Seymour School District",180,159,88.3,7,3.9,14,7.8
"Shelton School District",394,363,92.1,6,1.5,25,6.3
"Simsbury School District",400,392,98.0,"*","*","*","*"
"Somers School District",147,143,97.3,"*","*","*","*"
"South Windsor School District",386,371,96.1,"*","*","*","*"
"Southington School District",488,463,94.9,"*","*","*","*"
"Stafford School District",129,116,89.9,"*","*","*","*"
"Stamford Academy District",36,16,44.4,8,22.2,12,33.3
"Stamford School District",1211,1110,91.7,13,1.1,88,7.3
"Stonington School District",201,194,96.5,"*","*","*","*"
"Stratford School District",560,513,91.6,13,2.3,34,6.1
"Suffield School District",219,207,94.5,"*","*","*","*"
"The Bridge Academy District",36,34,94.4,"*","*","*","*"
