"Five-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education",27,17,63.0,"*","*","*","*"
"Ansonia School District","Non-Special Education",166,132,79.5,"*","*",33,19.9
"Ansonia School District","Special Education",22,12,54.5,"*","*",6,27.3
"Avon School District","Non-Special Education",230,225,97.8,"*","*","*","*"
"Avon School District","Special Education",25,25,100.0,"*","*","*","*"
"Berlin School District","Non-Special Education",232,222,95.7,"*","*","*","*"
"Berlin School District","Special Education",29,26,89.7,"*","*","*","*"
"Bethel School District","Non-Special Education",223,217,97.3,"*","*","*","*"
"Bethel School District","Special Education",27,19,70.4,"*","*","*","*"
"Bloomfield School District","Non-Special Education",156,134,85.9,"*","*","*","*"
"Bloomfield School District","Special Education",27,19,70.4,"*","*","*","*"
"Bolton School District","Non-Special Education","*","*","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*","*","*"
"Branford School District","Non-Special Education",248,241,97.2,"*","*","*","*"
"Branford School District","Special Education",36,28,77.8,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1245,849,68.2,21,1.7,375,30.1
"Bridgeport School District","Special Education",179,77,43.0,23,12.8,79,44.1
"Bristol School District","Non-Special Education",629,527,83.8,8,1.3,94,14.9
"Bristol School District","Special Education",76,58,76.3,6,7.9,12,15.8
"Brookfield School District","Non-Special Education",253,244,96.4,"*","*","*","*"
"Brookfield School District","Special Education",11,10,90.9,"*","*","*","*"
"Canton School District","Non-Special Education",103,99,96.1,"*","*","*","*"
"Canton School District","Special Education",17,15,88.2,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",273,242,88.6,"*","*","*","*"
"Capitol Region Education Council","Special Education",28,19,67.9,"*","*","*","*"
"Cheshire School District","Non-Special Education",334,330,98.8,"*","*","*","*"
"Cheshire School District","Special Education",41,34,82.9,"*","*","*","*"
"Clinton School District","Non-Special Education",126,120,95.2,"*","*","*","*"
"Clinton School District","Special Education",19,18,94.7,"*","*","*","*"
"Colchester School District","Non-Special Education",224,214,95.5,"*","*","*","*"
"Colchester School District","Special Education",27,24,88.9,"*","*","*","*"
"Common Ground High School District","Non-Special Education",30,27,90.0,"*","*","*","*"
"Common Ground High School District","Special Education",8,6,75.0,"*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2148,2023,94.2,"*","*",124,5.8
"Connecticut Technical High School System","Special Education",184,175,95.1,"*","*",9,4.9
