"Five-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female","*","*","*","*","*","*","*"
"Amistad Academy District","Male","*","*","*","*","*","*","*"
"Ansonia School District","Female",98,86,87.8,"*","*",12,12.2
"Ansonia School District","Male",102,79,77.5,"*","*",21,20.6
"Avon School District","Female",140,139,99.3,"*","*","*","*"
"Avon School District","Male",143,138,96.5,"*","*","*","*"
"Berlin School District","Female",144,143,99.3,"*","*","*","*"
"Berlin School District","Male",114,109,95.6,"*","*","*","*"
"Bethel School District","Female",127,124,97.6,"*","*","*","*"
"Bethel School District","Male",110,105,95.5,"*","*","*","*"
"Bloomfield School District","Female",102,89,87.3,"*","*","*","*"
"Bloomfield School District","Male",91,83,91.2,"*","*","*","*"
"Bolton School District","Female",37,35,94.6,"*","*","*","*"
"Bolton School District","Male",33,32,97.0,"*","*","*","*"
"Branford School District","Female",129,124,96.1,"*","*","*","*"
"Branford School District","Male",130,120,92.3,"*","*","*","*"
"Bridgeport School District","Female",631,482,76.4,7,1.1,142,22.5
"Bridgeport School District","Male",635,416,65.5,13,2.0,205,32.3
"Bristol School District","Female",318,285,89.6,"*","*",30,9.4
"Bristol School District","Male",310,273,88.1,"*","*",34,11.0
"Brookfield School District","Female",140,138,98.6,"*","*","*","*"
"Brookfield School District","Male",114,112,98.2,"*","*","*","*"
"Canton School District","Female",61,61,100.0,"*","*","*","*"
"Canton School District","Male",57,55,96.5,"*","*","*","*"
"Capitol Region Education Council","Female",170,148,87.1,"*","*",20,11.8
"Capitol Region Education Council","Male",163,125,76.7,"*","*",30,18.4
"Cheshire School District","Female",199,193,97.0,"*","*","*","*"
"Cheshire School District","Male",209,206,98.6,"*","*","*","*"
"Clinton School District","Female",60,56,93.3,"*","*","*","*"
"Clinton School District","Male",61,58,95.1,"*","*","*","*"
"Colchester School District","Female",138,136,98.6,"*","*","*","*"
"Colchester School District","Male",105,101,96.2,"*","*","*","*"
"Common Ground High School District","Female",12,12,100.0,"*","*","*","*"
"Common Ground High School District","Male",18,17,94.4,"*","*","*","*"
"Connecticut Technical High School System","Female",954,916,96.0,"*","*",38,4.0
"Connecticut Technical High School System","Male",1577,1529,97.0,"*","*",48,3.0
"Coventry School District","Female",69,65,94.2,"*","*","*","*"
"Coventry School District","Male",81,73,90.1,"*","*","*","*"
"Cromwell School District","Female",74,71,95.9,"*","*","*","*"
"Cromwell School District","Male",77,69,89.6,"*","*","*","*"
"Danbury School District","Female",392,342,87.2,"*","*",45,11.5
"Danbury School District","Male",362,296,81.8,"*","*",60,16.6
"Darien School District","Female",162,158,97.5,"*","*","*","*"
"Darien School District","Male",149,144,96.6,"*","*","*","*"
"Derby School District","Female",52,42,80.8,"*","*",10,19.2
"Derby School District","Male",60,47,78.3,"*","*",12,20.0
"East Granby School District","Female",31,30,96.8,"*","*","*","*"
"East Granby School District","Male",29,28,96.6,"*","*","*","*"
"East Haddam School District","Female",58,55,94.8,"*","*","*","*"
"East Haddam School District","Male",45,41,91.1,"*","*","*","*"
"East Hampton School District","Female",76,75,98.7,"*","*","*","*"
"East Hampton School District","Male",88,81,92.0,"*","*","*","*"
"East Hartford School District","Female",290,247,85.2,"*","*",39,13.4
"East Hartford School District","Male",289,234,81.0,"*","*",49,17.0
"East Haven School District","Female",118,97,82.2,"*","*",19,16.1
"East Haven School District","Male",107,75,70.1,"*","*",31,29.0
"East Lyme School District","Female",159,153,96.2,"*","*",6,3.8
"East Lyme School District","Male",143,131,91.6,"*","*",7,4.9
"East Windsor School District","Female",46,41,89.1,"*","*","*","*"
"East Windsor School District","Male",42,38,90.5,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",47,39,83.0,"*","*",8,17.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",38,31,81.6,"*","*",7,18.4
"Ellington School District","Female",96,90,93.8,"*","*","*","*"
"Ellington School District","Male",104,95,91.3,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,9,90.0,"*","*","*","*"
"Elm City College Preparatory School District","Male",9,7,77.8,"*","*","*","*"
"Enfield School District","Female",254,231,90.9,"*","*",18,7.1
"Enfield School District","Male",259,216,83.4,"*","*",38,14.7
"Explorations District","Female",20,"*","*","*","*","*","*"
"Explorations District","Male",9,"*","*","*","*","*","*"
"Fairfield School District","Female",385,373,96.9,"*","*",11,2.9
"Fairfield School District","Male",307,294,95.8,"*","*",10,3.3
"Farmington School District","Female",153,149,97.4,"*","*","*","*"
"Farmington School District","Male",152,143,94.1,"*","*","*","*"
"Glastonbury School District","Female",247,245,99.2,"*","*","*","*"
"Glastonbury School District","Male",266,254,95.5,"*","*","*","*"
"Granby School District","Female",97,95,97.9,"*","*","*","*"
"Granby School District","Male",91,90,98.9,"*","*","*","*"
"Greenwich School District","Female",314,305,97.1,"*","*",8,2.5
"Greenwich School District","Male",328,307,93.6,"*","*",17,5.2
"Griswold School District","Female",86,77,89.5,"*","*",8,9.3
"Griswold School District","Male",100,86,86.0,"*","*",13,13.0
"Groton School District","Female",170,135,79.4,"*","*",32,18.8
"Groton School District","Male",177,151,85.3,"*","*",22,12.4
"Guilford School District","Female",149,147,98.7,"*","*","*","*"
"Guilford School District","Male",137,135,98.5,"*","*","*","*"
"Hamden School District","Female",257,231,89.9,"*","*",22,8.6
"Hamden School District","Male",259,229,88.4,"*","*",25,9.7
"Hartford School District","Female",692,529,76.4,11,1.6,152,22.0
"Hartford School District","Male",703,504,71.7,11,1.6,188,26.7
"Killingly School District","Female",90,79,87.8,"*","*",11,12.2
"Killingly School District","Male",95,76,80.0,"*","*",17,17.9
"Lebanon School District","Female",67,63,94.0,"*","*","*","*"
"Lebanon School District","Male",62,54,87.1,"*","*","*","*"
"Ledyard School District","Female",114,107,93.9,"*","*","*","*"
"Ledyard School District","Male",96,89,92.7,"*","*","*","*"
"Lisbon School District","Female","*","*","*","*","*","*","*"
"Lisbon School District","Male","*","*","*","*","*","*","*"
"Litchfield School District","Female",51,50,98.0,"*","*","*","*"
"Litchfield School District","Male",52,51,98.1,"*","*","*","*"
"Madison School District","Female",174,171,98.3,"*","*","*","*"
"Madison School District","Male",161,157,97.5,"*","*","*","*"
"Manchester School District","Female",252,208,82.5,"*","*",41,16.3
"Manchester School District","Male",260,197,75.8,"*","*",59,22.7
"Meriden School District","Female",332,251,75.6,"*","*",78,23.5
"Meriden School District","Male",291,211,72.5,"*","*",70,24.1
"Middletown School District","Female",180,150,83.3,"*","*",27,15.0
"Middletown School District","Male",161,135,83.9,"*","*",21,13.0
"Milford School District","Female",253,236,93.3,"*","*",14,5.5
"Milford School District","Male",258,229,88.8,"*","*",22,8.5
"Monroe School District","Female",156,154,98.7,"*","*","*","*"
"Monroe School District","Male",183,182,99.5,"*","*","*","*"
"Montville School District","Female",107,96,89.7,"*","*",10,9.3
"Montville School District","Male",114,97,85.1,"*","*",17,14.9
"Naugatuck School District","Female",181,164,90.6,"*","*",15,8.3
"Naugatuck School District","Male",188,155,82.4,"*","*",32,17.0
"New Britain School District","Female",332,232,69.9,"*","*",97,29.2
"New Britain School District","Male",336,221,65.8,"*","*",104,31.0
"New Canaan School District","Female",176,176,100.0,"*","*","*","*"
"New Canaan School District","Male",154,152,98.7,"*","*","*","*"
"New Fairfield School District","Female",130,127,97.7,"*","*","*","*"
"New Fairfield School District","Male",102,101,99.0,"*","*","*","*"
"New Haven School District","Female",742,586,79.0,11,1.5,145,19.5
"New Haven School District","Male",587,414,70.5,8,1.4,165,28.1
"New London School District","Female",105,74,70.5,"*","*",28,26.7
"New London School District","Male",135,91,67.4,"*","*",41,30.4
"New Milford School District","Female",181,172,95.0,"*","*",9,5.0
"New Milford School District","Male",210,190,90.5,"*","*",16,7.6
"Newington School District","Female",156,151,96.8,"*","*","*","*"
"Newington School District","Male",179,157,87.7,"*","*","*","*"
"Newtown School District","Female",198,191,96.5,"*","*","*","*"
"Newtown School District","Male",206,197,95.6,"*","*","*","*"
"North Branford School District","Female",88,80,90.9,"*","*","*","*"
"North Branford School District","Male",74,67,90.5,"*","*","*","*"
"North Haven School District","Female",147,139,94.6,"*","*",6,4.1
"North Haven School District","Male",144,134,93.1,"*","*",6,4.2
"North Stonington School District","Female",19,19,100.0,"*","*","*","*"
"North Stonington School District","Male",35,29,82.9,"*","*","*","*"
"Norwalk School District","Female",451,410,90.9,"*","*",38,8.4
"Norwalk School District","Male",421,355,84.3,"*","*",65,15.4
"Norwich Free Academy District","Female",350,314,89.7,"*","*",34,9.7
"Norwich Free Academy District","Male",286,244,85.3,"*","*",41,14.3
"Norwich School District","Female",34,12,35.3,"*","*",22,64.7
"Norwich School District","Male",36,11,30.6,"*","*",21,58.3
"Old Saybrook School District","Female",78,77,98.7,"*","*","*","*"
"Old Saybrook School District","Male",66,64,97.0,"*","*","*","*"
"Oxford School District","Female",69,64,92.8,"*","*","*","*"
"Oxford School District","Male",77,70,90.9,"*","*","*","*"
"Plainfield School District","Female",93,84,90.3,"*","*",7,7.5
"Plainfield School District","Male",108,95,88.0,"*","*",12,11.1
"Plainville School District","Female",106,96,90.6,"*","*","*","*"
"Plainville School District","Male",99,96,97.0,"*","*","*","*"
"Plymouth School District","Female",69,58,84.1,"*","*","*","*"
"Plymouth School District","Male",70,64,91.4,"*","*","*","*"
"Portland School District","Female",40,37,92.5,"*","*","*","*"
"Portland School District","Male",50,47,94.0,"*","*","*","*"
"Putnam School District","Female",31,28,90.3,"*","*","*","*"
"Putnam School District","Male",38,33,86.8,"*","*","*","*"
"Regional School District 01","Female",62,61,98.4,"*","*","*","*"
"Regional School District 01","Male",78,72,92.3,"*","*","*","*"
"Regional School District 04","Female",81,78,96.3,"*","*","*","*"
"Regional School District 04","Male",78,70,89.7,"*","*","*","*"
"Regional School District 05","Female",214,210,98.1,"*","*","*","*"
"Regional School District 05","Male",220,213,96.8,"*","*","*","*"
"Regional School District 06","Female",55,53,96.4,"*","*","*","*"
"Regional School District 06","Male",32,30,93.8,"*","*","*","*"
"Regional School District 07","Female",114,106,93.0,"*","*","*","*"
"Regional School District 07","Male",89,84,94.4,"*","*","*","*"
"Regional School District 08","Female",140,137,97.9,"*","*","*","*"
"Regional School District 08","Male",156,142,91.0,"*","*","*","*"
"Regional School District 09","Female",126,124,98.4,"*","*","*","*"
"Regional School District 09","Male",113,109,96.5,"*","*","*","*"
"Regional School District 10","Female",110,107,97.3,"*","*","*","*"
"Regional School District 10","Male",119,117,98.3,"*","*","*","*"
"Regional School District 11","Female",16,15,93.8,"*","*","*","*"
"Regional School District 11","Male",27,27,100.0,"*","*","*","*"
"Regional School District 12","Female",32,29,90.6,"*","*","*","*"
"Regional School District 12","Male",42,35,83.3,"*","*","*","*"
"Regional School District 13","Female",73,71,97.3,"*","*","*","*"
"Regional School District 13","Male",69,67,97.1,"*","*","*","*"
"Regional School District 14","Female",105,104,99.0,"*","*","*","*"
"Regional School District 14","Male",91,88,96.7,"*","*","*","*"
"Regional School District 15","Female",164,163,99.4,"*","*","*","*"
"Regional School District 15","Male",163,151,92.6,"*","*","*","*"
"Regional School District 16","Female",96,91,94.8,"*","*","*","*"
"Regional School District 16","Male",99,95,96.0,"*","*","*","*"
"Regional School District 17","Female",91,87,95.6,"*","*","*","*"
"Regional School District 17","Male",98,92,93.9,"*","*","*","*"
"Regional School District 18","Female",44,42,95.5,"*","*","*","*"
"Regional School District 18","Male",60,60,100.0,"*","*","*","*"
"Regional School District 19","Female",161,151,93.8,"*","*",10,6.2
"Regional School District 19","Male",141,124,87.9,"*","*",14,9.9
"Ridgefield School District","Female",209,208,99.5,"*","*","*","*"
"Ridgefield School District","Male",234,232,99.1,"*","*","*","*"
"Rocky Hill School District","Female",98,94,95.9,"*","*","*","*"
"Rocky Hill School District","Male",111,102,91.9,"*","*","*","*"
"Seymour School District","Female",77,72,93.5,"*","*","*","*"
"Seymour School District","Male",76,67,88.2,"*","*","*","*"
"Shelton School District","Female",217,204,94.0,"*","*",12,5.5
"Shelton School District","Male",210,196,93.3,"*","*",12,5.7
"Simsbury School District","Female",186,183,98.4,"*","*","*","*"
"Simsbury School District","Male",221,216,97.7,"*","*","*","*"
"Somers School District","Female",72,71,98.6,"*","*","*","*"
"Somers School District","Male",69,66,95.7,"*","*","*","*"
