"Five-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Non-Special Education",186,153,82.3,"*","*","*","*"
"Ansonia School District","Special Education",24,20,83.3,"*","*","*","*"
"Avon School District","Non-Special Education",230,228,99.1,"*","*","*","*"
"Avon School District","Special Education",33,29,87.9,"*","*","*","*"
"Berlin School District","Non-Special Education",239,232,97.1,"*","*","*","*"
"Berlin School District","Special Education",24,21,87.5,"*","*","*","*"
"Bethel School District","Non-Special Education",212,208,98.1,"*","*","*","*"
"Bethel School District","Special Education",21,14,66.7,"*","*","*","*"
"Bloomfield School District","Non-Special Education",143,135,94.4,"*","*","*","*"
"Bloomfield School District","Special Education",18,16,88.9,"*","*","*","*"
"Bolton School District","Non-Special Education",70,69,98.6,"*","*","*","*"
"Bolton School District","Special Education",12,10,83.3,"*","*","*","*"
"Branford School District","Non-Special Education",238,225,94.5,"*","*","*","*"
"Branford School District","Special Education",33,28,84.8,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1046,788,75.3,8,0.8,250,23.9
"Bridgeport School District","Special Education",172,97,56.4,18,10.5,57,33.1
"Bristol School District","Non-Special Education",531,466,87.8,8,1.5,57,10.7
"Bristol School District","Special Education",98,70,71.4,10,10.2,18,18.4
"Brookfield School District","Non-Special Education",225,221,98.2,"*","*","*","*"
"Brookfield School District","Special Education",15,13,86.7,"*","*","*","*"
"Canton School District","Non-Special Education",106,106,100.0,"*","*","*","*"
"Canton School District","Special Education",18,16,88.9,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",218,195,89.4,"*","*","*","*"
"Capitol Region Education Council","Special Education",35,21,60.0,"*","*","*","*"
"Cheshire School District","Non-Special Education",326,320,98.2,"*","*","*","*"
"Cheshire School District","Special Education",58,48,82.8,"*","*","*","*"
"Clinton School District","Non-Special Education",121,114,94.2,"*","*","*","*"
"Clinton School District","Special Education",24,17,70.8,"*","*","*","*"
"Colchester School District","Non-Special Education",225,217,96.4,"*","*","*","*"
"Colchester School District","Special Education",29,24,82.8,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2264,2194,96.9,"*","*","*","*"
"Connecticut Technical High School System","Special Education",209,205,98.1,"*","*","*","*"
"Coventry School District","Non-Special Education",119,111,93.3,"*","*","*","*"
"Coventry School District","Special Education",19,14,73.7,"*","*","*","*"
"Cromwell School District","Non-Special Education",125,120,96.0,"*","*","*","*"
"Cromwell School District","Special Education",17,14,82.4,"*","*","*","*"
"Danbury School District","Non-Special Education",695,596,85.8,11,1.6,88,12.7
"Danbury School District","Special Education",80,49,61.3,14,17.5,17,21.3
"Darien School District","Non-Special Education",277,274,98.9,"*","*","*","*"
"Darien School District","Special Education",39,34,87.2,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-Special Education","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*","*","*","*","*"
"Derby School District","Non-Special Education",79,"*","*","*","*","*","*"
"Derby School District","Special Education",8,"*","*","*","*","*","*"
"East Granby School District","Non-Special Education",62,61,98.4,"*","*","*","*"
"East Granby School District","Special Education",9,6,66.7,"*","*","*","*"
"East Haddam School District","Non-Special Education",85,83,97.6,"*","*","*","*"
"East Haddam School District","Special Education",14,13,92.9,"*","*","*","*"
"East Hampton School District","Non-Special Education",120,119,99.2,"*","*","*","*"
"East Hampton School District","Special Education",12,8,66.7,"*","*","*","*"
"East Hartford School District","Non-Special Education",462,402,87.0,"*","*",57,12.3
"East Hartford School District","Special Education",84,54,64.3,"*","*",21,25.0
"East Haven School District","Non-Special Education",216,172,79.6,"*","*",38,17.6
"East Haven School District","Special Education",30,15,50.0,"*","*",13,43.3
"East Lyme School District","Non-Special Education",262,259,98.9,"*","*","*","*"
"East Lyme School District","Special Education",48,36,75.0,"*","*","*","*"
"East Windsor School District","Non-Special Education",76,68,89.5,"*","*","*","*"
"East Windsor School District","Special Education",19,14,73.7,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",59,52,88.1,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",12,8,66.7,"*","*","*","*"
"Ellington School District","Non-Special Education",179,170,95.0,"*","*","*","*"
"Ellington School District","Special Education",19,17,89.5,"*","*","*","*"
"Elm City College Preparatory School District","Non-Special Education",13,10,76.9,"*","*","*","*"
"Enfield School District","Non-Special Education",378,351,92.9,"*","*",24,6.3
"Enfield School District","Special Education",65,49,75.4,"*","*",12,18.5
"Explorations District","Non-Special Education",23,"*","*","*","*","*","*"
"Explorations District","Special Education",7,"*","*","*","*","*","*"
"Fairfield School District","Non-Special Education",627,607,96.8,6,1.0,14,2.2
"Fairfield School District","Special Education",78,58,74.4,14,17.9,6,7.7
"Farmington School District","Non-Special Education",290,288,99.3,"*","*","*","*"
"Farmington School District","Special Education",36,27,75.0,"*","*","*","*"
"Glastonbury School District","Non-Special Education",487,484,99.4,"*","*","*","*"
"Glastonbury School District","Special Education",64,53,82.8,"*","*","*","*"
"Granby School District","Non-Special Education",185,183,98.9,"*","*","*","*"
"Granby School District","Special Education",13,9,69.2,"*","*","*","*"
"Greenwich School District","Non-Special Education",594,580,97.6,"*","*","*","*"
"Greenwich School District","Special Education",97,87,89.7,"*","*","*","*"
"Griswold School District","Non-Special Education",149,138,92.6,"*","*","*","*"
"Griswold School District","Special Education",19,14,73.7,"*","*","*","*"
"Groton School District","Non-Special Education",280,244,87.1,"*","*",33,11.8
"Groton School District","Special Education",47,28,59.6,"*","*",9,19.1
"Guilford School District","Non-Special Education",242,234,96.7,"*","*","*","*"
"Guilford School District","Special Education",38,31,81.6,"*","*","*","*"
"Hamden School District","Non-Special Education",386,349,90.4,"*","*",26,6.7
"Hamden School District","Special Education",64,54,84.4,"*","*",7,10.9
"Hartford School District","Non-Special Education",1191,955,80.2,11,0.9,225,18.9
"Hartford School District","Special Education",251,143,57.0,25,10.0,82,32.7
"Killingly School District","Non-Special Education",191,158,82.7,6,3.1,27,14.1
"Killingly School District","Special Education",34,17,50.0,6,17.6,11,32.4
"Learn","Non-Special Education",35,32,91.4,"*","*","*","*"
"Learn","Special Education",7,7,100.0,"*","*","*","*"
"Lebanon School District","Non-Special Education",109,102,93.6,"*","*","*","*"
"Lebanon School District","Special Education",9,9,100.0,"*","*","*","*"
"Ledyard School District","Non-Special Education",202,187,92.6,"*","*","*","*"
"Ledyard School District","Special Education",29,22,75.9,"*","*","*","*"
"Lisbon School District","Non-Special Education","*","*","*","*","*","*","*"
"Lisbon School District","Special Education","*","*","*","*","*","*","*"
"Litchfield School District","Non-Special Education",79,78,98.7,"*","*","*","*"
"Litchfield School District","Special Education",10,9,90.0,"*","*","*","*"
"Madison School District","Non-Special Education",277,277,100.0,"*","*","*","*"
"Madison School District","Special Education",39,38,97.4,"*","*","*","*"
"Manchester School District","Non-Special Education",402,342,85.1,"*","*",57,14.2
"Manchester School District","Special Education",71,44,62.0,"*","*",17,23.9
"Meriden School District","Non-Special Education",528,414,78.4,9,1.7,105,19.9
"Meriden School District","Special Education",98,50,51.0,16,16.3,32,32.7
"Middletown School District","Non-Special Education",314,275,87.6,"*","*",39,12.4
"Middletown School District","Special Education",62,43,69.4,"*","*",10,16.1
"Milford School District","Non-Special Education",426,396,93.0,11,2.6,19,4.5
"Milford School District","Special Education",97,71,73.2,20,20.6,6,6.2
"Monroe School District","Non-Special Education",276,273,98.9,"*","*","*","*"
"Monroe School District","Special Education",33,31,93.9,"*","*","*","*"
"Montville School District","Non-Special Education",160,146,91.3,"*","*","*","*"
"Montville School District","Special Education",28,19,67.9,"*","*","*","*"
"Naugatuck School District","Non-Special Education",280,238,85.0,"*","*",33,11.8
"Naugatuck School District","Special Education",53,35,66.0,"*","*",13,24.5
"New Britain School District","Non-Special Education",543,381,70.2,11,2.0,151,27.8
"New Britain School District","Special Education",108,52,48.1,21,19.4,35,32.4
"New Canaan School District","Non-Special Education",295,292,99.0,"*","*","*","*"
"New Canaan School District","Special Education",44,40,90.9,"*","*","*","*"
"New Fairfield School District","Non-Special Education",233,226,97.0,"*","*","*","*"
"New Fairfield School District","Special Education",25,23,92.0,"*","*","*","*"
"New Haven School District","Non-Special Education",1163,902,77.6,12,1.0,249,21.4
"New Haven School District","Special Education",146,92,63.0,22,15.1,32,21.9
"New London School District","Non-Special Education",219,157,71.7,"*","*",57,26.0
"New London School District","Special Education",39,17,43.6,"*","*",15,38.5
"New Milford School District","Non-Special Education",337,315,93.5,"*","*",22,6.5
"New Milford School District","Special Education",52,32,61.5,"*","*",11,21.2
"Newington School District","Non-Special Education",337,320,95.0,"*","*",17,5.0
"Newington School District","Special Education",38,24,63.2,"*","*",8,21.1
"Newtown School District","Non-Special Education",428,419,97.9,"*","*","*","*"
"Newtown School District","Special Education",43,34,79.1,"*","*","*","*"
"North Branford School District","Non-Special Education",149,145,97.3,"*","*","*","*"
"North Branford School District","Special Education",21,19,90.5,"*","*","*","*"
"North Haven School District","Non-Special Education",274,255,93.1,"*","*","*","*"
"North Haven School District","Special Education",38,29,76.3,"*","*","*","*"
"North Stonington School District","Non-Special Education","*","*","*","*","*","*","*"
"North Stonington School District","Special Education","*","*","*","*","*","*","*"
"Norwalk School District","Non-Special Education",699,614,87.8,"*","*",82,11.7
"Norwalk School District","Special Education",82,66,80.5,"*","*",13,15.9
"Norwich Free Academy District","Non-Special Education",505,447,88.5,12,2.4,46,9.1
"Norwich Free Academy District","Special Education",89,53,59.6,19,21.3,17,19.1
"Old Saybrook School District","Non-Special Education",129,123,95.3,"*","*","*","*"
"Old Saybrook School District","Special Education",10,9,90.0,"*","*","*","*"
"Oxford School District","Non-Special Education",146,144,98.6,"*","*","*","*"
"Oxford School District","Special Education",9,7,77.8,"*","*","*","*"
"Plainfield School District","Non-Special Education",168,155,92.3,"*","*","*","*"
"Plainfield School District","Special Education",33,21,63.6,"*","*","*","*"
"Plainville School District","Non-Special Education",177,164,92.7,"*","*","*","*"
"Plainville School District","Special Education",30,23,76.7,"*","*","*","*"
"Plymouth School District","Non-Special Education",117,103,88.0,"*","*","*","*"
"Plymouth School District","Special Education",11,9,81.8,"*","*","*","*"
"Portland School District","Non-Special Education",86,75,87.2,"*","*","*","*"
"Portland School District","Special Education",7,6,85.7,"*","*","*","*"
"Putnam School District","Non-Special Education",77,70,90.9,"*","*","*","*"
"Putnam School District","Special Education",20,15,75.0,"*","*","*","*"
"Regional School District 01","Non-Special Education",97,90,92.8,"*","*","*","*"
"Regional School District 01","Special Education",12,11,91.7,"*","*","*","*"
"Regional School District 04","Non-Special Education",142,139,97.9,"*","*","*","*"
"Regional School District 04","Special Education",20,16,80.0,"*","*","*","*"
"Regional School District 05","Non-Special Education",353,343,97.2,"*","*","*","*"
"Regional School District 05","Special Education",43,38,88.4,"*","*","*","*"
"Regional School District 06","Non-Special Education",84,81,96.4,"*","*","*","*"
"Regional School District 06","Special Education",13,12,92.3,"*","*","*","*"
"Regional School District 07","Non-Special Education",168,165,98.2,"*","*","*","*"
"Regional School District 07","Special Education",25,22,88.0,"*","*","*","*"
"Regional School District 08","Non-Special Education",246,233,94.7,"*","*","*","*"
"Regional School District 08","Special Education",38,33,86.8,"*","*","*","*"
"Regional School District 09","Non-Special Education",209,205,98.1,"*","*","*","*"
"Regional School District 09","Special Education",29,24,82.8,"*","*","*","*"
"Regional School District 10","Non-Special Education",174,169,97.1,"*","*","*","*"
"Regional School District 10","Special Education",24,19,79.2,"*","*","*","*"
"Regional School District 11","Non-Special Education",31,28,90.3,"*","*","*","*"
"Regional School District 11","Special Education",13,10,76.9,"*","*","*","*"
"Regional School District 12","Non-Special Education",72,67,93.1,"*","*","*","*"
"Regional School District 12","Special Education",18,13,72.2,"*","*","*","*"
"Regional School District 13","Non-Special Education",127,125,98.4,"*","*","*","*"
"Regional School District 13","Special Education",30,19,63.3,"*","*","*","*"
"Regional School District 14","Non-Special Education",174,168,96.6,"*","*","*","*"
"Regional School District 14","Special Education",28,21,75.0,"*","*","*","*"
"Regional School District 15","Non-Special Education",270,266,98.5,"*","*","*","*"
"Regional School District 15","Special Education",49,44,89.8,"*","*","*","*"
"Regional School District 16","Non-Special Education",173,161,93.1,"*","*","*","*"
"Regional School District 16","Special Education",13,9,69.2,"*","*","*","*"
"Regional School District 17","Non-Special Education",135,134,99.3,"*","*","*","*"
"Regional School District 17","Special Education",29,25,86.2,"*","*","*","*"
"Regional School District 18","Non-Special Education",99,97,98.0,"*","*","*","*"
"Regional School District 18","Special Education",14,12,85.7,"*","*","*","*"
"Regional School District 19","Non-Special Education",266,258,97.0,"*","*",7,2.6
"Regional School District 19","Special Education",48,33,68.8,"*","*",7,14.6
"Ridgefield School District","Non-Special Education",372,370,99.5,"*","*","*","*"
"Ridgefield School District","Special Education",42,34,81.0,"*","*","*","*"
"Rocky Hill School District","Non-Special Education",153,145,94.8,"*","*","*","*"
"Rocky Hill School District","Special Education",24,20,83.3,"*","*","*","*"
"Seymour School District","Non-Special Education",163,146,89.6,"*","*","*","*"
"Seymour School District","Special Education",17,13,76.5,"*","*","*","*"
"Shelton School District","Non-Special Education",368,349,94.8,"*","*",17,4.6
"Shelton School District","Special Education",26,14,53.8,"*","*",8,30.8
"Simsbury School District","Non-Special Education",351,348,99.1,"*","*","*","*"
"Simsbury School District","Special Education",49,44,89.8,"*","*","*","*"
"Somers School District","Non-Special Education",132,130,98.5,"*","*","*","*"
"Somers School District","Special Education",15,13,86.7,"*","*","*","*"
"South Windsor School District","Non-Special Education",341,331,97.1,"*","*","*","*"
"South Windsor School District","Special Education",45,40,88.9,"*","*","*","*"
"Southington School District","Non-Special Education",424,407,96.0,"*","*",17,4.0
"Southington School District","Special Education",64,56,87.5,"*","*",6,9.4
"Stafford School District","Non-Special Education",117,108,92.3,"*","*","*","*"
"Stafford School District","Special Education",12,8,66.7,"*","*","*","*"
"Stamford Academy District","Non-Special Education","*","*","*","*","*","*","*"
"Stamford Academy District","Special Education","*","*","*","*","*","*","*"
"Stamford School District","Non-Special Education",1096,1009,92.1,"*","*",78,7.1
"Stamford School District","Special Education",115,101,87.8,"*","*",10,8.7
"Stonington School District","Non-Special Education",175,172,98.3,"*","*","*","*"
"Stonington School District","Special Education",26,22,84.6,"*","*","*","*"
"Stratford School District","Non-Special Education",489,467,95.5,"*","*",22,4.5
"Stratford School District","Special Education",71,46,64.8,"*","*",12,16.9
"Suffield School District","Non-Special Education",196,188,95.9,"*","*","*","*"
"Suffield School District","Special Education",23,19,82.6,"*","*","*","*"
"The Bridge Academy District","Non-Special Education",30,"*","*","*","*","*","*"
"The Bridge Academy District","Special Education",6,"*","*","*","*","*","*"
"The Gilbert School District","Non-Special Education",78,65,83.3,"*","*","*","*"
"The Gilbert School District","Special Education",8,7,87.5,"*","*","*","*"
"Thomaston School District","Non-Special Education",65,63,96.9,"*","*","*","*"
"Thomaston School District","Special Education",13,11,84.6,"*","*","*","*"
"Thompson School District","Non-Special Education",75,69,92.0,"*","*","*","*"
"Thompson School District","Special Education",10,10,100.0,"*","*","*","*"
"Tolland School District","Non-Special Education",222,213,95.9,"*","*","*","*"
"Tolland School District","Special Education",22,17,77.3,"*","*","*","*"
"Torrington School District","Non-Special Education",229,206,90.0,"*","*","*","*"
"Torrington School District","Special Education",46,40,87.0,"*","*","*","*"
"Trumbull School District","Non-Special Education",515,509,98.8,"*","*","*","*"
"Trumbull School District","Special Education",35,32,91.4,"*","*","*","*"
"Unified School District #1","Non-Special Education",303,"*","*",49,16.2,249,82.2
"Unified School District #1","Special Education",144,"*","*",30,20.8,109,75.7
"Unified School District #2","Non-Special Education",23,"*","*","*","*",18,78.3
"Unified School District #2","Special Education",22,"*","*","*","*",12,54.5
"Vernon School District","Non-Special Education",204,181,88.7,"*","*",23,11.3
"Vernon School District","Special Education",34,22,64.7,"*","*",9,26.5
"Wallingford School District","Non-Special Education",464,443,95.5,"*","*",19,4.1
"Wallingford School District","Special Education",71,53,74.6,"*","*",11,15.5
"Waterbury School District","Non-Special Education",1077,772,71.7,"*","*",303,28.1
"Waterbury School District","Special Education",220,118,53.6,"*","*",84,38.2
"Waterford School District","Non-Special Education",208,202,97.1,"*","*","*","*"
