"Five-Year Graduation Rates, 2010-11"
"All Districts, English Learner Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-ELL",27,17,63.0,"*","*","*","*"
"Ansonia School District","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*","*","*"
"Bolton School District","Non-ELL",73,70,95.9,"*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Bridgeport School District","Non-ELL",1219,808,66.3,"*","*",371,30.4
"Bridgeport School District","ELL",205,118,57.6,"*","*",83,40.5
"Bristol School District","Non-ELL",694,576,83.0,"*","*","*","*"
"Bristol School District","ELL",11,9,81.8,"*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Canton School District","Non-ELL","*","*","*","*","*","*","*"
"Canton School District","ELL","*","*","*","*","*","*","*"
"Capitol Region Education Council","Non-ELL",295,"*","*","*","*","*","*"
"Capitol Region Education Council","ELL",6,"*","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*"
"Common Ground High School District","Non-ELL",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System","Non-ELL",2258,2134,94.5,"*","*",123,5.4
"Connecticut Technical High School System","ELL",74,64,86.5,"*","*",10,13.5
"Coventry School District","Non-ELL",153,140,91.5,"*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*","*","*"
"Danbury School District","Non-ELL",641,538,83.9,"*","*",89,13.9
"Danbury School District","ELL",116,79,68.1,"*","*",34,29.3
"Darien School District","Non-ELL","*","*","*","*","*","*","*"
"Darien School District","ELL","*","*","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*","*","*"
"East Granby School District","Non-ELL",76,74,97.4,"*","*","*","*"
"East Haddam School District","Non-ELL",97,90,92.8,"*","*","*","*"
"East Hampton School District","Non-ELL",139,127,91.4,"*","*","*","*"
"East Hartford School District","Non-ELL",567,475,83.8,"*","*","*","*"
"East Hartford School District","ELL",34,30,88.2,"*","*","*","*"
"East Haven School District","Non-ELL",286,246,86.0,"*","*","*","*"
"East Haven School District","ELL",14,12,85.7,"*","*","*","*"
"East Lyme School District","Non-ELL",325,317,97.5,"*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*","*","*"
"Explorations District","Non-ELL",30,21,70.0,"*","*","*","*"
"Fairfield School District","Non-ELL",641,616,96.1,"*","*","*","*"
"Fairfield School District","ELL",14,13,92.9,"*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*","*","*"
"Granby School District","Non-ELL",194,190,97.9,"*","*","*","*"
"Greenwich School District","Non-ELL",603,589,97.7,"*","*","*","*"
"Greenwich School District","ELL",30,26,86.7,"*","*","*","*"
"Griswold School District","Non-ELL",201,166,82.6,"*","*","*","*"
"Groton School District","Non-ELL",327,"*","*","*","*","*","*"
"Groton School District","ELL",7,"*","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*","*","*"
"Hamden School District","Non-ELL",573,499,87.1,"*","*","*","*"
"Hamden School District","ELL",11,10,90.9,"*","*","*","*"
"Hartford School District","Non-ELL",1344,962,71.6,"*","*",352,26.2
"Hartford School District","ELL",255,137,53.7,"*","*",112,43.9
"Killingly School District","Non-ELL","*","*","*","*","*","*","*"
"Killingly School District","ELL","*","*","*","*","*","*","*"
"Lebanon School District","Non-ELL",160,149,93.1,"*","*","*","*"
