"Five-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","Male",10,6,60.0,"*","*","*","*"
"Ansonia School District","Female",94,72,76.6,"*","*",20,21.3
"Ansonia School District","Male",94,72,76.6,"*","*",19,20.2
"Avon School District","Female",136,134,98.5,"*","*","*","*"
"Avon School District","Male",119,116,97.5,"*","*","*","*"
"Berlin School District","Female",125,119,95.2,"*","*",6,4.8
"Berlin School District","Male",136,129,94.9,"*","*",7,5.1
"Bethel School District","Female",134,129,96.3,"*","*","*","*"
"Bethel School District","Male",116,107,92.2,"*","*","*","*"
"Bloomfield School District","Female",90,78,86.7,"*","*",11,12.2
"Bloomfield School District","Male",93,75,80.6,"*","*",13,14.0
"Bolton School District","Female",48,46,95.8,"*","*","*","*"
"Bolton School District","Male",25,24,96.0,"*","*","*","*"
"Branford School District","Female",135,129,95.6,"*","*","*","*"
"Branford School District","Male",149,140,94.0,"*","*","*","*"
"Bridgeport School District","Female",694,494,71.2,10,1.4,190,27.4
"Bridgeport School District","Male",730,432,59.2,34,4.7,264,36.2
"Bristol School District","Female",357,304,85.2,"*","*",49,13.7
"Bristol School District","Male",348,281,80.7,"*","*",57,16.4
"Brookfield School District","Female",120,117,97.5,"*","*","*","*"
"Brookfield School District","Male",144,137,95.1,"*","*","*","*"
"Canton School District","Female",56,54,96.4,"*","*","*","*"
"Canton School District","Male",64,60,93.8,"*","*","*","*"
"Capitol Region Education Council","Female",172,152,88.4,"*","*",20,11.6
"Capitol Region Education Council","Male",129,109,84.5,"*","*",16,12.4
"Cheshire School District","Female",164,162,98.8,"*","*","*","*"
"Cheshire School District","Male",211,202,95.7,"*","*","*","*"
"Clinton School District","Female",78,76,97.4,"*","*","*","*"
"Clinton School District","Male",67,62,92.5,"*","*","*","*"
"Colchester School District","Female",122,119,97.5,"*","*","*","*"
"Colchester School District","Male",129,119,92.2,"*","*","*","*"
"Common Ground High School District","Female",21,19,90.5,"*","*","*","*"
"Common Ground High School District","Male",17,14,82.4,"*","*","*","*"
"Connecticut Technical High School System","Female",833,776,93.2,"*","*",57,6.8
"Connecticut Technical High School System","Male",1499,1422,94.9,"*","*",76,5.1
"Coventry School District","Female",86,80,93.0,"*","*","*","*"
"Coventry School District","Male",67,60,89.6,"*","*","*","*"
"Cromwell School District","Female",94,90,95.7,"*","*","*","*"
"Cromwell School District","Male",76,71,93.4,"*","*","*","*"
"Danbury School District","Female",365,310,84.9,6,1.6,49,13.4
"Danbury School District","Male",392,307,78.3,11,2.8,74,18.9
"Darien School District","Female",161,158,98.1,"*","*","*","*"
"Darien School District","Male",166,159,95.8,"*","*","*","*"
"Derby School District","Female",56,49,87.5,"*","*",6,10.7
"Derby School District","Male",67,50,74.6,"*","*",16,23.9
"East Granby School District","Female",39,38,97.4,"*","*","*","*"
"East Granby School District","Male",37,36,97.3,"*","*","*","*"
"East Haddam School District","Female",47,45,95.7,"*","*","*","*"
"East Haddam School District","Male",50,45,90.0,"*","*","*","*"
"East Hampton School District","Female",66,62,93.9,"*","*","*","*"
"East Hampton School District","Male",73,65,89.0,"*","*","*","*"
"East Hartford School District","Female",305,266,87.2,"*","*",37,12.1
"East Hartford School District","Male",296,239,80.7,"*","*",52,17.6
"East Haven School District","Female",152,136,89.5,"*","*",14,9.2
"East Haven School District","Male",148,122,82.4,"*","*",24,16.2
"East Lyme School District","Female",163,160,98.2,"*","*","*","*"
"East Lyme School District","Male",162,157,96.9,"*","*","*","*"
"East Windsor School District","Female",43,39,90.7,"*","*","*","*"
"East Windsor School District","Male",47,41,87.2,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",34,25,73.5,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",29,24,82.8,"*","*","*","*"
"Ellington School District","Female",98,97,99.0,"*","*","*","*"
"Ellington School District","Male",85,77,90.6,"*","*","*","*"
"Enfield School District","Female",247,219,88.7,"*","*",25,10.1
"Enfield School District","Male",272,228,83.8,"*","*",38,14.0
"Explorations District","Female",16,12,75.0,"*","*","*","*"
"Explorations District","Male",14,9,64.3,"*","*","*","*"
"Fairfield School District","Female",340,332,97.6,"*","*","*","*"
"Fairfield School District","Male",315,297,94.3,"*","*","*","*"
"Farmington School District","Female",167,160,95.8,"*","*",7,4.2
