"Five-Year Graduation Rates, 2011-12"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",,"Non-Graduates",,,
"District","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Eligible For Free Lunch",13,12,92.3,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",85,61,71.8,"*","*",23,27.1
"Ansonia School District","Eligible For Reduced Lunch",43,39,90.7,"*","*","*","*"
"Ansonia School District","Not Eligible For Lunch",72,65,90.3,"*","*","*","*"
"Avon School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Not Eligible For Lunch",272,268,98.5,"*","*","*","*"
"Berlin School District","Eligible For Free Lunch",19,19,100.0,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",9,8,88.9,"*","*","*","*"
"Berlin School District","Not Eligible For Lunch",230,225,97.8,"*","*","*","*"
"Bethel School District","Eligible For Free Lunch",21,20,95.2,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",16,15,93.8,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",200,194,97.0,"*","*",6,3.0
"Bloomfield School District","Eligible For Free Lunch",83,69,83.1,"*","*",11,13.3
"Bloomfield School District","Eligible For Reduced Lunch",31,27,87.1,"*","*","*","*"
"Bloomfield School District","Not Eligible For Lunch",79,76,96.2,"*","*","*","*"
"Bolton School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bolton School District","Not Eligible For Lunch",62,62,100.0,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",39,36,92.3,"*","*","*","*"
"Branford School District","Eligible For Reduced Lunch",22,21,95.5,"*","*","*","*"
"Branford School District","Not Eligible For Lunch",198,187,94.4,"*","*",8,4.0
"Bridgeport School District","Eligible For Free Lunch",1189,839,70.6,20,1.7,329,27.7
"Bridgeport School District","Eligible For Reduced Lunch",67,53,79.1,"*","*","*","*"
"Bridgeport School District","Not Eligible For Lunch",10,6,60.0,"*","*","*","*"
"Bristol School District","Eligible For Free Lunch",172,132,76.7,"*","*",36,20.9
"Bristol School District","Eligible For Reduced Lunch",69,60,87.0,"*","*",8,11.6
"Bristol School District","Not Eligible For Lunch",387,366,94.6,"*","*",20,5.2
"Brookfield School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Not Eligible For Lunch",238,235,98.7,"*","*","*","*"
"Canton School District","Eligible For Free Lunch",7,6,85.7,"*","*","*","*"
"Canton School District","Not Eligible For Lunch",111,110,99.1,"*","*","*","*"
"Capitol Region Education Council","Eligible For Free Lunch",127,104,81.9,"*","*",23,18.1
"Capitol Region Education Council","Eligible For Reduced Lunch",55,50,90.9,"*","*","*","*"
"Capitol Region Education Council","Not Eligible For Lunch",151,119,78.8,10,6.6,"*","*"
"Cheshire School District","Eligible For Free Lunch",21,18,85.7,"*","*","*","*"
"Cheshire School District","Eligible For Reduced Lunch",24,24,100.0,"*","*","*","*"
"Cheshire School District","Not Eligible For Lunch",363,357,98.3,"*","*","*","*"
"Clinton School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Clinton School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Clinton School District","Not Eligible For Lunch",106,99,93.4,"*","*",7,6.6
"Colchester School District","Eligible For Free Lunch",23,21,91.3,"*","*","*","*"
"Colchester School District","Eligible For Reduced Lunch",15,15,100.0,"*","*","*","*"
"Colchester School District","Not Eligible For Lunch",205,201,98.0,"*","*","*","*"
"Common Ground High School District","Eligible For Free Lunch",16,15,93.8,"*","*","*","*"
"Common Ground High School District","Eligible For Reduced Lunch",8,8,100.0,"*","*","*","*"
"Common Ground High School District","Not Eligible For Lunch",6,6,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eligible For Free Lunch",956,915,95.7,"*","*",41,4.3
"Connecticut Technical High School System","Eligible For Reduced Lunch",419,402,95.9,"*","*",17,4.1
"Connecticut Technical High School System","Not Eligible For Lunch",1156,1128,97.6,"*","*",28,2.4
"Coventry School District","Eligible For Free Lunch",17,12,70.6,"*","*","*","*"
"Coventry School District","Eligible For Reduced Lunch",14,12,85.7,"*","*","*","*"
"Coventry School District","Not Eligible For Lunch",119,114,95.8,"*","*","*","*"
"Cromwell School District","Eligible For Free Lunch",26,22,84.6,"*","*","*","*"
"Cromwell School District","Eligible For Reduced Lunch",8,8,100.0,"*","*","*","*"
