"Five-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education",18,17,94.4,"*","*","*","*"
"Ansonia School District","Non-Special Education",175,148,84.6,"*","*",26,14.9
"Ansonia School District","Special Education",25,17,68.0,"*","*",7,28.0
"Avon School District","Non-Special Education",248,244,98.4,"*","*","*","*"
"Avon School District","Special Education",35,33,94.3,"*","*","*","*"
"Berlin School District","Non-Special Education",220,215,97.7,"*","*","*","*"
"Berlin School District","Special Education",38,37,97.4,"*","*","*","*"
"Bethel School District","Non-Special Education",209,206,98.6,"*","*","*","*"
"Bethel School District","Special Education",28,23,82.1,"*","*","*","*"
"Bloomfield School District","Non-Special Education",166,149,89.8,"*","*","*","*"
"Bloomfield School District","Special Education",27,23,85.2,"*","*","*","*"
"Bolton School District","Non-Special Education",64,61,95.3,"*","*","*","*"
"Bolton School District","Special Education",6,6,100.0,"*","*","*","*"
"Branford School District","Non-Special Education",225,215,95.6,"*","*","*","*"
"Branford School District","Special Education",34,29,85.3,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1084,800,73.8,"*","*",279,25.7
"Bridgeport School District","Special Education",182,98,53.8,"*","*",68,37.4
"Bristol School District","Non-Special Education",537,484,90.1,"*","*",53,9.9
"Bristol School District","Special Education",91,74,81.3,"*","*",11,12.1
"Brookfield School District","Non-Special Education",235,234,99.6,"*","*","*","*"
"Brookfield School District","Special Education",19,16,84.2,"*","*","*","*"
"Canton School District","Non-Special Education",106,105,99.1,"*","*","*","*"
"Canton School District","Special Education",12,11,91.7,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",271,237,87.5,"*","*",34,12.5
"Capitol Region Education Council","Special Education",62,36,58.1,"*","*",16,25.8
"Cheshire School District","Non-Special Education",362,360,99.4,"*","*","*","*"
"Cheshire School District","Special Education",46,39,84.8,"*","*","*","*"
"Clinton School District","Non-Special Education",101,97,96.0,"*","*","*","*"
