"Five-Year Graduation Rates, 2013-14"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",15,14,93.3,"*","*","*","*"
"Amistad Academy District","Male",8,7,87.5,"*","*","*","*"
"Ansonia School District","Female",76,61,80.3,"*","*",13,17.1
"Ansonia School District","Male",80,64,80.0,"*","*",14,17.5
"Avon School District","Female",149,147,98.7,"*","*","*","*"
"Avon School District","Male",123,120,97.6,"*","*","*","*"
"Berlin School District","Female",115,111,96.5,"*","*","*","*"
"Berlin School District","Male",120,116,96.7,"*","*","*","*"
"Bethel School District","Female",116,114,98.3,"*","*","*","*"
"Bethel School District","Male",128,117,91.4,"*","*","*","*"
"Bloomfield School District","Female",85,82,96.5,"*","*","*","*"
"Bloomfield School District","Male",86,76,88.4,"*","*","*","*"
"Bolton School District","Female",53,51,96.2,"*","*","*","*"
"Bolton School District","Male",48,48,100.0,"*","*","*","*"
"Branford School District","Female",151,143,94.7,"*","*",7,4.6
"Branford School District","Male",147,132,89.8,"*","*",13,8.8
"Bridgeport School District","Female",617,499,80.9,13,2.1,105,17.0
"Bridgeport School District","Male",608,428,70.4,21,3.5,159,26.2
"Bristol School District","Female",339,305,90.0,6,1.8,28,8.3
"Bristol School District","Male",358,297,83.0,11,3.1,50,14.0
"Brookfield School District","Female",116,115,99.1,"*","*","*","*"
"Brookfield School District","Male",116,116,100.0,"*","*","*","*"
"Canton School District","Female",65,64,98.5,"*","*","*","*"
"Canton School District","Male",71,67,94.4,"*","*","*","*"
"Capitol Region Education Council","Female",205,183,89.3,"*","*",18,8.8
"Capitol Region Education Council","Male",138,110,79.7,"*","*",18,13.0
"Cheshire School District","Female",193,189,97.9,"*","*","*","*"
"Cheshire School District","Male",196,189,96.4,"*","*","*","*"
"Clinton School District","Female",58,56,96.6,"*","*","*","*"
"Clinton School District","Male",72,68,94.4,"*","*","*","*"
"Colchester School District","Female",140,137,97.9,"*","*","*","*"
"Colchester School District","Male",108,104,96.3,"*","*","*","*"
"Common Ground High School District","Female",15,14,93.3,"*","*","*","*"
"Common Ground High School District","Male",14,12,85.7,"*","*","*","*"
"Connecticut Technical High School System","Female",903,868,96.1,8,0.9,27,3.0
"Connecticut Technical High School System","Male",1515,1467,96.8,9,0.6,39,2.6
"Coventry School District","Female",69,69,100.0,"*","*","*","*"
"Coventry School District","Male",63,60,95.2,"*","*","*","*"
"Cromwell School District","Female",73,68,93.2,"*","*","*","*"
"Cromwell School District","Male",62,55,88.7,"*","*","*","*"
"Danbury School District","Female",367,314,85.6,8,2.2,45,12.3
"Danbury School District","Male",381,315,82.7,20,5.2,46,12.1
"Darien School District","Female",167,165,98.8,"*","*","*","*"
"Darien School District","Male",169,162,95.9,"*","*","*","*"
"Department of Mental Health and Addiction Services","Female","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Male","*","*","*","*","*","*","*"
"Derby School District","Female",53,47,88.7,"*","*","*","*"
"Derby School District","Male",49,41,83.7,"*","*","*","*"
"East Granby School District","Female",25,25,100.0,"*","*","*","*"
"East Granby School District","Male",40,36,90.0,"*","*","*","*"
"East Haddam School District","Female",52,50,96.2,"*","*","*","*"
"East Haddam School District","Male",53,49,92.5,"*","*","*","*"
"East Hampton School District","Female",65,63,96.9,"*","*","*","*"
"East Hampton School District","Male",56,55,98.2,"*","*","*","*"
"East Hartford School District","Female",251,214,85.3,9,3.6,28,11.2
"East Hartford School District","Male",251,207,82.5,15,6.0,29,11.6
"East Haven School District","Female",115,101,87.8,"*","*",13,11.3
"East Haven School District","Male",142,113,79.6,"*","*",25,17.6
"East Lyme School District","Female",135,129,95.6,"*","*","*","*"
"East Lyme School District","Male",140,131,93.6,"*","*","*","*"
"East Windsor School District","Female",55,52,94.5,"*","*","*","*"
"East Windsor School District","Male",54,50,92.6,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",40,29,72.5,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",29,25,86.2,"*","*","*","*"
"Ellington School District","Female",93,90,96.8,"*","*","*","*"
"Ellington School District","Male",101,96,95.0,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,9,90.0,"*","*","*","*"
"Elm City College Preparatory School District","Male",13,12,92.3,"*","*","*","*"
"Enfield School District","Female",192,173,90.1,"*","*",18,9.4
"Enfield School District","Male",234,203,86.8,"*","*",27,11.5
"Explorations District","Female",9,8,88.9,"*","*","*","*"
