"Five-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","All Students",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Black",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Eligible For Lunch",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","High Needs",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Hispanic",12,8,66.7,"*","*","*","*"
"Amistad Academy District","Male",10,6,60.0,"*","*","*","*"
"Amistad Academy District","Non-ELL",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Non-High Needs",13,9,69.2,"*","*","*","*"
"Amistad Academy District","Non-Hispanic",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Non-Special Education",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Not Eligible For Lunch",13,9,69.2,"*","*","*","*"
"Ansonia School District","All Students",188,144,76.6,"*","*",39,20.7
"Ansonia School District","Black",51,39,76.5,"*","*",10,19.6
"Ansonia School District","Eligible For Free Lunch",91,57,62.6,"*","*",29,31.9
"Ansonia School District","Eligible For Lunch",100,65,65.0,"*","*",30,30.0
"Ansonia School District","Eligible For Reduced Lunch",9,8,88.9,"*","*","*","*"
"Ansonia School District","Female",94,72,76.6,"*","*",20,21.3
"Ansonia School District","High Needs",104,69,66.3,"*","*",30,28.8
"Ansonia School District","Hispanic",40,28,70.0,"*","*",10,25.0
"Ansonia School District","Male",94,72,76.6,"*","*",19,20.2
"Ansonia School District","Non-ELL",184,140,76.1,"*","*",39,21.2
"Ansonia School District","Non-High Needs",84,75,89.3,"*","*",9,10.7
"Ansonia School District","Non-Hispanic",148,116,78.4,"*","*",29,19.6
"Ansonia School District","Non-Special Education",166,132,79.5,"*","*",33,19.9
"Ansonia School District","Not Eligible For Lunch",88,79,89.8,"*","*",9,10.2
"Ansonia School District","Asian","*","*","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*","*","*"
"Ansonia School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ansonia School District","Special Education",22,12,54.5,"*","*",6,27.3
"Ansonia School District","White",91,73,80.2,"*","*",17,18.7
"Avon School District","All Students",255,250,98.0,"*","*","*","*"
"Avon School District","Black",8,8,100.0,"*","*","*","*"
"Avon School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Eligible For Lunch",6,6,100.0,"*","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Female",136,134,98.5,"*","*","*","*"
"Avon School District","High Needs",32,31,96.9,"*","*","*","*"
"Avon School District","Hispanic",14,14,100.0,"*","*","*","*"
"Avon School District","Male",119,116,97.5,"*","*","*","*"
"Avon School District","Non-ELL",254,250,98.4,"*","*","*","*"
"Avon School District","Non-High Needs",223,219,98.2,"*","*","*","*"
"Avon School District","Non-Hispanic",241,236,97.9,"*","*","*","*"
"Avon School District","Non-Special Education",230,225,97.8,"*","*","*","*"
"Avon School District","Not Eligible For Lunch",249,244,98.0,"*","*","*","*"
"Avon School District","Asian",19,18,94.7,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Avon School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Avon School District","Special Education",25,25,100.0,"*","*","*","*"
"Avon School District","White",213,209,98.1,"*","*","*","*"
"Berlin School District","All Students",261,248,95.0,"*","*",13,5.0
"Berlin School District","Black","*","*","*","*","*","*","*"
"Berlin School District","Eligible For Free Lunch",8,"*","*","*","*","*","*"
"Berlin School District","Eligible For Lunch",14,9,64.3,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Berlin School District","Female",125,119,95.2,"*","*",6,4.8
"Berlin School District","High Needs",44,38,86.4,"*","*",6,13.6
"Berlin School District","Hispanic",6,"*","*","*","*","*","*"
"Berlin School District","Male",136,129,94.9,"*","*",7,5.1
"Berlin School District","Non-ELL",257,244,94.9,"*","*",13,5.1
"Berlin School District","Non-High Needs",217,210,96.8,"*","*",7,3.2
"Berlin School District","Non-Hispanic",255,243,95.3,"*","*",12,4.7
"Berlin School District","Non-Special Education",232,222,95.7,"*","*",10,4.3
"Berlin School District","Not Eligible For Lunch",247,239,96.8,"*","*",8,3.2
"Berlin School District","Asian",9,9,100.0,"*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Berlin School District","Special Education",29,26,89.7,"*","*","*","*"
"Berlin School District","White",244,232,95.1,"*","*",12,4.9
"Bethel School District","All Students",250,236,94.4,8,3.2,6,2.4
"Bethel School District","Black","*","*","*","*","*","*","*"
"Bethel School District","Eligible For Free Lunch",12,10,83.3,"*","*","*","*"
"Bethel School District","Eligible For Lunch",19,17,89.5,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",7,7,100.0,"*","*","*","*"
"Bethel School District","Female",134,129,96.3,"*","*","*","*"
"Bethel School District","High Needs",45,36,80.0,7,15.6,"*","*"
"Bethel School District","Hispanic",21,20,95.2,"*","*","*","*"
"Bethel School District","Male",116,107,92.2,7,6.0,"*","*"
"Bethel School District","Non-ELL",248,234,94.4,8,3.2,6,2.4
"Bethel School District","Non-High Needs",205,200,97.6,"*","*","*","*"
"Bethel School District","Non-Hispanic",229,216,94.3,8,3.5,"*","*"
"Bethel School District","Non-Special Education",223,217,97.3,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",231,219,94.8,8,3.5,"*","*"
"Bethel School District","Asian",17,17,100.0,"*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Special Education",27,19,70.4,7,25.9,"*","*"
"Bethel School District","White",206,194,94.2,7,3.4,"*","*"
"Bloomfield School District","All Students",183,153,83.6,6,3.3,24,13.1
"Bloomfield School District","Black",166,142,85.5,"*","*",20,12.0
"Bloomfield School District","Eligible For Free Lunch",56,44,78.6,"*","*",8,14.3
"Bloomfield School District","Eligible For Lunch",69,56,81.2,"*","*",9,13.0
"Bloomfield School District","Eligible For Reduced Lunch",13,12,92.3,"*","*","*","*"
"Bloomfield School District","Female",90,78,86.7,"*","*",11,12.2
"Bloomfield School District","High Needs",81,65,80.2,"*","*",12,14.8
"Bloomfield School District","Hispanic",7,"*","*","*","*","*","*"
"Bloomfield School District","Male",93,75,80.6,"*","*",13,14.0
"Bloomfield School District","Non-ELL",182,152,83.5,6,3.3,24,13.2
"Bloomfield School District","Non-High Needs",102,88,86.3,"*","*",12,11.8
"Bloomfield School District","Non-Hispanic",176,150,85.2,"*","*",21,11.9
"Bloomfield School District","Non-Special Education",156,134,85.9,"*","*",19,12.2
"Bloomfield School District","Not Eligible For Lunch",114,97,85.1,"*","*",15,13.2
"Bloomfield School District","Asian","*","*","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Special Education",27,19,70.4,"*","*","*","*"
"Bloomfield School District","White",6,"*","*","*","*","*","*"
"Bolton School District","All Students",73,70,95.9,"*","*","*","*"
"Bolton School District","Black","*","*","*","*","*","*","*"
"Bolton School District","Eligible For Free Lunch",7,"*","*","*","*","*","*"
"Bolton School District","Eligible For Lunch",7,"*","*","*","*","*","*"
"Bolton School District","Female",48,46,95.8,"*","*","*","*"
"Bolton School District","High Needs",10,8,80.0,"*","*","*","*"
"Bolton School District","Hispanic","*","*","*","*","*","*","*"
"Bolton School District","Male",25,24,96.0,"*","*","*","*"
"Bolton School District","Non-ELL",73,70,95.9,"*","*","*","*"
"Bolton School District","Non-High Needs",63,62,98.4,"*","*","*","*"
"Bolton School District","Non-Hispanic",72,69,95.8,"*","*","*","*"
"Bolton School District","Non-Special Education",68,65,95.6,"*","*","*","*"
"Bolton School District","Not Eligible For Lunch",66,65,98.5,"*","*","*","*"
"Bolton School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*","*","*"
"Bolton School District","White",67,65,97.0,"*","*","*","*"
"Branford School District","All Students",284,269,94.7,"*","*",10,3.5
"Branford School District","Black",10,9,90.0,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",26,21,80.8,"*","*","*","*"
"Branford School District","Eligible For Lunch",40,32,80.0,"*","*",6,15.0
"Branford School District","Eligible For Reduced Lunch",14,11,78.6,"*","*","*","*"
"Branford School District","Female",135,129,95.6,"*","*","*","*"
"Branford School District","High Needs",70,57,81.4,"*","*",8,11.4
"Branford School District","Hispanic",9,8,88.9,"*","*","*","*"
"Branford School District","Male",149,140,94.0,"*","*",7,4.7
"Branford School District","Non-ELL",280,265,94.6,"*","*",10,3.6
"Branford School District","Non-High Needs",214,212,99.1,"*","*","*","*"
"Branford School District","Non-Hispanic",275,261,94.9,"*","*",9,3.3
"Branford School District","Non-Special Education",248,241,97.2,"*","*",7,2.8
"Branford School District","Not Eligible For Lunch",244,237,97.1,"*","*","*","*"
"Branford School District","Asian",19,18,94.7,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Branford School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Branford School District","Special Education",36,28,77.8,"*","*","*","*"
"Branford School District","White",245,233,95.1,"*","*",7,2.9
"Bridgeport School District","All Students",1424,926,65.0,44,3.1,454,31.9
"Bridgeport School District","Black",661,473,71.6,23,3.5,165,25.0
"Bridgeport School District","Eligible For Free Lunch",1250,804,64.3,38,3.0,408,32.6
"Bridgeport School District","Eligible For Lunch",1323,863,65.2,38,2.9,422,31.9
"Bridgeport School District","Eligible For Reduced Lunch",73,59,80.8,"*","*",14,19.2
"Bridgeport School District","Female",694,494,71.2,10,1.4,190,27.4
"Bridgeport School District","High Needs",1343,876,65.2,38,2.8,429,31.9
"Bridgeport School District","Hispanic",611,340,55.6,16,2.6,255,41.7
"Bridgeport School District","Male",730,432,59.2,34,4.7,264,36.2
"Bridgeport School District","Non-ELL",1219,808,66.3,40,3.3,371,30.4
"Bridgeport School District","Non-High Needs",81,50,61.7,6,7.4,25,30.9
"Bridgeport School District","Non-Hispanic",813,586,72.1,28,3.4,199,24.5
"Bridgeport School District","Non-Special Education",1245,849,68.2,21,1.7,375,30.1
"Bridgeport School District","Not Eligible For Lunch",101,63,62.4,6,5.9,32,31.7
"Bridgeport School District","Asian","*","*","*","*","*","*","*"
"Bridgeport School District","ELL",205,118,57.6,"*","*",83,40.5
"Bridgeport School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bridgeport School District","Special Education",179,77,43.0,23,12.8,79,44.1
"Bridgeport School District","White",115,81,70.4,"*","*",29,25.2
"Bristol School District","All Students",705,585,83.0,14,2.0,106,15.0
"Bristol School District","Black",47,34,72.3,"*","*",11,23.4
"Bristol School District","Eligible For Free Lunch",135,95,70.4,"*","*",38,28.1
"Bristol School District","Eligible For Lunch",186,131,70.4,"*","*",52,28.0
"Bristol School District","Eligible For Reduced Lunch",51,36,70.6,"*","*",14,27.5
"Bristol School District","Female",357,304,85.2,"*","*",49,13.7
"Bristol School District","High Needs",239,174,72.8,8,3.3,57,23.8
"Bristol School District","Hispanic",80,66,82.5,"*","*",13,16.3
"Bristol School District","Male",348,281,80.7,10,2.9,57,16.4
"Bristol School District","Non-ELL",694,576,83.0,14,2.0,104,15.0
"Bristol School District","Non-High Needs",466,411,88.2,6,1.3,49,10.5
"Bristol School District","Non-Hispanic",625,519,83.0,13,2.1,93,14.9
"Bristol School District","Non-Special Education",629,527,83.8,8,1.3,94,14.9
"Bristol School District","Not Eligible For Lunch",519,454,87.5,11,2.1,54,10.4
"Bristol School District","Asian","*","*","*","*","*","*","*"
"Bristol School District","ELL",11,9,81.8,"*","*","*","*"
"Bristol School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bristol School District","Special Education",76,58,76.3,6,7.9,12,15.8
"Bristol School District","White",565,475,84.1,10,1.8,80,14.2
"Brookfield School District","All Students",264,254,96.2,"*","*",9,3.4
"Brookfield School District","Black","*","*","*","*","*","*","*"
"Brookfield School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Eligible For Lunch",6,"*","*","*","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Female",120,117,97.5,"*","*","*","*"
"Brookfield School District","High Needs",19,17,89.5,"*","*","*","*"
"Brookfield School District","Hispanic",8,8,100.0,"*","*","*","*"
"Brookfield School District","Male",144,137,95.1,"*","*",6,4.2
"Brookfield School District","Non-ELL",261,251,96.2,"*","*",9,3.4
"Brookfield School District","Non-High Needs",245,237,96.7,"*","*",8,3.3
"Brookfield School District","Non-Hispanic",256,246,96.1,"*","*",9,3.5
"Brookfield School District","Non-Special Education",253,244,96.4,"*","*",9,3.6
"Brookfield School District","Not Eligible For Lunch",258,249,96.5,"*","*",8,3.1
"Brookfield School District","Asian","*","*","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Brookfield School District","Special Education",11,10,90.9,"*","*","*","*"
"Brookfield School District","White",250,240,96.0,"*","*",9,3.6
"Canton School District","All Students",120,114,95.0,"*","*","*","*"
"Canton School District","Black","*","*","*","*","*","*","*"
"Canton School District","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Canton School District","Eligible For Lunch","*","*","*","*","*","*","*"
"Canton School District","Female",56,54,96.4,"*","*","*","*"
"Canton School District","High Needs",19,17,89.5,"*","*","*","*"
"Canton School District","Hispanic","*","*","*","*","*","*","*"
"Canton School District","Male",64,60,93.8,"*","*","*","*"
"Canton School District","Non-ELL",119,113,95.0,"*","*","*","*"
"Canton School District","Non-High Needs",101,97,96.0,"*","*","*","*"
"Canton School District","Non-Hispanic",117,111,94.9,"*","*","*","*"
