"Five-Year Graduation Rates, 2010-11"
"All Districts, Race/Ethnicity"

"",,,"Graduates",,"Non-Graduates",,,
"District","Race/Ethnicity","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Black",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Hispanic",12,8,66.7,"*","*","*","*"
"Ansonia School District","Black",51,39,76.5,"*","*",10,19.6
"Ansonia School District","Hispanic",40,28,70.0,"*","*",10,25.0
"Ansonia School District","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ansonia School District","White",91,73,80.2,"*","*",17,18.7
"Avon School District","Black","*","*","*","*","*","*","*"
"Avon School District","Hispanic",14,14,100.0,"*","*","*","*"
"Avon School District","Asian",19,18,94.7,"*","*","*","*"
"Avon School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Avon School District","White",213,209,98.1,"*","*","*","*"
"Berlin School District","Black","*","*","*","*","*","*","*"
"Berlin School District","Hispanic",6,"*","*","*","*","*","*"
"Berlin School District","Asian",9,9,100.0,"*","*","*","*"
"Berlin School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Berlin School District","White",244,232,95.1,"*","*",12,4.9
"Bethel School District","Black",6,"*","*","*","*","*","*"
"Bethel School District","Hispanic",21,20,95.2,"*","*","*","*"
"Bethel School District","Asian",17,"*","*","*","*","*","*"
"Bethel School District","White",206,194,94.2,7,3.4,"*","*"
"Bloomfield School District","Black",166,142,85.5,"*","*",20,12.0
"Bloomfield School District","Hispanic",7,"*","*","*","*","*","*"
"Bloomfield School District","Asian","*","*","*","*","*","*","*"
"Bloomfield School District","White","*","*","*","*","*","*","*"
"Bolton School District","Black","*","*","*","*","*","*","*"
"Bolton School District","Hispanic","*","*","*","*","*","*","*"
"Bolton School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bolton School District","White",67,65,97.0,"*","*","*","*"
"Branford School District","Black",10,9,90.0,"*","*","*","*"
"Branford School District","Hispanic","*","*","*","*","*","*","*"
"Branford School District","Asian",19,18,94.7,"*","*","*","*"
"Branford School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Branford School District","White",245,233,95.1,"*","*",7,2.9
"Bridgeport School District","Black",661,473,71.6,23,3.5,165,25.0
"Bridgeport School District","Hispanic",611,340,55.6,16,2.6,255,41.7
"Bridgeport School District","Asian","*","*","*","*","*","*","*"
"Bridgeport School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bridgeport School District","White",115,81,70.4,"*","*",29,25.2
"Bristol School District","Black",47,34,72.3,"*","*",11,23.4
"Bristol School District","Hispanic",80,66,82.5,"*","*",13,16.3
"Bristol School District","Asian","*","*","*","*","*","*","*"
"Bristol School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bristol School District","White",565,475,84.1,10,1.8,80,14.2
"Brookfield School District","Black","*","*","*","*","*","*","*"
"Brookfield School District","Hispanic",8,8,100.0,"*","*","*","*"
"Brookfield School District","Asian","*","*","*","*","*","*","*"
"Brookfield School District","White",250,240,96.0,"*","*",9,3.6
"Canton School District","Black","*","*","*","*","*","*","*"
"Canton School District","Hispanic","*","*","*","*","*","*","*"
"Canton School District","Asian","*","*","*","*","*","*","*"
"Canton School District","White",111,105,94.6,"*","*","*","*"
"Capitol Region Education Council","Black",134,119,88.8,"*","*",14,10.4
"Capitol Region Education Council","Hispanic",60,46,76.7,"*","*",13,21.7
"Capitol Region Education Council","Asian",13,10,76.9,"*","*","*","*"
"Capitol Region Education Council","White",94,86,91.5,"*","*","*","*"
"Cheshire School District","Black",14,13,92.9,"*","*","*","*"
"Cheshire School District","Hispanic",14,14,100.0,"*","*","*","*"
"Cheshire School District","Asian",24,24,100.0,"*","*","*","*"
"Cheshire School District","White",323,313,96.9,"*","*",6,1.9
"Clinton School District","Black","*","*","*","*","*","*","*"
"Clinton School District","Hispanic",12,12,100.0,"*","*","*","*"
"Clinton School District","Asian","*","*","*","*","*","*","*"
"Clinton School District","White",126,119,94.4,"*","*",6,4.8
"Colchester School District","Black",7,6,85.7,"*","*","*","*"
"Colchester School District","Hispanic",7,7,100.0,"*","*","*","*"
"Colchester School District","Asian","*","*","*","*","*","*","*"
"Colchester School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Colchester School District","White",231,220,95.2,"*","*",6,2.6
"Common Ground High School District","Black",19,17,89.5,"*","*","*","*"
"Common Ground High School District","Hispanic",12,9,75.0,"*","*","*","*"
"Common Ground High School District","White",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","Black",302,288,95.4,"*","*",14,4.6
"Connecticut Technical High School System","Hispanic",616,568,92.2,"*","*",48,7.8
"Connecticut Technical High School System","Asian",17,17,100.0,"*","*","*","*"
"Connecticut Technical High School System","Indian or Alaska Native",15,14,93.3,"*","*","*","*"
"Connecticut Technical High School System","White",1382,1311,94.9,"*","*",70,5.1
"Coventry School District","Black","*","*","*","*","*","*","*"
"Coventry School District","Hispanic","*","*","*","*","*","*","*"
"Coventry School District","Asian","*","*","*","*","*","*","*"
"Coventry School District","White",145,133,91.7,"*","*",8,5.5
"Cromwell School District","Black",13,12,92.3,"*","*","*","*"
"Cromwell School District","Hispanic","*","*","*","*","*","*","*"
"Cromwell School District","Asian","*","*","*","*","*","*","*"
"Cromwell School District","White",149,141,94.6,"*","*","*","*"
"Danbury School District","Black",83,69,83.1,"*","*",13,15.7
"Danbury School District","Hispanic",229,172,75.1,6,2.6,51,22.3
"Danbury School District","Asian","*","*","*","*","*","*","*"
"Danbury School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Danbury School District","White",383,324,84.6,8,2.1,51,13.3
"Darien School District","Black","*","*","*","*","*","*","*"
"Darien School District","Hispanic",13,12,92.3,"*","*","*","*"
"Darien School District","Asian",6,6,100.0,"*","*","*","*"
"Darien School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Darien School District","White",304,295,97.0,"*","*",7,2.3
"Derby School District","Black",21,"*","*","*","*",6,28.6
"Derby School District","Hispanic","*","*","*","*","*","*","*"
"Derby School District","Asian","*","*","*","*","*","*","*"
"Derby School District","White",80,64,80.0,"*","*",14,17.5
"East Granby School District","Black","*","*","*","*","*","*","*"
"East Granby School District","Hispanic","*","*","*","*","*","*","*"
"East Granby School District","Asian","*","*","*","*","*","*","*"
"East Granby School District","White",71,69,97.2,"*","*","*","*"
"East Haddam School District","Black","*","*","*","*","*","*","*"
"East Haddam School District","Hispanic","*","*","*","*","*","*","*"
"East Haddam School District","Asian","*","*","*","*","*","*","*"
"East Haddam School District","White",92,86,93.5,"*","*",6,6.5
"East Hampton School District","Hispanic","*","*","*","*","*","*","*"
"East Hampton School District","Asian","*","*","*","*","*","*","*"
"East Hampton School District","White",133,121,91.0,"*","*",9,6.8
"East Hartford School District","Black",219,184,84.0,"*","*",34,15.5
"East Hartford School District","Hispanic",189,151,79.9,"*","*",34,18.0
"East Hartford School District","Asian","*","*","*","*","*","*","*"
"East Hartford School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"East Hartford School District","White",162,141,87.0,"*","*",19,11.7
"East Haven School District","Black",9,6,66.7,"*","*","*","*"
"East Haven School District","Hispanic",33,28,84.8,"*","*","*","*"
"East Haven School District","Asian",15,14,93.3,"*","*","*","*"
"East Haven School District","White",243,210,86.4,"*","*",31,12.8
"East Lyme School District","Black","*","*","*","*","*","*","*"
"East Lyme School District","Hispanic",9,9,100.0,"*","*","*","*"
"East Lyme School District","Asian",22,20,90.9,"*","*","*","*"
"East Lyme School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"East Lyme School District","White",288,282,97.9,"*","*","*","*"
"East Windsor School District","Black",15,13,86.7,"*","*","*","*"
"East Windsor School District","Hispanic","*","*","*","*","*","*","*"
"East Windsor School District","Asian","*","*","*","*","*","*","*"
"East Windsor School District","White",70,64,91.4,"*","*",6,8.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Black","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Hispanic",10,10,100.0,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Indian or Alaska Native","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","White",46,34,73.9,"*","*",12,26.1
"Ellington School District","Black","*","*","*","*","*","*","*"
"Ellington School District","Hispanic","*","*","*","*","*","*","*"
"Ellington School District","Asian","*","*","*","*","*","*","*"
"Ellington School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ellington School District","White",172,163,94.8,"*","*",9,5.2
"Enfield School District","Black",28,22,78.6,"*","*",6,21.4
"Enfield School District","Hispanic",23,15,65.2,"*","*",7,30.4
"Enfield School District","Asian","*","*","*","*","*","*","*"
"Enfield School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Enfield School District","White",453,396,87.4,7,1.5,50,11.0
"Explorations District","Hispanic","*","*","*","*","*","*","*"
"Explorations District","Asian","*","*","*","*","*","*","*"
"Explorations District","White",28,20,71.4,"*","*",8,28.6
"Fairfield School District","Black",33,32,97.0,"*","*","*","*"
"Fairfield School District","Hispanic",38,31,81.6,"*","*",6,15.8
"Fairfield School District","Asian",34,33,97.1,"*","*","*","*"
"Fairfield School District","White",550,533,96.9,"*","*",12,2.2
"Farmington School District","Black",22,"*","*","*","*","*","*"
"Farmington School District","Hispanic",8,"*","*","*","*","*","*"
"Farmington School District","Asian",21,21,100.0,"*","*","*","*"
"Farmington School District","White",285,278,97.5,"*","*",6,2.1
"Glastonbury School District","Black",23,21,91.3,"*","*","*","*"
"Glastonbury School District","Hispanic","*","*","*","*","*","*","*"
"Glastonbury School District","Asian",48,47,97.9,"*","*","*","*"
"Glastonbury School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Glastonbury School District","White",463,452,97.6,"*","*","*","*"
"Granby School District","Black","*","*","*","*","*","*","*"
"Granby School District","Hispanic","*","*","*","*","*","*","*"
"Granby School District","Asian","*","*","*","*","*","*","*"
"Granby School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Granby School District","White",184,181,98.4,"*","*","*","*"
"Greenwich School District","Black","*","*","*","*","*","*","*"
"Greenwich School District","Hispanic",94,89,94.7,"*","*","*","*"
"Greenwich School District","Asian",44,42,95.5,"*","*","*","*"
"Greenwich School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Greenwich School District","White",473,463,97.9,"*","*","*","*"
"Griswold School District","Black","*","*","*","*","*","*","*"
"Griswold School District","Hispanic",6,"*","*","*","*","*","*"
"Griswold School District","Asian","*","*","*","*","*","*","*"
"Griswold School District","Indian or Alaska Native",7,"*","*","*","*","*","*"
"Griswold School District","White",182,154,84.6,"*","*",26,14.3
"Groton School District","Black",47,38,80.9,"*","*",9,19.1
"Groton School District","Hispanic",36,25,69.4,"*","*",9,25.0
"Groton School District","Asian","*","*","*","*","*","*","*"
"Groton School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Groton School District","White",224,188,83.9,"*","*",33,14.7
"Guilford School District","Black","*","*","*","*","*","*","*"
"Guilford School District","Hispanic",12,11,91.7,"*","*","*","*"
"Guilford School District","Asian","*","*","*","*","*","*","*"
"Guilford School District","White",251,242,96.4,"*","*",9,3.6
"Hamden School District","Black",213,169,79.3,"*","*",39,18.3
"Hamden School District","Hispanic",66,55,83.3,"*","*","*","*"
"Hamden School District","Asian",24,23,95.8,"*","*","*","*"
"Hamden School District","White",281,262,93.2,"*","*",15,5.3
"Hartford School District","Black",662,503,76.0,11,1.7,148,22.4
"Hartford School District","Hispanic",788,468,59.4,21,2.7,297,37.7
"Hartford School District","Asian","*","*","*","*","*","*","*"
"Hartford School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Hartford School District","White",113,100,88.5,"*","*",12,10.6
"Killingly School District","Black","*","*","*","*","*","*","*"
"Killingly School District","Hispanic",6,"*","*","*","*","*","*"
"Killingly School District","Asian",7,"*","*","*","*","*","*"
"Killingly School District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Killingly School District","White",177,133,75.1,"*","*",39,22.0
"Lebanon School District","Hispanic","*","*","*","*","*","*","*"
"Lebanon School District","White","*","*","*","*","*","*","*"
"Ledyard School District","Black",10,7,70.0,"*","*","*","*"
"Ledyard School District","Hispanic",19,16,84.2,"*","*","*","*"
"Ledyard School District","Asian",13,13,100.0,"*","*","*","*"
"Ledyard School District","Indian or Alaska Native",7,6,85.7,"*","*","*","*"
"Ledyard School District","White",183,170,92.9,"*","*",10,5.5
