"Five-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","ELL",13,9,69.2,"*","*","*","*"
"Ansonia School District","Non-ELL",197,164,83.2,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*","*","*"
"Bolton School District","Non-ELL",82,79,96.3,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*"
"Bridgeport School District","ELL",173,110,63.6,"*","*",59,34.1
"Bridgeport School District","Non-ELL",1045,775,74.2,"*","*",248,23.7
"Bristol School District","ELL",24,16,66.7,"*","*","*","*"
"Bristol School District","Non-ELL",605,520,86.0,"*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*"
"Canton School District","Non-ELL",124,122,98.4,"*","*","*","*"
"Capitol Region Education Council","ELL",9,9,100.0,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",244,207,84.8,"*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","ELL",96,85,88.5,"*","*",10,10.4
"Connecticut Technical High School System","Non-ELL",2377,2314,97.3,"*","*",63,2.7
"Coventry School District","ELL","*","*","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*","*","*"
"Danbury School District","ELL",133,90,67.7,7,5.3,36,27.1
"Danbury School District","Non-ELL",642,555,86.4,18,2.8,69,10.7
"Darien School District","Non-ELL",316,308,97.5,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*","*","*"
"East Granby School District","Non-ELL",71,67,94.4,"*","*","*","*"
"East Haddam School District","Non-ELL",99,96,97.0,"*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*","*","*"
"East Hartford School District","ELL",33,28,84.8,"*","*","*","*"
"East Hartford School District","Non-ELL",513,428,83.4,"*","*","*","*"
"East Haven School District","ELL","*","*","*","*","*","*","*"
"East Haven School District","Non-ELL","*","*","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,10,76.9,"*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*","*","*"
"Fairfield School District","ELL",14,12,85.7,"*","*","*","*"
"Fairfield School District","Non-ELL",691,653,94.5,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*","*","*"
"Granby School District","Non-ELL",198,192,97.0,"*","*","*","*"
"Greenwich School District","ELL",24,21,87.5,"*","*","*","*"
"Greenwich School District","Non-ELL",667,646,96.9,"*","*","*","*"
"Griswold School District","Non-ELL",168,152,90.5,"*","*","*","*"
"Groton School District","ELL",9,8,88.9,"*","*","*","*"
"Groton School District","Non-ELL",318,264,83.0,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*","*","*"
"Hamden School District","ELL",10,9,90.0,"*","*","*","*"
"Hamden School District","Non-ELL",440,394,89.5,"*","*","*","*"
"Hartford School District","ELL",225,147,65.3,6,2.7,72,32.0
"Hartford School District","Non-ELL",1217,951,78.1,30,2.5,235,19.3
"Killingly School District","ELL","*","*","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*","*","*"
"Ledyard School District","Non-ELL",231,209,90.5,9,3.9,13,5.6
"Lisbon School District","Non-ELL",6,"*","*","*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*","*","*"
"Madison School District","Non-ELL",316,315,99.7,"*","*","*","*"
"Manchester School District","ELL",28,22,78.6,"*","*","*","*"
"Manchester School District","Non-ELL",445,364,81.8,"*","*","*","*"
"Meriden School District","ELL",62,35,56.5,"*","*",23,37.1
"Meriden School District","Non-ELL",564,429,76.1,"*","*",114,20.2
"Middletown School District","ELL",12,9,75.0,"*","*","*","*"
"Middletown School District","Non-ELL",364,309,84.9,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*","*","*"
"Monroe School District","Non-ELL",309,304,98.4,"*","*","*","*"
"Montville School District","ELL",8,7,87.5,"*","*","*","*"
"Montville School District","Non-ELL",180,158,87.8,"*","*","*","*"
"Naugatuck School District","ELL",14,10,71.4,"*","*","*","*"
"Naugatuck School District","Non-ELL",319,263,82.4,"*","*","*","*"
"New Britain School District","ELL",118,70,59.3,6,5.1,42,35.6
"New Britain School District","Non-ELL",533,363,68.1,26,4.9,144,27.0
"New Canaan School District","ELL","*","*","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*","*","*"
