"Five-Year Graduation Rates, 2013-14"
"All Districts, High Needs Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*","*","*"
"Ansonia School District","High Needs",112,85,75.9,"*","*","*","*"
"Ansonia School District","Non-High Needs",44,40,90.9,"*","*","*","*"
"Avon School District","High Needs",44,40,90.9,"*","*","*","*"
"Avon School District","Non-High Needs",228,227,99.6,"*","*","*","*"
"Berlin School District","High Needs",62,56,90.3,"*","*","*","*"
"Berlin School District","Non-High Needs",173,171,98.8,"*","*","*","*"
"Bethel School District","High Needs",81,72,88.9,"*","*","*","*"
"Bethel School District","Non-High Needs",163,159,97.5,"*","*","*","*"
"Bloomfield School District","High Needs",122,112,91.8,"*","*","*","*"
"Bloomfield School District","Non-High Needs",49,46,93.9,"*","*","*","*"
"Bolton School District","High Needs",16,14,87.5,"*","*","*","*"
"Bolton School District","Non-High Needs",85,85,100.0,"*","*","*","*"
"Branford School District","High Needs",110,94,85.5,"*","*",13,11.8
"Branford School District","Non-High Needs",188,181,96.3,"*","*",7,3.7
"Bridgeport School District","High Needs","*","*","*","*","*","*","*"
"Bridgeport School District","Non-High Needs","*","*","*","*","*","*","*"
"Bristol School District","High Needs",341,262,76.8,"*","*",62,18.2
"Bristol School District","Non-High Needs",356,340,95.5,"*","*",16,4.5
"Brookfield School District","High Needs",46,45,97.8,"*","*","*","*"
"Brookfield School District","Non-High Needs",186,186,100.0,"*","*","*","*"
"Canton School District","High Needs",24,20,83.3,"*","*","*","*"
"Canton School District","Non-High Needs",112,111,99.1,"*","*","*","*"
"Capitol Region Education Council","High Needs",223,182,81.6,"*","*",27,12.1
"Capitol Region Education Council","Non-High Needs",120,111,92.5,"*","*",9,7.5
"Cheshire School District","High Needs",91,80,87.9,"*","*","*","*"
"Cheshire School District","Non-High Needs",298,298,100.0,"*","*","*","*"
"Clinton School District","High Needs",28,25,89.3,"*","*","*","*"
"Clinton School District","Non-High Needs",102,99,97.1,"*","*","*","*"
"Colchester School District","High Needs",58,52,89.7,"*","*","*","*"
"Colchester School District","Non-High Needs",190,189,99.5,"*","*","*","*"
"Common Ground High School District","High Needs",22,19,86.4,"*","*","*","*"
"Common Ground High School District","Non-High Needs",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1521,1459,95.9,"*","*",50,3.3
"Connecticut Technical High School System","Non-High Needs",897,876,97.7,"*","*",16,1.8
"Coventry School District","High Needs",34,31,91.2,"*","*","*","*"
"Coventry School District","Non-High Needs",98,98,100.0,"*","*","*","*"
"Cromwell School District","High Needs",38,26,68.4,"*","*","*","*"
"Cromwell School District","Non-High Needs",97,97,100.0,"*","*","*","*"
"Danbury School District","High Needs",441,336,76.2,"*","*",79,17.9
"Danbury School District","Non-High Needs",307,293,95.4,"*","*",12,3.9
"Darien School District","High Needs",64,57,89.1,"*","*","*","*"
"Darien School District","Non-High Needs",272,270,99.3,"*","*","*","*"
"Department of Mental Health and Addiction Services","High Needs","*","*","*","*","*","*","*"
"Derby School District","High Needs",66,54,81.8,"*","*","*","*"
"Derby School District","Non-High Needs",36,34,94.4,"*","*","*","*"
"East Granby School District","High Needs",10,7,70.0,"*","*","*","*"
"East Granby School District","Non-High Needs",55,54,98.2,"*","*","*","*"
"East Haddam School District","High Needs",34,28,82.4,"*","*","*","*"
"East Haddam School District","Non-High Needs",71,71,100.0,"*","*","*","*"
"East Hampton School District","High Needs",20,17,85.0,"*","*","*","*"
"East Hampton School District","Non-High Needs",101,101,100.0,"*","*","*","*"
"East Hartford School District","High Needs",397,326,82.1,"*","*",50,12.6
"East Hartford School District","Non-High Needs",105,95,90.5,"*","*",7,6.7
"East Haven School District","High Needs",152,114,75.0,"*","*","*","*"
"East Haven School District","Non-High Needs",105,100,95.2,"*","*","*","*"
"East Lyme School District","High Needs",64,53,82.8,"*","*","*","*"
"East Lyme School District","Non-High Needs",211,207,98.1,"*","*","*","*"
"East Windsor School District","High Needs",53,50,94.3,"*","*","*","*"
"East Windsor School District","Non-High Needs",56,52,92.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",43,32,74.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",26,22,84.6,"*","*","*","*"
"Ellington School District","High Needs",41,37,90.2,"*","*","*","*"
"Ellington School District","Non-High Needs",153,149,97.4,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*","*","*"
"Enfield School District","High Needs",175,135,77.1,"*","*",35,20.0
"Enfield School District","Non-High Needs",251,241,96.0,"*","*",10,4.0
"Explorations District","High Needs","*","*","*","*","*","*","*"
"Explorations District","Non-High Needs","*","*","*","*","*","*","*"
"Fairfield School District","High Needs",169,143,84.6,"*","*",14,8.3
"Fairfield School District","Non-High Needs",558,551,98.7,"*","*",7,1.3
"Farmington School District","High Needs",65,58,89.2,"*","*","*","*"
"Farmington School District","Non-High Needs",275,275,100.0,"*","*","*","*"
"Glastonbury School District","High Needs",124,107,86.3,"*","*","*","*"
"Glastonbury School District","Non-High Needs",460,459,99.8,"*","*","*","*"
"Granby School District","High Needs",37,32,86.5,"*","*","*","*"
"Granby School District","Non-High Needs",164,162,98.8,"*","*","*","*"
"Greenwich School District","High Needs",200,189,94.5,"*","*","*","*"
"Greenwich School District","Non-High Needs",467,462,98.9,"*","*","*","*"
"Griswold School District","High Needs",88,70,79.5,"*","*","*","*"
"Griswold School District","Non-High Needs",82,79,96.3,"*","*","*","*"
"Groton School District","High Needs",170,133,78.2,"*","*",31,18.2
"Groton School District","Non-High Needs",147,138,93.9,"*","*",9,6.1
"Guilford School District","High Needs",69,58,84.1,"*","*","*","*"
"Guilford School District","Non-High Needs",215,212,98.6,"*","*","*","*"
"Hamden School District","High Needs",228,192,84.2,"*","*","*","*"
"Hamden School District","Non-High Needs",229,226,98.7,"*","*","*","*"
"Hartford School District","High Needs",1239,941,75.9,"*","*","*","*"
