"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","English Learner Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","English Language Learners",*,*
"Avon School District","=""0040011""","Avon High School","English Language Learners",*,*
"Berlin School District","=""0070011""","Berlin High School","English Language Learners",*,*
"Bethel School District","=""0090011""","Bethel High School","English Language Learners",*,*
"Bridgeport School District","=""0150011""","Bassick High School","English Language Learners",34.8,*
"Bridgeport School District","=""0150011""","Central High School","English Language Learners",50.0,*
"Bridgeport School District","=""0150011""","Harding High School","English Language Learners",*,*
"Bristol School District","=""0170011""","Bristol Central High School","English Language Learners",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","English Language Learners",*,*
"Clinton School District","=""0270011""","The Morgan School","English Language Learners",*,*
"Cromwell School District","=""0330011""","Cromwell High School","English Language Learners",*,*
"Danbury School District","=""0340011""","Danbury High School","English Language Learners",26.9,*
"Darien School District","=""0350011""","Darien High School","English Language Learners",*,*
"Derby School District","=""0370011""","Derby High School","English Language Learners",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","English Language Learners",*,*
"East Hartford School District","=""0430011""","East Hartford High School","English Language Learners",*,*
"East Haven School District","=""0440011""","East Haven High School","English Language Learners",*,*
"East Lyme School District","=""0450011""","East Lyme High School","English Language Learners",*,*
"East Windsor School District","=""0470011""","East Windsor High School","English Language Learners",*,*
"Enfield School District","=""0490011""","Enfield High School","English Language Learners",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","English Language Learners",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","English Language Learners",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","English Language Learners",*,*
"Greenwich School District","=""0570011""","Greenwich High School","English Language Learners",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","English Language Learners",*,*
"Guilford School District","=""0600011""","Guilford High School","English Language Learners",*,*
"Hamden School District","=""0620011""","Hamden High School","English Language Learners",*,*
"Hartford School District","=""0640011""","Bulkeley High School Lower School","English Language Learners",35.5,*
"Hartford School District","=""0640011""","Hartford Public High School","English Language Learners",32.1,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","English Language Learners",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","English Language Learners",*,*
"Hartford School District","=""0640011""","Weaver High School","English Language Learners",*,*
"Killingly School District","=""0690011""","Killingly High School","English Language Learners",*,*
"Ledyard School District","=""0720011""","Ledyard High School","English Language Learners",*,*
"Manchester School District","=""0770011""","Manchester High School","English Language Learners",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","English Language Learners",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","English Language Learners",*,*
"Milford School District","=""0840011""","Jonathan Law High School","English Language Learners",*,*
"Montville School District","=""0860011""","Montville High School","English Language Learners",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","English Language Learners",*,*
"New Britain School District","=""0890011""","New Britain High School","English Language Learners",48.5,87.5
"New Canaan School District","=""0900011""","New Canaan High School","English Language Learners",*,*
"New Haven School District","=""0930011""","Cooperative High School","English Language Learners",*,*
"New Haven School District","=""0930011""","High School In The Community","English Language Learners",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","English Language Learners",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","English Language Learners",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","English Language Learners",*,*
"New Haven School District","=""0930011""","Wilbur Cross High School","English Language Learners",18.8,*
"Newington School District","=""0940011""","Newington High School","English Language Learners",*,*
"New London School District","=""0950011""","New London Clinical Day Program","English Language Learners",*,*
"New London School District","=""0950011""","New London High School","English Language Learners",50.0,*
"New Milford School District","=""0960011""","New Milford High School","English Language Learners",*,*
"North Branford School District","=""0990011""","North Branford High School","English Language Learners",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","English Language Learners",26.9,*
"Norwalk School District","=""1030011""","Norwalk High School","English Language Learners",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","English Language Learners",*,*
"Plainfield School District","=""1090011""","Plainfield High School","English Language Learners",*,*
"Plainville School District","=""1100011""","Plainville High School","English Language Learners",*,*
"Plymouth School District","=""1110011""","Terryville High School","English Language Learners",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","English Language Learners",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","English Language Learners",*,*
"Shelton School District","=""1260011""","Shelton High School","English Language Learners",*,*
"Southington School District","=""1310011""","Southington High School","English Language Learners",*,*
"South Windsor School District","=""1320011""","South Windsor High School","English Language Learners",*,*
"Stamford School District","=""1350011""","Stamford High School","English Language Learners",24.3,*
"Stamford School District","=""1350011""","Westhill High School","English Language Learners",36.8,76.2
"Stratford School District","=""1380011""","Stratford High School","English Language Learners",*,*
"Thomaston School District","=""1400011""","Thomaston High School","English Language Learners",*,*
"Tolland School District","=""1420011""","Tolland High School","English Language Learners",*,*
"Torrington School District","=""1430011""","Torrington High School","English Language Learners",*,*
"Trumbull School District","=""1440011""","Trumbull High School","English Language Learners",*,*
"Vernon School District","=""1460011""","Rockville High School","English Language Learners",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","English Language Learners",*,*
"Waterbury School District","=""1510011""","Crosby High School","English Language Learners",38.7,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","English Language Learners",29.2,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","English Language Learners",*,*
"Waterbury School District","=""1510011""","Wilby High School","English Language Learners",*,*
"Waterford School District","=""1520011""","Waterford High School","English Language Learners",*,*
"Watertown School District","=""1530011""","Watertown High School","English Language Learners",*,*
"West Hartford School District","=""1550011""","Conard High School","English Language Learners",*,*
"West Hartford School District","=""1550011""","Hall High School","English Language Learners",*,*
"West Haven School District","=""1560011""","West Haven High School","English Language Learners",*,*
"Weston School District","=""1570011""","Weston High School","English Language Learners",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","English Language Learners",*,*
"Windham School District","=""1630011""","Windham High School","English Language Learners",*,*
"Windsor School District","=""1640011""","Windsor High School","English Language Learners",*,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","English Language Learners",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","English Language Learners",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","English Language Learners",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","English Language Learners",*,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","English Language Learners",*,*
"Stamford Academy District","=""2820013""","Stamford Academy","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","English Language Learners",*,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","English Language Learners",*,*
"The Gilbert School District","=""9020022""","The Gilbert School","English Language Learners",*,*

