"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Female",49.1,85.2
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Male",28.0,77.1
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Female",47.2,*
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Male",39.2,64.5
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Female",73.0,83.2
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Male",68.5,83.0
"The Gilbert School District","=""9020022""","The Gilbert School","Female",70.8,89.1
"The Gilbert School District","=""9020022""","The Gilbert School","Male",67.9,91.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","Female",80.1,92.7
"Woodstock Academy District","=""9030022""","Woodstock Academy","Male",70.2,83.5

