"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",59.4,78.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",88.2,95.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",88.1,92.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",77.7,85.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",73.2,81.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",73.1,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",84.4,92.6
"Branford School District","=""0140011""","Branford High School","=""0146111""",73.0,92.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",41.7,71.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",61.8,83.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",46.1,78.3
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",*,*
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",63.4,87.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",67.0,90.3
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",85.5,93.3
"Canton School District","=""0230011""","Canton High School","=""0236111""",77.6,89.4
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",84.7,93.9
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",75.8,91.8
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",78.4,91.1
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",71.1,91.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",78.5,93.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",30.0,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",68.0,87.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",89.3,96.9
"Derby School District","=""0370011""","Derby High School","=""0376111""",54.5,72.2
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",80.0,83.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",62.9,88.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",82.9,91.8
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",95.6,95.3
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",63.8,72.3
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",20.8,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",65.6,86.0
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",85.3,93.2
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",63.0,85.7
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",71.9,87.0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",71.2,77.6
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",70.6,83.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",83.3,93.2
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",81.6,96.8
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",85.4,91.6
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",85.6,95.0
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",*,*
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",86.9,97.1
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",81.5,90.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",63.3,76.3
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",62.7,77.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",86.6,94.4
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",73.0,86.8
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",31.6,75.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",92.5,75.5
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",90.1,90.4
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",34.7,38.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",79.2,76.2
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",47.6,60.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",56.3,59.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",47.2,68.0
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",50.0,81.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",50.0,57.1
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",34.3,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",62.1,75.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",75.5,78.9
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",84.2,84.4
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",63.7,82.5
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",72.8,89.6
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",75.6,88.8
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",85.9,89.1
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",88.2,96.4
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",59.3,80.3
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",58.7,87.8
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",61.6,76.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",71.2,88.6
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",*,*
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",68.6,92.6
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",78.9,92.3
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",82.7,92.6
"Montville School District","=""0860011""","Montville High School","=""0866111""",64.1,87.2
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",63.3,88.5
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",*,*
"New Britain School District","=""0890011""","CLIMB","=""0899411""",*,*
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",62.0,79.1
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",*,*
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",87.8,94.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",84.2,94.4
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",74.7,75.4
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",69.4,84.0
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",77.3,81.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",71.4,60.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",61.1,73.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",68.6,67.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",74.2,80.4
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",40.0,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",75.0,90.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",54.2,71.1
"Newington School District","=""0940011""","Newington High School","=""0946111""",80.7,91.8
"New London School District","=""0950011""","New London High School","=""0956111""",57.8,73.1
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",*,*
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",78.0,93.4
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",85.5,95.2
"Newtown School District","=""0970011""","STARR","=""0979011""",*,*
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",73.2,87.1
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",*,*
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",78.8,91.3
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",66.1,75.7
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",75.9,85.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",77.5,86.5
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",44.8,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",81.3,92.3
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",83.3,91.4
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",67.1,75.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",76.3,85.2
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",*,*
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",75.4,88.0
"Portland School District","=""1130011""","Portland High School","=""1136111""",82.5,87.1
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",*,*
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",40.0,76.9
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",88.5,97.0
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",78.0,91.3
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",76.0,90.5
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",76.4,91.7
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",86.8,96.1
"Somers School District","=""1290011""","Somers High School","=""1296111""",81.4,98.1
"Southington School District","=""1310011""","Southington High School","=""1316211""",78.4,89.6
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""",*,*
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",86.4,92.7
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",60.6,81.9
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",76.8,88.5
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",85.4,92.9
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",71.0,85.2
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",73.4,95.2
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",77.2,89.0
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",71.7,87.7
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""",*,*
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",82.6,96.5
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",80.0,85.7
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",60.0,81.3
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",88.4,90.6
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",62.7,82.2
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",87.0,93.4
"Vernon School District","=""1460011""","Next Step Program (AACBP)","=""1469011""",*,*
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",67.7,88.2
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",*,*
