"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",58.0,78.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",86.8,94.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",82.5,95.8
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",70.6,91.3
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",68.2,84.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",56.3,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",88.8,94.4
"Branford School District","=""0140011""","Branford High School","=""0146111""",76.2,89.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",50.9,67.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",64.6,82.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",44.4,70.8
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",65.8,86.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",65.9,85.6
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",89.0,94.3
"Canton School District","=""0230011""","Canton High School","=""0236111""",78.8,92.5
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",85.9,95.4
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",76.2,90.9
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",75.9,87.4
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",71.5,89.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",80.5,91.6
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",71.3,89.0
"Darien School District","=""0350011""","Darien High School","=""0356111""",90.2,97.8
"Derby School District","=""0370011""","Derby High School","=""0376111""",68.8,84.1
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",67.6,89.1
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",81.1,88.3
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",81.0,90.2
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",94.6,100.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",64.0,77.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",27.2,28.0
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",69.3,85.0
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",84.8,94.4
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",59.8,95.9
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",83.6,92.8
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",63.8,80.4
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",70.3,86.1
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",84.3,94.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",86.2,94.7
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",87.8,94.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",88.0,96.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",90.5,91.8
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",83.2,94.6
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",69.0,76.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",69.6,81.9
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",86.3,94.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",70.2,86.7
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",44.7,72.2
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",93.9,87.1
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",90.5,94.7
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",41.3,*
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",77.3,80.4
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",34.4,74.2
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",53.8,77.2
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",49.1,74.1
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",72.5,67.2
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",53.8,78.6
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",32.0,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",71.2,85.1
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",83.0,74.0
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",88.2,92.7
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",60.1,79.8
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",77.3,88.2
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",77.4,90.2
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",*,*
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",71.3,88.7
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",86.8,96.8
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",68.3,82.0
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",62.5,82.7
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",54.6,74.8
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",65.3,87.9
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",*,*
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",67.5,88.3
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",78.0,87.2
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",83.3,91.3
"Montville School District","=""0860011""","Montville High School","=""0866111""",69.6,89.1
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",68.4,83.9
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",*,*
