"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",61.0,87.2
"Avon School District","=""0040011""","Avon High School","=""0046111""",84.3,95.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",83.5,92.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",81.1,90.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",76.3,84.9
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",88.2,93.3
"Branford School District","=""0140011""","Branford High School","=""0146111""",78.0,90.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",45.1,71.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",66.0,81.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",51.9,74.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",66.2,86.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",71.7,83.2
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",79.3,89.7
"Canton School District","=""0230011""","Canton High School","=""0236111""",73.0,91.7
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",89.0,94.6
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",70.2,87.9
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",80.2,88.1
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",65.8,89.6
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",79.2,90.5
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",69.5,89.0
"Darien School District","=""0350011""","Darien High School","=""0356111""",81.6,96.1
"Derby School District","=""0370011""","Derby High School","=""0376111""",60.0,92.6
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",82.7,93.5
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",66.7,94.8
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",79.1,87.3
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",81.8,85.2
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",63.8,78.4
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",23.9,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",70.0,87.2
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",82.1,90.5
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",58.8,89.4
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",83.6,92.3
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",77.9,91.6
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",73.4,85.3
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",81.6,96.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",81.3,93.2
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",84.0,94.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",83.9,96.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",88.8,91.0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",78.9,93.1
