"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",70.0,92.1
"Ansonia School District","=""0020011""","Ansonia High School","Male",63.4,82.2
"Avon School District","=""0040011""","Avon High School","Female",86.6,98.2
"Avon School District","=""0040011""","Avon High School","Male",77.6,95.6
"Berlin School District","=""0070011""","Berlin High School","Female",82.7,94.5
"Berlin School District","=""0070011""","Berlin High School","Male",69.6,94.3
"Bethel School District","=""0090011""","Bethel High School","Female",82.4,92.2
"Bethel School District","=""0090011""","Bethel High School","Male",74.4,86.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",78.3,81.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",55.1,76.7
"Bloomfield School District","=""0110011""","The Big Picture High School","Female",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",90.3,92.9
"Bolton School District","=""0120011""","Bolton High School","Male",82.9,93.1
"Branford School District","=""0140011""","Branford High School","Female",81.7,98.4
"Branford School District","=""0140011""","Branford High School","Male",76.8,91.5
"Bridgeport School District","=""0150011""","Bassick High School","Female",56.4,77.2
"Bridgeport School District","=""0150011""","Bassick High School","Male",48.9,58.7
"Bridgeport School District","=""0150011""","Central High School","Female",70.3,85.0
"Bridgeport School District","=""0150011""","Central High School","Male",57.0,84.2
"Bridgeport School District","=""0150011""","Harding High School","Female",53.7,78.5
"Bridgeport School District","=""0150011""","Harding High School","Male",43.8,76.2
"Bridgeport School District","=""0150011""","Park City Academy","Female",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Male",*,*
"Bridgeport School District","=""0150011""","The University School","Female",*,*
"Bridgeport School District","=""0150011""","The University School","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",64.9,85.7
"Bristol School District","=""0170011""","Bristol Central High School","Male",68.7,85.1
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",76.0,86.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",67.3,90.3
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",86.9,93.4
"Brookfield School District","=""0180011""","Brookfield High School","Male",83.9,90.4
"Canton School District","=""0230011""","Canton High School","Female",84.7,96.0
"Canton School District","=""0230011""","Canton High School","Male",79.7,84.7
"Cheshire School District","=""0250011""","Cheshire High School","Female",90.2,97.6
"Cheshire School District","=""0250011""","Cheshire High School","Male",84.0,92.5
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
