"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Students with Disabilities",*,*
"Avon School District","=""0040011""","Avon High School","Students with Disabilities",43.2,*
"Berlin School District","=""0070011""","Berlin High School","Students with Disabilities",38.7,*
"Bethel School District","=""0090011""","Bethel High School","Students with Disabilities",31.8,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Students with Disabilities",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Bolton High School","Students with Disabilities",*,*
"Branford School District","=""0140011""","Branford High School","Students with Disabilities",50.0,*
"Bridgeport School District","=""0150011""","Bassick High School","Students with Disabilities",37.5,*
"Bridgeport School District","=""0150011""","Central High School","Students with Disabilities",46.3,*
"Bridgeport School District","=""0150011""","Harding High School","Students with Disabilities",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Students with Disabilities",*,*
"Bridgeport School District","=""0150011""","The University School","Students with Disabilities",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Students with Disabilities",24.2,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Students with Disabilities",29.6,*
"Bristol School District","=""0170011""","Community/Vocational Program","Students with Disabilities",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Students with Disabilities",*,*
"Canton School District","=""0230011""","Canton High School","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Students with Disabilities",71.9,87.0
"Cheshire School District","=""0250011""","Humiston School","Students with Disabilities",*,*
"Clinton School District","=""0270011""","The Morgan School","Students with Disabilities",52.4,*
"Colchester School District","=""0280011""","Bacon Academy","Students with Disabilities",38.1,*
"Coventry School District","=""0320011""","Coventry High School","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Danbury High School","Students with Disabilities",43.5,75.0
"Darien School District","=""0350011""","Darien High School","Students with Disabilities",66.7,84.6
"Derby School District","=""0370011""","Derby High School","Students with Disabilities",*,*
"East Granby School District","=""0400011""","East Granby High School","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Students with Disabilities",30.9,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Woodland School","Students with Disabilities",*,*
"East Haven School District","=""0440011""","East Haven High School","Students with Disabilities",41.7,*
"East Haven School District","=""0440011""","Pathways","Students with Disabilities",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Students with Disabilities",61.1,68.2
"East Windsor School District","=""0470011""","East Windsor High School","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Ellington High School","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enfield High School","Students with Disabilities",36.4,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Students with Disabilities",48.1,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Students with Disabilities",74.3,88.5
"Fairfield School District","=""0510011""","Fairfield Warde High School","Students with Disabilities",51.6,*
"Farmington School District","=""0520011""","Farmington High School","Students with Disabilities",80.6,86.2
"Glastonbury School District","=""0540011""","Glastonbury High School","Students with Disabilities",62.7,83.8
"Granby School District","=""0560011""","Granby Memorial High School","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Students with Disabilities",63.7,87.5
"Griswold School District","=""0580011""","Griswold High School","Students with Disabilities",35.0,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Students with Disabilities",40.9,*
"Guilford School District","=""0600011""","Guilford High School","Students with Disabilities",79.4,81.5
"Hamden School District","=""0620011""","Hamden High School","Students with Disabilities",41.5,66.7
"Hartford School District","=""0640011""","Bulkeley High School","Students with Disabilities",28.0,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","Students with Disabilities",27.3,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Students with Disabilities",37.5,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Students with Disabilities",*,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Students with Disabilities",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Weaver High School","Students with Disabilities",33.3,*
"Killingly School District","=""0690011""","Killingly High School","Students with Disabilities",*,*
"Lebanon School District","=""0710011""","Lyman Memorial High School","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Students with Disabilities",48.0,*
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","Students with Disabilities",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Students with Disabilities",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Students with Disabilities",64.9,95.8
"Manchester School District","=""0770011""","Manchester High School","Students with Disabilities",45.5,*
"Manchester School District","=""0770011""","Manchester Regional Academy","Students with Disabilities",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Students with Disabilities",37.1,*
"Meriden School District","=""0800011""","Orville H. Platt High School","Students with Disabilities",29.4,*
"Middletown School District","=""0830011""","Middletown High School","Students with Disabilities",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Students with Disabilities",46.9,*
"Milford School District","=""0840011""","Joseph A. Foran High School","Students with Disabilities",47.1,*
"Monroe School District","=""0850011""","Masuk High School","Students with Disabilities",56.7,*
"Montville School District","=""0860011""","Montville High School","Students with Disabilities",*,*
"Montville School District","=""0860011""","Palmer Academy","Students with Disabilities",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Students with Disabilities",35.9,*
"New Britain School District","=""0890011""","Academic Extension Center","Students with Disabilities",*,*
"New Britain School District","=""0890011""","New Britain High School","Students with Disabilities",26.5,53.8
"New Canaan School District","=""0900011""","New Canaan High School","Students with Disabilities",63.3,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Students with Disabilities",75.9,72.7
"New Haven School District","=""0930011""","Cooperative High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","High School In The Community","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Students with Disabilities",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","New Haven Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Students with Disabilities",*,*
"New Haven School District","=""0930011""","Sound School","Students with Disabilities",50.0,*
"New Haven School District","=""0930011""","Wilbur Cross High School","Students with Disabilities",*,*
"Newington School District","=""0940011""","Newington High School","Students with Disabilities",46.2,*
"New London School District","=""0950011""","New London Clinical Day Program","Students with Disabilities",*,*
"New London School District","=""0950011""","New London High School","Students with Disabilities",*,*
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","Students with Disabilities",*,*
"New Milford School District","=""0960011""","New Milford High School","Students with Disabilities",43.2,*
"Newtown School District","=""0970011""","Newtown High School","Students with Disabilities",54.3,*
"North Branford School District","=""0990011""","North Branford High School","Students with Disabilities",*,*
"North Haven School District","=""1010011""","North Haven High School","Students with Disabilities",55.9,*
"North Stonington School District","=""1020011""","Wheeler High School","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Students with Disabilities",57.1,*
"Norwalk School District","=""1030011""","Norwalk High School","Students with Disabilities",40.6,*
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Students with Disabilities",*,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Students with Disabilities",*,*
"Norwich School District","=""1040011""","Thames River Academy","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Oxford High School","Students with Disabilities",45.0,*
"Plainfield School District","=""1090011""","Plainfield High School","Students with Disabilities",32.4,*
"Plainville School District","=""1100011""","Plainville High School","Students with Disabilities",45.8,*
"Plymouth School District","=""1110011""","Terryville High School","Students with Disabilities",*,*
"Portland School District","=""1130011""","Portland High School","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Helping Hands","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Putnam High School","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Students with Disabilities",67.7,95.2
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Students with Disabilities",62.5,*
"Seymour School District","=""1240011""","Seymour High School","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Shelton High School","Students with Disabilities",52.0,*
"Simsbury School District","=""1280011""","Simsbury High School","Students with Disabilities",65.8,80.0
"Somers School District","=""1290011""","Somers High School","Students with Disabilities",*,*
