"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",62.2,79.4
"Avon School District","=""0040011""","Avon High School","=""0046111""",85.3,97.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",76.9,89.7
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",71.8,92.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",70.1,86.5
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",83.6,98.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",74.9,91.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",46.8,85.4
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",59.4,84.9
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",37.3,77.1
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",67.9,88.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",68.8,87.3
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",84.5,92.9
"Canton School District","=""0230011""","Canton High School","=""0236111""",82.6,91.0
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",87.2,93.5
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",75.5,89.7
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",73.5,88.4
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",75.8,91.0
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",75.0,91.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",70.7,88.3
"Darien School District","=""0350011""","Darien High School","=""0356111""",87.1,95.7
"Derby School District","=""0370011""","Derby High School","=""0376111""",58.9,80.4
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",80.0,88.5
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",75.0,77.2
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",75.2,87.4
