"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",43.7,74.2
"Ansonia School District","=""0020011""","Pine Academy","Eligible for Free or Reduced-Price Meals",*,*
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",*,*
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",63.0,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",47.3,88.5
"Bloomfield School District","=""0110011""","The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",65.9,85.2
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",46.9,59.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Eligible for Free or Reduced-Price Meals",*,*
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",65.0,85.7
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",50.0,69.4
"Bridgeport School District","=""0150011""","New Start Program","Eligible for Free or Reduced-Price Meals",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Eligible for Free or Reduced-Price Meals",*,*
"Bridgeport School District","=""0150011""","The University School","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",45.5,71.1
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",52.0,88.5
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",*,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",*,*
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",68.2,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",44.9,85.4
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",75.0,95.2
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",42.1,*
