"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",58.2,91.3
"Ansonia School District","=""0020011""","Ansonia High School","Male",58.6,85.4
"Ansonia School District","=""0020011""","Pine Academy","Male",*,*
"Avon School District","=""0040011""","Avon High School","Female",93.3,96.4
"Avon School District","=""0040011""","Avon High School","Male",80.0,90.6
"Berlin School District","=""0070011""","Berlin High School","Female",87.3,94.2
"Berlin School District","=""0070011""","Berlin High School","Male",74.0,89.7
"Bethel School District","=""0090011""","Bethel High School","Female",79.5,91.4
"Bethel School District","=""0090011""","Bethel High School","Male",74.5,83.5
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",54.5,86.7
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",58.5,81.6
"Bloomfield School District","=""0110011""","The Big Picture High School","Female",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",91.4,96.9
"Bolton School District","=""0120011""","Bolton High School","Male",80.0,95.0
"Branford School District","=""0140011""","Branford High School","Female",78.3,90.1
"Branford School District","=""0140011""","Branford High School","Male",76.0,91.8
"Bridgeport School District","=""0150011""","Bassick High School","Female",52.8,59.6
"Bridgeport School District","=""0150011""","Bassick High School","Male",40.4,60.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Female",*,*
"Bridgeport School District","=""0150011""","Central High School","Female",68.4,86.3
"Bridgeport School District","=""0150011""","Central High School","Male",61.5,86.4
"Bridgeport School District","=""0150011""","Harding High School","Female",55.0,70.7
"Bridgeport School District","=""0150011""","Harding High School","Male",44.2,67.9
"Bridgeport School District","=""0150011""","New Start Program","Male",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Female",*,*
"Bridgeport School District","=""0150011""","Park City Academy","Male",*,*
"Bridgeport School District","=""0150011""","The University School","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",68.7,83.3
"Bristol School District","=""0170011""","Bristol Central High School","Male",67.4,85.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",75.9,89.4
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",65.9,85.7
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",92.2,95.0
"Brookfield School District","=""0180011""","Brookfield High School","Male",78.1,92.7
"Canton School District","=""0230011""","Canton High School","Female",81.0,97.9
"Canton School District","=""0230011""","Canton High School","Male",71.2,94.6
"Cheshire School District","=""0250011""","Cheshire High School","Female",88.1,94.4
"Cheshire School District","=""0250011""","Cheshire High School","Male",87.3,92.4
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",81.6,91.9
"Clinton School District","=""0270011""","The Morgan School","Male",70.1,92.6
"Colchester School District","=""0280011""","Bacon Academy","Female",80.2,92.5
"Colchester School District","=""0280011""","Bacon Academy","Male",72.4,90.8
"Coventry School District","=""0320011""","Coventry High School","Female",81.0,89.4
"Coventry School District","=""0320011""","Coventry High School","Male",59.7,81.1
"Cromwell School District","=""0330011""","Cromwell High School","Female",80.3,92.5
"Cromwell School District","=""0330011""","Cromwell High School","Male",78.0,91.3
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",73.3,90.5
"Danbury School District","=""0340011""","Danbury High School","Male",62.3,87.9
"Darien School District","=""0350011""","Darien High School","Female",85.8,96.1
"Darien School District","=""0350011""","Darien High School","Male",85.4,94.3
"Derby School District","=""0370011""","Derby High School","Female",58.3,82.1
"Derby School District","=""0370011""","Derby High School","Male",54.5,91.7
"East Granby School District","=""0400011""","East Granby High School","Female",79.3,91.3
"East Granby School District","=""0400011""","East Granby High School","Male",83.3,100.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",86.0,90.7
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",74.5,97.4
"East Hampton School District","=""0420011""","East Hampton High School","Female",88.6,87.2
"East Hampton School District","=""0420011""","East Hampton High School","Male",74.6,87.2
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Female",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",95.8,95.7
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",63.7,86.2
"East Hartford School District","=""0430011""","East Hartford High School","Male",56.5,79.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","Female",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Male",*,*
"East Hartford School District","=""0430011""","Woodland School","Female",*,*
"East Hartford School District","=""0430011""","Woodland School","Male",*,*
"East Haven School District","=""0440011""","East Haven High School","Female",72.1,88.8
"East Haven School District","=""0440011""","East Haven High School","Male",59.2,80.3
"East Haven School District","=""0440011""","Pathways","Female",*,*
"East Haven School District","=""0440011""","Pathways","Male",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Female",80.0,95.5
"East Lyme School District","=""0450011""","East Lyme High School","Male",78.5,90.3
"East Windsor School District","=""0470011""","East Windsor High School","Female",57.4,90.3
"East Windsor School District","=""0470011""","East Windsor High School","Male",39.3,90.9
"Ellington School District","=""0480011""","Ellington High School","Female",85.4,89.5
"Ellington School District","=""0480011""","Ellington High School","Male",77.3,90.7
"Enfield School District","=""0490011""","Enfield High School","Female",77.5,82.3
"Enfield School District","=""0490011""","Enfield High School","Male",69.6,88.7
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Female",*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Male",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Female",85.2,89.3
"Enfield School District","=""0490011""","Enrico Fermi High School","Male",74.6,90.3
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Female",88.0,97.3
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Male",81.7,94.4
"Fairfield School District","=""0510011""","Fairfield Warde High School","Female",82.1,93.5
"Fairfield School District","=""0510011""","Fairfield Warde High School","Male",80.5,93.5
"Farmington School District","=""0520011""","Farmington High School","Female",87.6,98.7
