"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",53.8,71.4
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",76.9,85.0
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",71.1,78.1
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",59.2,72.4
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",68.9,77.4
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Eligible for Free or Reduced-Price Meals",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",61.3,91.8
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",41.7,71.0
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",61.8,83.0
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",46.1,78.3
"Bridgeport School District","=""0150011""","Pride Academy","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",43.5,66.7
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",50.8,87.1
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",81.3,88.5
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",78.6,90.9
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",40.7,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",62.8,74.1
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",67.7,85.7
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",30.0,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",56.4,81.4
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",44.4,64.3
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",39.1,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",91.3,100.0
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",60.9,69.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",22.0,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",63.9,79.5
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",69.7,91.3
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",46.7,71.4
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",48.0,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",51.7,60.0
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Eligible for Free or Reduced-Price Meals",54.0,79.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Eligible for Free or Reduced-Price Meals",64.5,85.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","Eligible for Free or Reduced-Price Meals",71.4,96.4
"Farmington School District","=""0520011""","Farmington High School","Eligible for Free or Reduced-Price Meals",71.4,70.0
"Glastonbury School District","=""0540011""","Glastonbury High School","Eligible for Free or Reduced-Price Meals",64.3,88.9
"Glastonbury School District","=""0540011""","Links Academy","Eligible for Free or Reduced-Price Meals",*,*
"Granby School District","=""0560011""","Granby Memorial High School","Eligible for Free or Reduced-Price Meals",85.0,*
"Greenwich School District","=""0570011""","Greenwich High School","Eligible for Free or Reduced-Price Meals",76.3,73.3
"Griswold School District","=""0580011""","Griswold High School","Eligible for Free or Reduced-Price Meals",62.1,68.3
"Groton School District","=""0590011""","Robert E. Fitch High School","Eligible for Free or Reduced-Price Meals",50.4,62.9
"Guilford School District","=""0600011""","Guilford High School","Eligible for Free or Reduced-Price Meals",77.5,87.1
"Hamden School District","=""0620011""","Hamden High School","Eligible for Free or Reduced-Price Meals",63.5,80.3
"Hartford School District","=""0640011""","Bulkeley High School","Eligible for Free or Reduced-Price Meals",31.6,75.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Eligible for Free or Reduced-Price Meals",92.2,76.6
"Hartford School District","=""0640011""","Classical Magnet School","Eligible for Free or Reduced-Price Meals",92.5,90.3
"Hartford School District","=""0640011""","Culinary Arts Academy","Eligible for Free or Reduced-Price Meals",34.7,38.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","Eligible for Free or Reduced-Price Meals",80.0,75.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Eligible for Free or Reduced-Price Meals",46.8,58.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Eligible for Free or Reduced-Price Meals",56.4,60.4
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Eligible for Free or Reduced-Price Meals",47.6,68.0
"Hartford School District","=""0640011""","High School, Inc.","Eligible for Free or Reduced-Price Meals",50.0,81.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","Eligible for Free or Reduced-Price Meals",50.0,57.1
"Hartford School District","=""0640011""","OPPortunity High School","Eligible for Free or Reduced-Price Meals",34.3,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Eligible for Free or Reduced-Price Meals",54.2,61.5
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Eligible for Free or Reduced-Price Meals",75.5,78.9
"Hartford School District","=""0640011""","University High School of Science and Engineering","Eligible for Free or Reduced-Price Meals",84.3,81.4
"Killingly School District","=""0690011""","Killingly High School","Eligible for Free or Reduced-Price Meals",49.4,70.0
"Lebanon School District","=""0710011""","Lyman Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Ledyard High School","Eligible for Free or Reduced-Price Meals",61.2,82.9
"Litchfield School District","=""0740011""","Litchfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Eligible for Free or Reduced-Price Meals",75.9,95.5
"Manchester School District","=""0770011""","Manchester High School","Eligible for Free or Reduced-Price Meals",53.5,73.6
"Manchester School District","=""0770011""","Manchester Regional Academy","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Manchester Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Eligible for Free or Reduced-Price Meals",54.8,85.7
"Meriden School District","=""0800011""","Orville H. Platt High School","Eligible for Free or Reduced-Price Meals",56.8,73.0
"Middletown School District","=""0830011""","Middletown High School","Eligible for Free or Reduced-Price Meals",56.2,79.5
"Middletown School District","=""0830011""","Transition to Life Center","Eligible for Free or Reduced-Price Meals",*,*
"Milford School District","=""0840011""","Jonathan Law High School","Eligible for Free or Reduced-Price Meals",51.7,86.7
"Milford School District","=""0840011""","Joseph A. Foran High School","Eligible for Free or Reduced-Price Meals",56.1,83.8
"Monroe School District","=""0850011""","Masuk High School","Eligible for Free or Reduced-Price Meals",72.3,91.2
"Montville School District","=""0860011""","Montville High School","Eligible for Free or Reduced-Price Meals",49.2,74.2
"Montville School District","=""0860011""","Palmer Academy","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","Eligible for Free or Reduced-Price Meals",50.0,88.5
"New Britain School District","=""0890011""","Alternative Center School","Eligible for Free or Reduced-Price Meals",*,*
"New Britain School District","=""0890011""","CLIMB","Eligible for Free or Reduced-Price Meals",*,*
"New Britain School District","=""0890011""","New Britain High School","Eligible for Free or Reduced-Price Meals",58.6,76.5
"New Britain School District","=""0890011""","New Britain Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"New Canaan School District","=""0900011""","New Canaan High School","Eligible for Free or Reduced-Price Meals",*,*
"New Fairfield School District","=""0910011""","New Fairfield High School","Eligible for Free or Reduced-Price Meals",64.5,85.0
"New Haven School District","=""0930011""","Cooperative High School","Eligible for Free or Reduced-Price Meals",73.7,75.2
"New Haven School District","=""0930011""","High School In The Community","Eligible for Free or Reduced-Price Meals",67.6,82.6
"New Haven School District","=""0930011""","Hill Regional Career High School","Eligible for Free or Reduced-Price Meals",76.4,80.0
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","Eligible for Free or Reduced-Price Meals",68.8,54.5
"New Haven School District","=""0930011""","James Hillhouse High School","Eligible for Free or Reduced-Price Meals",58.9,73.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","Eligible for Free or Reduced-Price Meals",68.4,64.8
"New Haven School District","=""0930011""","New Haven Academy","Eligible for Free or Reduced-Price Meals",74.5,76.3
"New Haven School District","=""0930011""","Polly T. McCabe Center","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","Eligible for Free or Reduced-Price Meals",40.0,*
"New Haven School District","=""0930011""","Sound School","Eligible for Free or Reduced-Price Meals",70.6,88.9
"New Haven School District","=""0930011""","Wilbur Cross High School","Eligible for Free or Reduced-Price Meals",54.4,68.4
"Newington School District","=""0940011""","Newington High School","Eligible for Free or Reduced-Price Meals",74.0,83.8
"New London School District","=""0950011""","New London High School","Eligible for Free or Reduced-Price Meals",57.6,73.5
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","Eligible for Free or Reduced-Price Meals",*,*
"New Milford School District","=""0960011""","New Milford High School","Eligible for Free or Reduced-Price Meals",59.5,86.4
"Newtown School District","=""0970011""","Newtown High School","Eligible for Free or Reduced-Price Meals",70.3,88.5
"North Branford School District","=""0990011""","North Branford High School","Eligible for Free or Reduced-Price Meals",50.0,*
"North Branford School District","=""0990011""","School to Work Program","Eligible for Free or Reduced-Price Meals",*,*
"North Haven School District","=""1010011""","North Haven High School","Eligible for Free or Reduced-Price Meals",61.7,83.8
"North Stonington School District","=""1020011""","Wheeler High School","Eligible for Free or Reduced-Price Meals",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","Eligible for Free or Reduced-Price Meals",69.0,79.0
"Norwalk School District","=""1030011""","Norwalk High School","Eligible for Free or Reduced-Price Meals",68.3,79.1
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","Eligible for Free or Reduced-Price Meals",48.0,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","Eligible for Free or Reduced-Price Meals",*,*
"Norwich School District","=""1040011""","Virtual Learning Academy","Eligible for Free or Reduced-Price Meals",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","Eligible for Free or Reduced-Price Meals",69.0,80.0
"Oxford School District","=""1080011""","Oxford High School","Eligible for Free or Reduced-Price Meals",*,*
"Plainfield School District","=""1090011""","Plainfield High School","Eligible for Free or Reduced-Price Meals",55.3,64.3
"Plainville School District","=""1100011""","Plainville High School","Eligible for Free or Reduced-Price Meals",65.7,75.0
"Plymouth School District","=""1110011""","Plymouth Alternative High School","Eligible for Free or Reduced-Price Meals",*,*
"Plymouth School District","=""1110011""","Terryville High School","Eligible for Free or Reduced-Price Meals",57.9,81.8
"Portland School District","=""1130011""","Portland High School","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Helping Hands","Eligible for Free or Reduced-Price Meals",*,*
"Putnam School District","=""1160011""","Putnam High School","Eligible for Free or Reduced-Price Meals",30.2,*
"Ridgefield School District","=""1180011""","Ridgefield High School","Eligible for Free or Reduced-Price Meals",82.8,87.5
"Rocky Hill School District","=""1190011""","Rocky Hill High School","Eligible for Free or Reduced-Price Meals",52.8,*
"Seymour School District","=""1240011""","Seymour High School","Eligible for Free or Reduced-Price Meals",58.1,80.0
"Shelton School District","=""1260011""","Shelton High School","Eligible for Free or Reduced-Price Meals",58.3,89.8
"Simsbury School District","=""1280011""","Simsbury High School","Eligible for Free or Reduced-Price Meals",70.6,79.2
"Somers School District","=""1290011""","Somers High School","Eligible for Free or Reduced-Price Meals",*,*
"Southington School District","=""1310011""","Southington High School","Eligible for Free or Reduced-Price Meals",57.7,75.0
"South Windsor School District","=""1320011""","South Windsor High School","Eligible for Free or Reduced-Price Meals",71.1,81.5
"Stafford School District","=""1340011""","Stafford High School","Eligible for Free or Reduced-Price Meals",32.6,*
"Stamford School District","=""1350011""","Stamford High School","Eligible for Free or Reduced-Price Meals",68.7,84.2
"Stamford School District","=""1350011""","The Academy of Information Technology","Eligible for Free or Reduced-Price Meals",81.0,94.1
"Stamford School District","=""1350011""","Westhill High School","Eligible for Free or Reduced-Price Meals",61.2,76.7
"Stonington School District","=""1370011""","Stonington High School","Eligible for Free or Reduced-Price Meals",45.0,*
"Stratford School District","=""1380011""","Bunnell High School","Eligible for Free or Reduced-Price Meals",72.0,84.1
"Stratford School District","=""1380011""","Stratford High School","Eligible for Free or Reduced-Price Meals",66.7,79.1
"Stratford School District","=""1380011""","Strive-Stratford","Eligible for Free or Reduced-Price Meals",*,*
"Suffield School District","=""1390011""","Suffield High School","Eligible for Free or Reduced-Price Meals",52.2,*
"Thomaston School District","=""1400011""","Thomaston High School","Eligible for Free or Reduced-Price Meals",63.6,*
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","Eligible for Free or Reduced-Price Meals",38.2,*
"Tolland School District","=""1420011""","Tolland High School","Eligible for Free or Reduced-Price Meals",66.7,*
"Torrington School District","=""1430011""","Torrington High School","Eligible for Free or Reduced-Price Meals",51.2,77.8
"Trumbull School District","=""1440011""","Trumbull High School","Eligible for Free or Reduced-Price Meals",78.9,93.3
"Vernon School District","=""1460011""","Next Step Program (AACBP)","Eligible for Free or Reduced-Price Meals",*,*
"Vernon School District","=""1460011""","Rockville High School","Eligible for Free or Reduced-Price Meals",56.1,76.4
"Wallingford School District","=""1480011""","A.R.T.S. Academy","Eligible for Free or Reduced-Price Meals",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","Eligible for Free or Reduced-Price Meals",63.5,80.0
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","Eligible for Free or Reduced-Price Meals",40.5,*
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Crosby High School","Eligible for Free or Reduced-Price Meals",58.3,72.0
"Waterbury School District","=""1510011""","Enlightenment School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","Eligible for Free or Reduced-Price Meals",53.2,78.6
"Waterbury School District","=""1510011""","State Street School","Eligible for Free or Reduced-Price Meals",*,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","Eligible for Free or Reduced-Price Meals",68.0,80.4
"Waterbury School District","=""1510011""","Wilby High School","Eligible for Free or Reduced-Price Meals",51.3,60.0
"Waterford School District","=""1520011""","Waterford High School","Eligible for Free or Reduced-Price Meals",68.9,87.1
"Watertown School District","=""1530011""","Watertown High School","Eligible for Free or Reduced-Price Meals",60.9,92.3
"Westbrook School District","=""1540011""","Westbrook High School","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Achieve","Eligible for Free or Reduced-Price Meals",*,*
"West Hartford School District","=""1550011""","Conard High School","Eligible for Free or Reduced-Price Meals",73.6,78.7
"West Hartford School District","=""1550011""","Hall High School","Eligible for Free or Reduced-Price Meals",79.0,84.4
"West Hartford School District","=""1550011""","Strive-West Hartford","Eligible for Free or Reduced-Price Meals",*,*
"West Haven School District","=""1560011""","West Haven High School","Eligible for Free or Reduced-Price Meals",60.2,86.8
"Weston School District","=""1570011""","Weston High School","Eligible for Free or Reduced-Price Meals",*,*
"Westport School District","=""1580011""","Staples High School","Eligible for Free or Reduced-Price Meals",67.7,90.5
"Wethersfield School District","=""1590011""","Wethersfield High School","Eligible for Free or Reduced-Price Meals",67.6,85.4
"Wilton School District","=""1610011""","Wilton High School","Eligible for Free or Reduced-Price Meals",*,*
"Windham School District","=""1630011""","Windham High School","Eligible for Free or Reduced-Price Meals",47.4,67.4
"Windsor School District","=""1640011""","Windsor High School","Eligible for Free or Reduced-Price Meals",75.5,75.9
"Windsor Locks School District","=""1650011""","Windsor Locks High School","Eligible for Free or Reduced-Price Meals",56.9,79.3
"Wolcott School District","=""1660011""","Wolcott High School","Eligible for Free or Reduced-Price Meals",66.7,75.9
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","Eligible for Free or Reduced-Price Meals",40.9,*
"Regional School District 04","=""2040012""","Valley Regional High School","Eligible for Free or Reduced-Price Meals",50.0,*
"Regional School District 05","=""2050012""","Amity Regional High School","Eligible for Free or Reduced-Price Meals",63.0,*
"Regional School District 06","=""2060012""","Wamogo Regional High School","Eligible for Free or Reduced-Price Meals",85.7,*
"Regional School District 07","=""2070012""","AIM","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Intensive Learning Program","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 07","=""2070012""","Northwestern Regional High School","Eligible for Free or Reduced-Price Meals",71.9,78.3
"Regional School District 07","=""2070012""","STEP","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 08","=""2080012""","RHAM High School","Eligible for Free or Reduced-Price Meals",59.4,*
"Regional School District 08","=""2080012""","Region Alternative High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 10","=""2100012""","Lewis S. Mills High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 11","=""2110012""","Parish Hill High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 12","=""2120012""","Shepaug Valley School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 13","=""2130012""","Coginchaug Regional High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 14","=""2140012""","Nonnewaug High School","Eligible for Free or Reduced-Price Meals",85.2,87.0
"Regional School District 15","=""2150012""","Pomperaug Regional High School","Eligible for Free or Reduced-Price Meals",60.6,80.0
"Regional School District 16","=""2160012""","Woodland Regional High School","Eligible for Free or Reduced-Price Meals",40.5,*
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","Eligible for Free or Reduced-Price Meals",57.6,84.2
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","Eligible for Free or Reduced-Price Meals",78.4,70.0
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","Eligible for Free or Reduced-Price Meals",*,*
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","Eligible for Free or Reduced-Price Meals",81.8,88.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","Eligible for Free or Reduced-Price Meals",85.2,87.0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","Eligible for Free or Reduced-Price Meals",73.5,60.0
"Capitol Region Education Council","=""2410014""","River Street School","Eligible for Free or Reduced-Price Meals",*,*
"Education Connection","=""2420014""","GFLC/ACCESS School","Eligible for Free or Reduced-Price Meals",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","Eligible for Free or Reduced-Price Meals",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","Eligible for Free or Reduced-Price Meals",*,*
