"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",67.1,88.0
"Avon School District","=""0040011""","Avon High School","=""0046111""",81.8,96.9
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",75.7,94.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",78.3,89.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",66.0,79.4
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",86.4,93.0
"Branford School District","=""0140011""","Branford High School","=""0146111""",79.4,95.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",52.8,68.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",64.5,84.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",49.8,77.7
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",66.8,85.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",72.3,88.0
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",85.3,91.9
"Canton School District","=""0230011""","Canton High School","=""0236111""",82.0,89.9
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",86.9,95.0
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",75.7,90.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",77.8,89.0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",73.0,88.9
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",75.5,86.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",68.5,90.7
"Darien School District","=""0350011""","Darien High School","=""0356111""",83.2,94.3
"Derby School District","=""0370011""","Derby High School","=""0376111""",53.5,80.4
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",93.5,93.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",80.2,84.7
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",80.0,84.8
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",82.1,95.7
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",63.7,85.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",24.6,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",62.8,90.3
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",85.4,91.4
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",63.3,82.3
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",84.7,89.0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",74.2,82.3
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",79.2,86.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",85.1,95.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",82.0,91.4
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",82.8,93.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",84.6,94.9
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",77.1,91.3
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",76.5,92.8
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",64.7,79.1
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",74.3,86.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",86.8,94.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",71.7,86.0
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",50.8,72.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",78.6,86.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",84.6,92.7
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",45.1,65.6
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",45.1,48.8
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",52.0,64.2
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",49.3,84.8
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",*,*
