"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Eligible for Free or Reduced-Price Meals",60.7,84.3
"Avon School District","=""0040011""","Avon High School","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Berlin High School","Eligible for Free or Reduced-Price Meals",*,*
"Bethel School District","=""0090011""","Bethel High School","Eligible for Free or Reduced-Price Meals",51.2,95.2
"Bloomfield School District","=""0110011""","Bloomfield High School","Eligible for Free or Reduced-Price Meals",57.1,75.0
"Bloomfield School District","=""0110011""","The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Bolton School District","=""0120011""","Bolton High School","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Branford High School","Eligible for Free or Reduced-Price Meals",62.5,96.0
"Bridgeport School District","=""0150011""","Bassick High School","Eligible for Free or Reduced-Price Meals",52.6,68.3
"Bridgeport School District","=""0150011""","Central High School","Eligible for Free or Reduced-Price Meals",64.0,84.2
"Bridgeport School District","=""0150011""","Harding High School","Eligible for Free or Reduced-Price Meals",49.8,78.0
"Bridgeport School District","=""0150011""","Park City Academy","Eligible for Free or Reduced-Price Meals",*,*
"Bridgeport School District","=""0150011""","The University School","Eligible for Free or Reduced-Price Meals",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Eligible for Free or Reduced-Price Meals",49.0,70.8
"Bristol School District","=""0170011""","Bristol Eastern High School","Eligible for Free or Reduced-Price Meals",48.3,86.2
"Bristol School District","=""0170011""","Community/Vocational Program","Eligible for Free or Reduced-Price Meals",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Canton School District","=""0230011""","Canton High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Humiston School","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","The Morgan School","Eligible for Free or Reduced-Price Meals",50.0,*
"Colchester School District","=""0280011""","Bacon Academy","Eligible for Free or Reduced-Price Meals",66.7,*
"Coventry School District","=""0320011""","Coventry High School","Eligible for Free or Reduced-Price Meals",45.5,*
"Cromwell School District","=""0330011""","Cromwell High School","Eligible for Free or Reduced-Price Meals",58.1,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Danbury High School","Eligible for Free or Reduced-Price Meals",51.2,82.2
"Darien School District","=""0350011""","Darien High School","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Derby High School","Eligible for Free or Reduced-Price Meals",36.2,*
"East Granby School District","=""0400011""","East Granby High School","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Eligible for Free or Reduced-Price Meals",57.1,84.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","Eligible for Free or Reduced-Price Meals",24.4,*
"East Hartford School District","=""0430011""","Woodland School","Eligible for Free or Reduced-Price Meals",*,*
"East Haven School District","=""0440011""","East Haven High School","Eligible for Free or Reduced-Price Meals",55.8,88.7
"East Haven School District","=""0440011""","Pathways","Eligible for Free or Reduced-Price Meals",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Eligible for Free or Reduced-Price Meals",*,*
"East Windsor School District","=""0470011""","East Windsor High School","Eligible for Free or Reduced-Price Meals",58.6,*
"Ellington School District","=""0480011""","Ellington High School","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Enfield High School","Eligible for Free or Reduced-Price Meals",62.5,57.5
"Enfield School District","=""0490011""","Enrico Fermi High School","Eligible for Free or Reduced-Price Meals",63.5,90.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Eligible for Free or Reduced-Price Meals",79.2,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Eligible for Free or Reduced-Price Meals",75.0,81.5
"Farmington School District","=""0520011""","Farmington High School","Eligible for Free or Reduced-Price Meals",84.0,71.4
"Glastonbury School District","=""0540011""","Glastonbury High School","Eligible for Free or Reduced-Price Meals",71.8,96.4
"Granby School District","=""0560011""","Granby Memorial High School","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Eligible for Free or Reduced-Price Meals",63.7,75.9
"Griswold School District","=""0580011""","Griswold High School","Eligible for Free or Reduced-Price Meals",45.5,60.0
"Groton School District","=""0590011""","Robert E. Fitch High School","Eligible for Free or Reduced-Price Meals",63.4,79.7
"Guilford School District","=""0600011""","Guilford High School","Eligible for Free or Reduced-Price Meals",87.5,90.5
"Hamden School District","=""0620011""","Hamden High School","Eligible for Free or Reduced-Price Meals",61.0,75.0
"Hartford School District","=""0640011""","Bulkeley High School","Eligible for Free or Reduced-Price Meals",50.8,72.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Eligible for Free or Reduced-Price Meals",80.0,*
"Hartford School District","=""0640011""","Classical Magnet School","Eligible for Free or Reduced-Price Meals",81.6,96.8
"Hartford School District","=""0640011""","Culinary Arts Academy","Eligible for Free or Reduced-Price Meals",45.1,65.6
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Eligible for Free or Reduced-Price Meals",45.1,48.8
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Eligible for Free or Reduced-Price Meals",52.0,64.2
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Eligible for Free or Reduced-Price Meals",49.3,84.8
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Eligible for Free or Reduced-Price Meals",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Eligible for Free or Reduced-Price Meals",69.2,74.1
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","Eligible for Free or Reduced-Price Meals",76.3,89.7
"Hartford School District","=""0640011""","University High School of Science and Engineering","Eligible for Free or Reduced-Price Meals",75.0,92.6
"Hartford School District","=""0640011""","Weaver High School","Eligible for Free or Reduced-Price Meals",48.2,79.1
"Killingly School District","=""0690011""","Killingly High School","Eligible for Free or Reduced-Price Meals",59.4,78.9
"Lebanon School District","=""0710011""","Lyman Memorial High School","Eligible for Free or Reduced-Price Meals",40.0,*
"Ledyard School District","=""0720011""","Ledyard High School","Eligible for Free or Reduced-Price Meals",60.0,62.5
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Litchfield High School","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Daniel Hand High School","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Manchester High School","Eligible for Free or Reduced-Price Meals",58.1,87.6
"Manchester School District","=""0770011""","Manchester Regional Academy","Eligible for Free or Reduced-Price Meals",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","Eligible for Free or Reduced-Price Meals",50.4,68.3
"Meriden School District","=""0800011""","Orville H. Platt High School","Eligible for Free or Reduced-Price Meals",43.0,70.5
"Middletown School District","=""0830011""","Middletown High School","Eligible for Free or Reduced-Price Meals",56.5,78.5
"Milford School District","=""0840011""","Jonathan Law High School","Eligible for Free or Reduced-Price Meals",57.7,85.4
"Milford School District","=""0840011""","Joseph A. Foran High School","Eligible for Free or Reduced-Price Meals",54.3,80.0
