"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","English Learner Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","English Language Learners",*,*
"Avon School District","=""0040011""","Avon High School","English Language Learners",*,*
"Berlin School District","=""0070011""","Berlin High School","English Language Learners",*,*
"Bethel School District","=""0090011""","Bethel High School","English Language Learners",*,*
"Bloomfield School District","=""0110011""","Bloomfield High School","English Language Learners",*,*
"Branford School District","=""0140011""","Branford High School","English Language Learners",*,*
"Bridgeport School District","=""0150011""","Bassick High School","English Language Learners",51.5,*
"Bridgeport School District","=""0150011""","Central High School","English Language Learners",37.5,*
"Bridgeport School District","=""0150011""","Harding High School","English Language Learners",37.3,*
"Bristol School District","=""0170011""","Bristol Central High School","English Language Learners",*,*
"Bristol School District","=""0170011""","Bristol Eastern High School","English Language Learners",*,*
"Brookfield School District","=""0180011""","Brookfield High School","English Language Learners",*,*
"Clinton School District","=""0270011""","The Morgan School","English Language Learners",*,*
"Colchester School District","=""0280011""","Bacon Academy","English Language Learners",*,*
"Cromwell School District","=""0330011""","Cromwell High School","English Language Learners",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","English Language Learners",*,*
"Danbury School District","=""0340011""","Danbury High School","English Language Learners",35.6,77.8
"Darien School District","=""0350011""","Darien High School","English Language Learners",*,*
"Derby School District","=""0370011""","Derby High School","English Language Learners",*,*
"East Hartford School District","=""0430011""","East Hartford High School","English Language Learners",*,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","English Language Learners",*,*
"East Hartford School District","=""0430011""","Woodland School","English Language Learners",*,*
"East Haven School District","=""0440011""","East Haven High School","English Language Learners",*,*
"East Windsor School District","=""0470011""","East Windsor High School","English Language Learners",*,*
"Ellington School District","=""0480011""","Ellington High School","English Language Learners",*,*
"Enfield School District","=""0490011""","Enfield High School","English Language Learners",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","English Language Learners",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","English Language Learners",*,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","English Language Learners",*,*
"Farmington School District","=""0520011""","Farmington High School","English Language Learners",*,*
"Glastonbury School District","=""0540011""","Glastonbury High School","English Language Learners",*,*
"Granby School District","=""0560011""","Granby Memorial High School","English Language Learners",*,*
"Greenwich School District","=""0570011""","Greenwich High School","English Language Learners",21.9,*
"Groton School District","=""0590011""","Robert E. Fitch High School","English Language Learners",*,*
"Guilford School District","=""0600011""","Guilford High School","English Language Learners",*,*
"Hamden School District","=""0620011""","Hamden High School","English Language Learners",*,*
"Hartford School District","=""0640011""","Bulkeley High School","English Language Learners",44.7,73.5
"Hartford School District","=""0640011""","Classical Magnet School","English Language Learners",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","English Language Learners",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","English Language Learners",24.0,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","English Language Learners",34.6,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","English Language Learners",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","English Language Learners",*,*
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","English Language Learners",*,*
"Hartford School District","=""0640011""","University High School of Science and Engineering","English Language Learners",*,*
"Hartford School District","=""0640011""","Weaver High School","English Language Learners",*,*
"Killingly School District","=""0690011""","Killingly High School","English Language Learners",*,*
"Ledyard School District","=""0720011""","Ledyard High School","English Language Learners",*,*
"Manchester School District","=""0770011""","Manchester High School","English Language Learners",*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","English Language Learners",*,*
"Meriden School District","=""0800011""","Orville H. Platt High School","English Language Learners",*,*
"Middletown School District","=""0830011""","Middletown High School","English Language Learners",*,*
"Milford School District","=""0840011""","Jonathan Law High School","English Language Learners",*,*
"Milford School District","=""0840011""","Joseph A. Foran High School","English Language Learners",*,*
"Monroe School District","=""0850011""","Masuk High School","English Language Learners",*,*
"Montville School District","=""0860011""","Montville High School","English Language Learners",*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","English Language Learners",*,*
"New Britain School District","=""0890011""","Academic Extension Center","English Language Learners",*,*
"New Britain School District","=""0890011""","New Britain High School","English Language Learners",43.5,78.4
"New Canaan School District","=""0900011""","New Canaan High School","English Language Learners",*,*
"New Haven School District","=""0930011""","Cooperative High School","English Language Learners",*,*
"New Haven School District","=""0930011""","High School In The Community","English Language Learners",*,*
"New Haven School District","=""0930011""","Hill Regional Career High School","English Language Learners",*,*
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","English Language Learners",*,*
"New Haven School District","=""0930011""","James Hillhouse High School","English Language Learners",*,*
"New Haven School District","=""0930011""","Metropolitan Business Academy","English Language Learners",*,*
"New Haven School District","=""0930011""","Polly T. McCabe Center","English Language Learners",*,*
"New Haven School District","=""0930011""","Riverside Education Academy","English Language Learners",*,*
"New Haven School District","=""0930011""","Sound School","English Language Learners",*,*
"New Haven School District","=""0930011""","Wilbur Cross High School","English Language Learners",39.5,*
"Newington School District","=""0940011""","Newington High School","English Language Learners",*,*
"New London School District","=""0950011""","New London High School","English Language Learners",62.1,*
"New Milford School District","=""0960011""","New Milford High School","English Language Learners",*,*
"Newtown School District","=""0970011""","Newtown High School","English Language Learners",*,*
"North Branford School District","=""0990011""","North Branford High School","English Language Learners",*,*
"North Haven School District","=""1010011""","North Haven High School","English Language Learners",*,*
"Norwalk School District","=""1030011""","Brien McMahon High School","English Language Learners",33.3,*
"Norwalk School District","=""1030011""","Norwalk High School","English Language Learners",*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","English Language Learners",*,*
"Plainfield School District","=""1090011""","Plainfield High School","English Language Learners",*,*
"Plainville School District","=""1100011""","Plainville High School","English Language Learners",*,*
"Plymouth School District","=""1110011""","Terryville High School","English Language Learners",*,*
"Putnam School District","=""1160011""","Putnam High School","English Language Learners",*,*
"Ridgefield School District","=""1180011""","Ridgefield High School","English Language Learners",*,*
"Rocky Hill School District","=""1190011""","Rocky Hill High School","English Language Learners",*,*
"Seymour School District","=""1240011""","Seymour High School","English Language Learners",*,*
"Shelton School District","=""1260011""","Shelton High School","English Language Learners",*,*
"Simsbury School District","=""1280011""","Simsbury High School","English Language Learners",*,*
"Somers School District","=""1290011""","Somers High School","English Language Learners",*,*
"Southington School District","=""1310011""","Southington High School","English Language Learners",*,*
"South Windsor School District","=""1320011""","South Windsor High School","English Language Learners",*,*
"Stamford School District","=""1350011""","Stamford High School","English Language Learners",57.8,92.3
"Stamford School District","=""1350011""","The Academy of Information Technology","English Language Learners",*,*
"Stamford School District","=""1350011""","Westhill High School","English Language Learners",34.8,78.3
"Stonington School District","=""1370011""","Stonington High School","English Language Learners",*,*
"Stratford School District","=""1380011""","Stratford High School","English Language Learners",*,*
"Torrington School District","=""1430011""","Torrington High School","English Language Learners",*,*
"Trumbull School District","=""1440011""","Trumbull High School","English Language Learners",*,*
"Vernon School District","=""1460011""","Rockville High School","English Language Learners",*,*
"Wallingford School District","=""1480011""","Lyman Hall High School","English Language Learners",*,*
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","English Language Learners",*,*
"Waterbury School District","=""1510011""","Crosby High School","English Language Learners",44.1,*
"Waterbury School District","=""1510011""","John F. Kennedy High School","English Language Learners",33.3,*
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","English Language Learners",*,*
"Waterbury School District","=""1510011""","Wilby High School","English Language Learners",31.0,*
"Waterford School District","=""1520011""","Waterford High School","English Language Learners",*,*
"Watertown School District","=""1530011""","Watertown High School","English Language Learners",*,*
"West Hartford School District","=""1550011""","Conard High School","English Language Learners",65.0,*
"West Hartford School District","=""1550011""","Hall High School","English Language Learners",*,*
"West Haven School District","=""1560011""","West Haven High School","English Language Learners",*,*
"Westport School District","=""1580011""","Staples High School","English Language Learners",*,*
"Wethersfield School District","=""1590011""","Wethersfield High School","English Language Learners",*,*
"Wilton School District","=""1610011""","Wilton High School","English Language Learners",*,*
"Windham School District","=""1630011""","Windham High School","English Language Learners",31.0,*
"Windsor School District","=""1640011""","Windsor High School","English Language Learners",*,*
"Windsor Locks School District","=""1650011""","Windsor Locks High School","English Language Learners",*,*
"Regional School District 04","=""2040012""","Valley Regional High School","English Language Learners",*,*
"Regional School District 05","=""2050012""","Amity Regional High School","English Language Learners",*,*
"Regional School District 09","=""2090012""","Joel Barlow High School","English Language Learners",*,*
"Regional School District 15","=""2150012""","Pomperaug Regional High School","English Language Learners",*,*
"Regional School District 16","=""2160012""","Woodland Regional High School","English Language Learners",*,*
"Regional School District 19","=""2190012""","E. O. Smith High School","English Language Learners",*,*
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","English Language Learners",*,*
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","English Language Learners",*,*
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","English Language Learners",*,*
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","English Language Learners",*,*
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","English Language Learners",*,*
"Amistad Academy District","=""2790013""","Amistad Academy","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","English Language Learners",*,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","English Language Learners",61.9,80.8
"The Gilbert School District","=""9020022""","The Gilbert School","English Language Learners",*,*

