"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Students with Disabilities",*,*
"Avon School District","=""0040011""","Avon High School","Students with Disabilities",76.3,86.2
"Berlin School District","=""0070011""","Berlin High School","Students with Disabilities",51.6,*
"Bethel School District","=""0090011""","Bethel High School","Students with Disabilities",60.0,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Students with Disabilities",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Students with Disabilities",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Bolton High School","Students with Disabilities",*,*
"Branford School District","=""0140011""","Branford High School","Students with Disabilities",50.0,*
"Bridgeport School District","=""0150011""","Bassick High School","Students with Disabilities",38.5,*
"Bridgeport School District","=""0150011""","Central High School","Students with Disabilities",49.1,80.8
"Bridgeport School District","=""0150011""","Harding High School","Students with Disabilities",32.3,*
"Bristol School District","=""0170011""","Bristol Central High School","Students with Disabilities",36.8,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Students with Disabilities",29.3,*
"Bristol School District","=""0170011""","Community/Vocational Program","Students with Disabilities",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Students with Disabilities",*,*
"Canton School District","=""0230011""","Canton High School","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Students with Disabilities",62.2,89.3
"Cheshire School District","=""0250011""","Humiston School","Students with Disabilities",*,*
"Clinton School District","=""0270011""","The Morgan School","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Bacon Academy","Students with Disabilities",40.0,*
"Coventry School District","=""0320011""","Coventry High School","Students with Disabilities",*,*
