"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","School Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",56.7,88.9
"Avon School District","=""0040011""","Avon High School","=""0046111""",82.0,96.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",79.3,93.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",69.0,91.1
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",60.5,84.8
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",74.4,93.1
"Branford School District","=""0140011""","Branford High School","=""0146111""",72.4,90.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",38.6,69.2
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",*,*
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",58.6,79.6
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",37.3,76.5
"Bridgeport School District","=""0150011""","The University School","=""0159111""",*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",66.3,89.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",66.0,88.2
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",85.3,92.9
"Canton School District","=""0230011""","Canton High School","=""0236111""",81.3,93.4
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",86.4,96.4
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",68.7,89.3
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",74.7,89.5
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",73.6,88.3
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",79.2,87.4
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",66.7,87.7
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",*,*
"Darien School District","=""0350011""","Darien High School","=""0356111""",78.0,96.1
"Derby School District","=""0370011""","Derby High School","=""0376111""",61.4,88.7
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",74.6,91.5
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",73.2,80.8
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",80.3,88.3
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",87.8,88.9
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",53.0,75.1
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",*,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",67.1,81.8
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",67.0,88.3
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",53.2,83.6
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",76.8,97.4
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",70.2,78.1
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",70.4,92.3
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",79.2,93.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",79.8,95.5
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",84.2,93.3
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",85.7,94.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",80.0,95.8
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",76.2,94.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",65.2,80.2
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",71.7,80.8
