"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",67.1,80.7
"Ansonia School District","=""0020011""","Ansonia High School","Male",56.3,77.5
"Avon School District","=""0040011""","Avon High School","Female",86.7,99.0
"Avon School District","=""0040011""","Avon High School","Male",84.0,96.4
"Berlin School District","=""0070011""","Berlin High School","Female",83.9,91.3
"Berlin School District","=""0070011""","Berlin High School","Male",71.2,88.1
"Bethel School District","=""0090011""","Bethel High School","Female",78.5,90.5
"Bethel School District","=""0090011""","Bethel High School","Male",66.1,95.2
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",75.0,86.7
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",61.7,86.2
"Bolton School District","=""0120011""","Bolton High School","Female",82.9,96.6
"Bolton School District","=""0120011""","Bolton High School","Male",84.6,100.0
"Branford School District","=""0140011""","Branford High School","Female",80.6,91.3
"Branford School District","=""0140011""","Branford High School","Male",69.2,92.2
"Bridgeport School District","=""0150011""","Bassick High School","Female",47.6,87.8
"Bridgeport School District","=""0150011""","Bassick High School","Male",46.0,82.5
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Female",*,*
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Male",*,*
"Bridgeport School District","=""0150011""","Central High School","Female",65.5,87.2
"Bridgeport School District","=""0150011""","Central High School","Male",51.6,81.1
"Bridgeport School District","=""0150011""","Harding High School","Female",47.6,78.2
"Bridgeport School District","=""0150011""","Harding High School","Male",26.3,75.0
"Bridgeport School District","=""0150011""","Park City Academy","Male",*,*
"Bridgeport School District","=""0150011""","The University School","Female",*,*
"Bridgeport School District","=""0150011""","The University School","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",72.0,91.7
"Bristol School District","=""0170011""","Bristol Central High School","Male",63.4,84.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",76.1,88.9
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",60.3,84.9
"Brookfield School District","=""0180011""","Brookfield High School","Female",89.6,94.7
"Brookfield School District","=""0180011""","Brookfield High School","Male",80.3,91.2
"Canton School District","=""0230011""","Canton High School","Female",93.0,84.9
"Canton School District","=""0230011""","Canton High School","Male",73.4,97.9
"Cheshire School District","=""0250011""","Cheshire High School","Female",91.2,94.6
"Cheshire School District","=""0250011""","Cheshire High School","Male",83.3,92.3
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",74.7,87.7
"Clinton School District","=""0270011""","The Morgan School","Male",76.5,92.3
"Colchester School District","=""0280011""","Bacon Academy","Female",81.0,91.8
"Colchester School District","=""0280011""","Bacon Academy","Male",67.4,85.1
"Coventry School District","=""0320011""","Coventry High School","Female",78.6,92.7
"Coventry School District","=""0320011""","Coventry High School","Male",72.6,88.9
"Cromwell School District","=""0330011""","Cromwell High School","Female",82.8,92.5
"Cromwell School District","=""0330011""","Cromwell High School","Male",66.1,89.2
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",69.9,90.2
"Danbury School District","=""0340011""","Danbury High School","Male",71.8,86.1
"Darien School District","=""0350011""","Darien High School","Female",89.6,98.2
"Darien School District","=""0350011""","Darien High School","Male",84.3,92.8
"Derby School District","=""0370011""","Derby High School","Female",64.6,90.3
"Derby School District","=""0370011""","Derby High School","Male",53.2,68.0
"East Granby School District","=""0400011""","East Granby High School","Female",77.8,85.7
"East Granby School District","=""0400011""","East Granby High School","Male",81.6,90.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",86.1,74.2
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",65.0,80.8
"East Hampton School District","=""0420011""","East Hampton High School","Female",87.1,88.5
"East Hampton School District","=""0420011""","East Hampton High School","Male",62.7,85.7
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",86.2,84.0
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",66.7,76.3
