"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",65.5,81.6
"Ansonia School District","=""0020011""","Ansonia High School","Male",54.7,75.6
"Avon School District","=""0040011""","Avon High School","Female",92.7,97.1
"Avon School District","=""0040011""","Avon High School","Male",82.8,92.1
"Berlin School District","=""0070011""","Berlin High School","Female",91.1,95.1
"Berlin School District","=""0070011""","Berlin High School","Male",85.2,88.8
"Bethel School District","=""0090011""","Bethel High School","Female",80.4,86.7
"Bethel School District","=""0090011""","Bethel High School","Male",75.2,84.6
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",83.6,84.3
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",62.9,76.9
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Female",*,*
"Bloomfield School District","=""0110011""","Global Experience Magnet School","Male",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Female",*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","Male",*,*
"Bolton School District","=""0120011""","Bolton High School","Female",92.2,95.7
"Bolton School District","=""0120011""","Bolton High School","Male",75.6,88.2
"Branford School District","=""0140011""","Branford High School","Female",80.1,92.3
"Branford School District","=""0140011""","Branford High School","Male",65.2,92.0
"Bridgeport School District","=""0150011""","Bassick High School","Female",40.0,62.5
"Bridgeport School District","=""0150011""","Bassick High School","Male",43.3,78.8
"Bridgeport School District","=""0150011""","Central High School","Female",69.8,87.5
"Bridgeport School District","=""0150011""","Central High School","Male",52.7,76.3
"Bridgeport School District","=""0150011""","Harding High School","Female",54.8,79.7
"Bridgeport School District","=""0150011""","Harding High School","Male",33.7,75.0
"Bridgeport School District","=""0150011""","Pride Academy","Male",*,*
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",70.2,90.9
"Bristol School District","=""0170011""","Bristol Central High School","Male",56.8,83.1
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",75.3,93.6
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",57.3,85.4
"Bristol School District","=""0170011""","Community/Vocational Program","Female",*,*
"Bristol School District","=""0170011""","Community/Vocational Program","Male",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Female",92.1,96.2
"Brookfield School District","=""0180011""","Brookfield High School","Male",78.8,89.9
"Canton School District","=""0230011""","Canton High School","Female",87.7,91.2
"Canton School District","=""0230011""","Canton High School","Male",68.1,87.2
"Cheshire School District","=""0250011""","Cheshire High School","Female",87.8,95.2
"Cheshire School District","=""0250011""","Cheshire High School","Male",81.5,92.4
"Cheshire School District","=""0250011""","Humiston School","Female",*,*
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",82.8,87.5
"Clinton School District","=""0270011""","The Morgan School","Male",70.0,95.9
"Colchester School District","=""0280011""","Bacon Academy","Female",87.5,94.1
"Colchester School District","=""0280011""","Bacon Academy","Male",67.0,86.3
"Coventry School District","=""0320011""","Coventry High School","Female",76.8,96.2
"Coventry School District","=""0320011""","Coventry High School","Male",64.4,84.2
"Cromwell School District","=""0330011""","Cromwell High School","Female",82.2,91.7
"Cromwell School District","=""0330011""","Cromwell High School","Male",73.7,95.2
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",73.5,86.4
"Danbury School District","=""0340011""","Danbury High School","Male",62.7,88.4
"Darien School District","=""0350011""","Darien High School","Female",91.4,99.3
"Darien School District","=""0350011""","Darien High School","Male",87.1,94.4
"Derby School District","=""0370011""","Derby High School","Female",60.4,78.1
"Derby School District","=""0370011""","Derby High School","Male",47.8,63.6
"East Granby School District","=""0400011""","East Granby High School","Female",83.3,95.0
"East Granby School District","=""0400011""","East Granby High School","Male",77.8,75.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",73.5,94.4
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",52.1,80.0
"East Hampton School District","=""0420011""","East Hampton High School","Female",79.0,95.9
"East Hampton School District","=""0420011""","East Hampton High School","Male",87.3,87.5
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Female",*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",93.5,93.1
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",71.1,77.1
"East Hartford School District","=""0430011""","East Hartford High School","Male",56.1,65.9
"East Hartford School District","=""0430011""","Stevens Alternate High school","Female",*,*
