"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Students with Disabilities",24.0,*
"Avon School District","=""0040011""","Avon High School","Students with Disabilities",76.2,96.9
"Berlin School District","=""0070011""","Berlin High School","Students with Disabilities",40.5,*
"Bethel School District","=""0090011""","Bethel High School","Students with Disabilities",51.9,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Students with Disabilities",51.9,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Bolton High School","Students with Disabilities",*,*
"Branford School District","=""0140011""","Branford High School","Students with Disabilities",56.3,*
"Bridgeport School District","=""0150011""","Bassick High School","Students with Disabilities",*,*
"Bridgeport School District","=""0150011""","Central High School","Students with Disabilities",33.3,*
"Bridgeport School District","=""0150011""","Harding High School","Students with Disabilities",31.3,*
"Bristol School District","=""0170011""","Bristol Central High School","Students with Disabilities",25.6,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Students with Disabilities",30.0,*
"Bristol School District","=""0170011""","Community/Vocational Program","Students with Disabilities",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Students with Disabilities",*,*
"Canton School District","=""0230011""","Canton High School","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Students with Disabilities",60.5,96.2
"Cheshire School District","=""0250011""","Humiston School","Students with Disabilities",*,*
"Clinton School District","=""0270011""","The Morgan School","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Bacon Academy","Students with Disabilities",63.0,*
"Coventry School District","=""0320011""","Coventry High School","Students with Disabilities",36.0,*
"Cromwell School District","=""0330011""","Cromwell High School","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Danbury High School","Students with Disabilities",44.8,73.1
"Darien School District","=""0350011""","Darien High School","Students with Disabilities",75.0,90.9
"Derby School District","=""0370011""","Derby High School","Students with Disabilities",*,*
"East Granby School District","=""0400011""","East Granby High School","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Students with Disabilities",44.2,69.6
"East Hartford School District","=""0430011""","Stevens Alternate High school","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Woodland School","Students with Disabilities",*,*
"East Haven School District","=""0440011""","East Haven High School","Students with Disabilities",40.0,*
"East Haven School District","=""0440011""","Pathways","Students with Disabilities",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Students with Disabilities",48.9,65.2
"East Windsor School District","=""0470011""","East Windsor High School","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Ellington High School","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enfield High School","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Students with Disabilities",45.5,65.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Students with Disabilities",74.1,86.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","Students with Disabilities",65.1,89.3
"Farmington School District","=""0520011""","Farmington High School","Students with Disabilities",62.5,*
"Glastonbury School District","=""0540011""","Glastonbury High School","Students with Disabilities",67.1,87.8
"Granby School District","=""0560011""","Granby Memorial High School","Students with Disabilities",70.8,*
"Greenwich School District","=""0570011""","Greenwich High School","Students with Disabilities",67.4,89.1
"Griswold School District","=""0580011""","Griswold High School","Students with Disabilities",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Students with Disabilities",43.3,*
"Guilford School District","=""0600011""","Guilford High School","Students with Disabilities",54.3,*
