"Incident Counts, 2009-10"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,"*",11,7,62,40,"*","*",0,344
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",16,7,64,21,6,"*",0,198
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,"*",9,"*",25,"*","*","*",7,752
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,0,22,"*",10,22,"*","*",0,28
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,"*",0,7,10,"*","*",0,10
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,0,0,0,0,6,"*","*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,"*",15,"*",32,61,"*","*","*",224
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",25,"*",6,45,14,6,0,34
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*",6,39,17,95,60,6,"*",9,162
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,"*",8,"*",0,0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,9,0,41,19,7,6,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,0,"*","*",23,6,0,0,0,28
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*","*","*","*","*","*",0,0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",0,"*","*",0,"*",0,0,9,15
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,"*",0,"*",9,6,0,0,0,10
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,"*","*",0,"*","*",0,0,0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,0,0,"*","*",0,0,0,"*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,"*",10,0,15,"*",0,"*",0,6
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,0,0,0,0,"*",0,0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,"*","*",0,13,"*","*",42,547
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",7,17,"*",15,"*",0,"*","*",75
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,0,"*",0,7,"*",0,0,0,"*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,0,"*","*","*","*","*",0,0,"*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,0,0,0,0,0,0,0,6
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,"*","*",0,0,0,"*",0,0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,"*",9,"*",10,11,"*","*",10,252
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,"*",26,6,15,18,6,"*","*",97
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,0,"*",0,0,0,0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,0,0,"*",0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,8,6,6,21,37,0,"*",10,195
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*","*","*",26,10,"*","*",0,90
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*",6,12,"*",15,18,"*","*","*",90
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","*",0,"*","*",42,"*",0,"*",0,50
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,"*",8,"*",46,"*","*","*",0,51
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,"*",0,"*",40,7,0,0,0,15
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,"*",0,"*","*",0,0,"*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",0,0,0,0,0,"*",0,0,0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,"*","*","*",0,"*",0,"*",0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,6,0,"*","*","*","*",0,"*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,0,"*",0,0,0,0,0,0,0
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,10,11,6,12,0,"*",43,256
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*",7,15,14,30,15,"*","*","*",92
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,0,0,0,"*",0,0,0,0,"*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,0,0,0,"*","*",0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,0,"*","*",20,6,0,0,0,20
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",0,8,27,"*",12,96,"*","*",7,76
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*","*",7,14,22,103,"*",7,7,527
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",0,"*",14,7,22,63,0,"*","*",21
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,"*","*",0,0,"*","*",0,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*",28,59,6,33,97,7,10,0,364
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",0,0,"*",0,0,0,7
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*","*",46,"*",24,95,"*",9,0,7
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,"*",17,12,17,122,6,6,19,1309
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",0,8,56,6,125,109,13,8,"*",51
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,"*",15,"*",11,49,"*","*",0,"*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,"*",23,11,"*",63,"*",0,0,42
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,"*",24,10,10,76,7,"*",0,118
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,"*",26,"*",13,117,"*","*","*",148
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*",17,67,"*",113,267,7,0,"*",112
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,0,0,0,0,"*",0,"*",0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*",7,65,11,38,138,"*",9,0,96
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,0,"*",0,0,10,0,"*",0,7
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,0,"*",0,"*","*",0,0,0,8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,12,69,12,71,177,28,11,40,677
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,0,"*",0,0,10,0,"*",0,16
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,0,0,0,"*","*",0,0,0,8
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",0,0,14,"*","*",54,0,"*","*",51
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",0,"*",6,"*",16,21,0,0,0,43
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",6,64,6,41,248,19,10,"*",358
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","*","*",12,"*",17,40,"*","*",0,26
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,6,0,"*",23,"*","*","*",101
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,0,8,"*",0,13,"*",0,0,7
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,"*",6,"*","*",25,"*","*","*",131
"Bridgeport School District","=""0150011""","Read School","=""0152511""",0,15,108,15,91,276,18,10,0,364
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",0,16,52,"*",76,181,"*","*","*",680
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",0,"*",14,"*",16,47,"*",0,0,66
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",0,13,"*","*",32,0,"*",0,55
