"Incident Counts, 2010-11"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,"*",11,"*",78,28,"*",0,0,623
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",14,8,43,6,"*","*","*",222
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*",0,0,"*","*",0,0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,"*","*","*",18,7,"*","*","*",517
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,0,"*","*",19,21,"*","*","*",46
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*",0,"*","*",7,9,0,"*",0,26
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","*",0,"*",0,"*",12,0,0,0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",10,"*",13,49,6,6,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,6,35,9,93,68,"*","*",7,182
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,"*","*",0,"*",13,"*","*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,9,0,39,23,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,0,7,"*",34,18,"*","*",0,16
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*",0,6,0,"*","*","*","*","*",19
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,"*",0,"*",0,0,0,6,7
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,"*",0,7,"*",0,"*",0,27
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,"*",0,0,"*",0,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,"*",0,"*","*",0,"*",0,10
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,0,0,0,0,"*",0,0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,"*",12,6,"*",15,"*","*",51,443
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*",14,"*",18,6,"*","*","*",87
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,0,"*",0,"*","*",0,0,0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,0,"*",0,0,0,0,0,0,"*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,"*",0,0,"*",0,0,0,"*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,"*","*",0,0,0,"*",0,0,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,0,0,0,0,0,0,0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*",22,"*",6,"*","*","*",14,190
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*",9,25,8,"*",18,"*","*",0,78
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,"*","*",0,0,0,"*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,"*",0,0,0,0,0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,"*","*","*",29,26,0,"*",14,197
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,"*",9,"*",28,7,0,"*",0,59
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,"*","*","*",23,17,0,0,0,67
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",0,"*","*",0,28,0,0,0,0,31
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,0,"*",6,36,8,"*","*",0,23
