"Incident Counts, 2013-14"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*",15,37,"*",160,30,"*","*","*",888
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",56,14,181,86,"*",7,"*",1523
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,0,0,"*","*","*",0,0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,"*",0,"*",6,"*","*",12,58
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,"*",24,"*",8,45,8,0,6,290
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,"*",0,"*",0,0,"*",0,9
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,0,"*",0,0,"*","*","*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,0,"*",0,17,25,8,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*",7,29,"*",78,45,"*","*","*",100
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*",0,"*",0,"*",6,0,0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,"*",32,"*",17,42,"*",0,8,27
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,"*",0,0,0,0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,"*",11,"*",39,13,0,"*",0,24
"Ashford School District","=""0030011""","Ashford School","=""0030111""",0,"*","*",0,6,"*",0,0,0,10
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",0,0,0,"*","*",0,0,6,33
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,8,"*","*",7,0,0,"*",15
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,0,"*",0,"*","*",0,"*",0,"*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,0,0,"*",0,0,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,0,0,0,"*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*",0,"*","*",0,0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",0,6,"*","*",6,"*",0,"*",123
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,"*",9,"*",10,10,"*","*",0,32
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,0,0,0,"*",0,0,0,0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,0,"*",0,0,"*",0,0,0,"*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,"*",0,0,"*",0,"*",0,"*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,0,"*",0,"*","*",0,0,0,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,0,0,0,"*",0,"*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,"*",20,"*",13,"*","*","*",14,238
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,"*",23,"*",21,14,6,"*",0,31
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,"*",0,0,"*",0,0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",8,7,37,32,"*","*","*",141
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*","*",10,46,0,0,0,23
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,6,14,"*",21,21,"*","*",0,101
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*",10,"*",12,12,"*",0,"*",58
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,0,"*",0,11,"*",0,0,0,8
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,0,"*","*",0,0,0,0,8
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,"*","*",0,"*","*",0,0,0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,"*",0,0,7,"*",0,0,30
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,"*",12,"*","*",18,0,0,0,0
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,"*",14,"*",14,9,"*","*",51,316
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*","*",11,"*",11,"*",0,0,"*",25
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,0,0,0,0,0,0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*",0,28,"*",113,87,"*","*",8,1310
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",0,"*","*",0,23,14,0,"*","*",26
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*","*",23,"*",67,83,0,"*",0,94
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",8,52,11,92,124,20,"*",25,792
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*","*",12,10,57,43,"*","*",0,31
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",0,0,"*",0,7,9,0,0,"*",14
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,0,0,0,16,"*",0,0,0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",0,"*",12,"*",12,38,"*",0,0,130
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*",0,0,"*","*","*",0,8
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",0,"*",6,"*","*","*","*","*",0,"*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",0,"*",54,"*",34,151,"*","*",0,25
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",25,7,38,15,143,100,6,12,"*",1584
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",0,37,"*",95,89,"*","*",0,63
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,"*",16,"*",31,32,"*","*","*",12
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*",7,25,"*",57,188,11,"*",0,143
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*",12,12,338,89,"*",0,0,283
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",8,11,"*",32,86,"*","*",0,52
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,10,32,9,127,184,"*",0,0,132
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,7,18,"*",28,131,"*","*",0,52
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",0,"*",10,"*",31,66,"*",6,"*",112
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,"*","*",0,"*",8,0,0,0,"*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,"*",17,0,15,23,"*","*",0,8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*",12,39,12,121,128,8,"*","*",719
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,0,"*",0,"*",13,0,0,0,15
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*","*",16,0,39,72,"*",0,0,103
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","*","*","*",0,27,24,"*","*","*",47
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,"*","*",0,"*",9,0,"*",0,"*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*","*",29,"*",71,176,27,8,0,305
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*","*",32,"*",74,175,"*","*",0,46
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",6,"*","*","*","*",14,"*","*","*",19
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,"*",0,0,0,"*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",0,0,0,0,"*","*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",0,0,"*","*",15,7,"*","*",8,56
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",11,48,6,151,232,17,7,"*",300
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*",0,27,8,98,215,8,9,"*",109
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*","*",40,"*",57,102,8,"*","*",70
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,0,"*",0,6,17,0,0,0,13
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",19,"*",12,25,0,"*",34,280
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,7,13,10,"*",24,"*","*",27,523
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*",0,32,15,23,17,"*","*","*",173
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","*",0,17,"*",37,17,"*",0,0,7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",0,0,"*",0,13,"*","*",0,0,21
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","*","*","*","*",6,31,0,"*","*",67
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,0,"*",0,"*",7,0,0,0,11
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*","*","*",15,29,0,"*",0,11
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,"*",8,"*","*",10,0,"*",0,20
"Bristol School District","=""0170011""","South Side School","=""0171111""",0,"*","*",0,48,"*","*","*",0,19
"Bristol School District","=""0170011""","Stafford School","=""0171211""","*","*","*",0,"*",10,0,"*",0,"*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*",28,"*","*",40,"*","*","*",67
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,"*","*","*","*","*","*",0,20,27
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,"*",0,0,"*",0,0,"*",0,0
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,"*",0,8,14,0,0,0,26
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,0,"*",0,6,0,0,0,0,"*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*",0,17,"*",37,"*",9,"*",11,61
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,0,"*",0,0,"*",0,0,0,0
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",0,0,"*",0,0,"*","*",0,0,"*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,8,0,0,0,"*","*",6,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,"*",0,"*","*",0,0,"*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,6,0,"*",0,"*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,"*","*",0,0,0,0
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,0,0,0,0,"*",0,0,0,0
