"Incident Counts, 2012-13"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"*",17,9,223,45,24,"*","*",2626
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*","*",31,15,134,"*",9,"*",0,1520
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*","*",0,"*","*",0,0,0,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,"*",0,6,35,0,"*",15,214
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",6,0,15,"*",21,44,9,"*",0,247
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,0,0,"*","*",0,"*",0,6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,0,"*","*",0,8,"*","*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,0,6,"*",24,16,"*","*","*",6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,10,23,"*",54,78,"*","*","*",130
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,"*",0,"*",20,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,"*",22,0,15,34,7,"*","*",25
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,0,17,0,22,10,0,0,0,14
"Ashford School District","=""0030011""","Ashford School","=""0030111""",0,"*",9,"*",13,7,0,"*",0,8
"Avon School District","=""0040011""","Avon High School","=""0046111""","*",0,0,"*","*","*",0,0,7,56
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,10,"*","*",6,0,0,0,16
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,0,0,0,"*","*",0,0,0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,"*",0,"*",0,0,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,"*",0,0,"*","*",0,0,0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,0,"*","*","*","*",0,"*",0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,"*","*","*",8,"*","*",9,178
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",0,12,"*",9,"*","*",0,0,29
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,0,"*",0,0,0,0,0,0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,"*","*",0,"*","*",0,0,0,"*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,0,0,0,"*","*",0,0,0,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,0,0,0,"*",0,"*",0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*",12,27,"*",10,10,"*","*",23,335
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*",21,27,"*",25,12,6,"*","*",46
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,0,"*",0,"*",0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,"*","*",21,17,"*","*",11,136
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*","*",10,30,0,"*",0,23
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,"*",17,0,29,11,"*","*",0,90
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,"*","*",9,"*",0,0,"*",58
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,0,0,0,37,11,0,0,0,11
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,"*",0,17,"*","*",0,0,14
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,0,0,"*",0,"*",0,"*",0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,"*","*",0,0,0,0,0,11,12
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,0,6,0,17,"*",0,0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,"*",13,"*",9,11,"*","*",14,235
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,0,0,0,0,0,0,0,"*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","*",6,10,"*",10,6,0,"*","*",32
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,"*",16,6,22,75,"*","*","*",241
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*","*",9,7,44,82,8,"*",0,120
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",7,84,10,70,119,11,10,10,1003
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*","*",13,"*",20,28,"*","*","*",23
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,0,"*","*",10,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","*","*","*","*",6,27,"*",0,0,97
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*","*",0,0,"*",0,"*",0,"*"
