"Incident Counts, 2011-12"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*",9,45,10,81,37,10,"*",0,1606
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",8,21,8,64,16,0,"*","*",369
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,0,"*","*",0,0,0,0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,7,"*",24,8,"*","*",0,522
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,"*","*","*",7,10,"*","*","*",20
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,"*","*","*",8,0,"*",0,12
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,0,0,"*","*","*",0,"*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*",14,"*",37,82,6,"*",0,6
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*","*",21,"*",66,59,"*","*","*",120
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,0,0,0,0,0,0,0,0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,"*","*",16,"*",0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,"*",10,0,51,18,6,"*","*",14
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,0,11,"*",38,10,"*","*","*",10
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*","*","*","*",9,"*","*",0,7
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,"*","*","*",7,0,0,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",0,9,0,6,16,"*",0,0,18
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,0,0,0,0,"*",0,0,0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,0,0,0,"*",0,"*",0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,"*","*",0,0,0,"*",0,15
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,0,0,0,0,0,0,"*",0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",0,10,"*","*",7,"*",0,16,230
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*",18,9,30,10,"*","*","*",87
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",0,0,0,0,0,7,0,0,0,0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,0,0,0,"*",0,0,0,0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,0,"*",0,0,7,"*",0,0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*",19,12,14,7,"*","*",17,276
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*",27,"*",6,21,"*","*","*",63
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,"*","*",0,0,0,0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,6,"*",26,7,0,"*","*",144
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*","*",44,8,0,"*",0,33
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",24,0,60,9,"*","*","*",138
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",0,0,"*","*",12,"*",0,"*",0,15
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,"*","*",25,"*",0,0,0,18
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,"*",0,"*","*",0,0,0,"*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",0,0,"*",0,0,7,0,"*",0,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,10,0,"*","*",0,0,"*",8
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",0,0,0,0,"*","*",0,0,0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,"*",20,7,11,6,"*",0,15,231
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,"*",15,8,9,9,"*","*",0,54
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,0,0,0,0,"*",0,0,0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",28,"*",26,47,"*","*",0,659
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",8,12,42,"*",87,143,6,18,0,130
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","*",11,73,12,86,100,14,"*",21,213
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","*","*",28,10,112,105,"*",0,0,39
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*",0,0,0,"*",11,0,0,0,"*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",7,"*",27,10,33,72,"*","*","*",171
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,"*","*",0,"*","*",0,"*",0,"*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*","*",8,"*",42,40,"*",0,0,"*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",8,13,96,9,135,182,11,7,17,1964
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",17,113,13,197,103,15,6,8,62
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*","*",14,7,13,27,"*","*",0,10
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*","*",21,0,15,64,"*","*",0,49
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*",0,24,6,178,280,7,0,"*",406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",14,"*",20,"*",35,96,9,"*",0,118
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",0,0,0,0,0,"*",0,0,0,0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",8,8,89,10,470,278,22,8,"*",313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","*","*","*","*","*",18,0,"*",0,"*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*",13,54,"*",95,108,6,"*","*",215
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*","*","*","*","*","*",0,0,0,"*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*",0,"*","*","*",8,0,0,"*",7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",6,15,121,19,115,174,31,10,23,1224
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,"*",14,"*",28,17,"*","*",0,11
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,8,36,6,63,48,8,"*",0,41
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",0,0,"*",0,"*",6,"*",0,0,"*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",10,17,81,6,116,200,19,6,"*",758
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","*","*",22,"*",51,50,"*",0,0,102
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",6,49,7,109,166,6,6,0,86
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","*","*",23,"*",33,28,"*","*",0,32
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,9,29,"*",43,16,10,"*",0,57
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,0,"*","*",13,11,"*","*",0,6
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",37,"*",22,7,9,0,"*",28
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",13,61,12,175,270,12,9,0,366
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*",58,6,90,147,10,"*","*",131
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*","*",42,"*",50,37,"*","*","*",26
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*","*",16,"*",25,63,"*","*",0,38
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,0,0,0,0,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*",6,26,9,11,19,"*","*",17,205
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,"*",37,11,12,33,"*","*",29,725
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","*","*",42,"*",21,24,"*",0,6,202
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",0,"*","*",0,"*",10,0,0,0,7
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,"*",21,"*","*",16,"*",0,0,10
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",0,0,"*",0,"*","*",0,0,0,13
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",0,0,"*",0,0,0,0,0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,"*","*","*",0,8,0,0,0,10
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,0,14,"*","*",10,0,"*",0,"*"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","*","*",8,0,6,17,"*",0,7,46
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*",0,0,"*","*",9,0,0,0,18
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","*","*",6,0,"*","*","*",0,0,25
"Bristol School District","=""0170011""","South Side School","=""0171111""",0,0,"*","*",0,0,"*","*",0,15
"Bristol School District","=""0170011""","Stafford School","=""0171211""",0,0,9,"*","*","*",0,0,0,"*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,6,0,"*","*","*","*",13,78
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,"*","*","*",0,16,0,0,"*",23
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",0,0,"*",0,15,"*",0,0,0,6
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*",14,23,9,52,15,16,"*","*",67
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",0,0,"*","*",0,0,"*","*",0,0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,"*",14,0,"*","*",0,0,0,10
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,"*","*",0,0,"*","*","*",25
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,"*",0,"*",0,0,0,12
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,"*",0,"*","*",0,0,"*",10
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",0,0,"*",0,0,6,0,"*",0,0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,"*",0,0,6,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*","*","*","*","*","*","*","*","*",59
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,15,0,7,"*","*",0,"*",20
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,0,"*","*","*",17,6,"*",0,0
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,"*",0,0,0,0
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",0,"*","*",0,7,14,0,0,0,16
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,"*",0,6,18,0,0,0,7
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",0,0,0,0,0,0,0,"*",0,0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,"*",17,"*",12,20,"*","*",0,23
