"Incident Counts, 2015-16"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,8,26,"*",158,480,"*","*",7,923
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",10,25,15,212,9,"*","*",7,588
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,0,"*","*",0,0,0,0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*",0,"*",0,9,9,"*","*","*",38
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,"*",28,0,"*",45,"*","*",0,132
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,8,0,13,10,0,"*",0,17
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,0,0,0,0,"*",0,"*",13
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,"*",0,"*",16,"*",0,"*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,0,6,0,24,35,10,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*","*",22,"*",76,45,"*",0,"*",78
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*",0,"*",0,"*",12,"*",0,0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*",18,"*","*",54,11,"*","*",23
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,"*",0,0,0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,"*",11,0,26,6,"*","*",0,15
"Ashford School District","=""0030011""","Ashford School","=""0030111""",0,0,"*",0,0,9,"*","*",0,"*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,"*",0,12,9,"*",0,10,7
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,"*",10,0,0,"*","*","*",0,26
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,0,"*","*","*","*",0,"*",0,"*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,"*",0,"*","*",0,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,"*",0,"*",0,0,0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,"*","*",0,10,10,"*","*","*",27
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*",0,15,0,16,7,"*",0,0,44
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,"*",0,0,"*",0,0,0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",0,"*",0,"*",6,0,0,0,0
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,0,0,"*","*",0,0,0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*",25,"*",20,17,"*","*",11,224
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,"*",26,"*",8,16,6,"*",0,29
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,"*","*",0,0,0,0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,7,11,"*",21,6,"*","*",0,7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",12,6,38,20,0,"*","*",139
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,"*","*","*","*",15,0,"*",0,6
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,"*",13,"*",15,11,0,0,"*",65
