"Incident Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Incident Type",,,,,,,,,
"District","District Code","School","School Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,17,55,"*",210,76,"*","*","*",714
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",0,"*",40,13,201,47,"*",0,0,1024
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,"*","*",0,0,0,0,0,0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,"*","*","*",7,6,"*",0,6,36
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",12,"*","*",42,6,"*",0,107
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,"*","*",0,"*","*","*","*",0,17
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,"*",0,"*","*","*",0,0,"*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,0,"*",0,0,6,0,"*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,0,"*","*",8,25,"*","*",0,"*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*",8,57,"*",84,77,"*",0,"*",117
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,"*","*",0,"*",0,0,0,6
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,"*",19,0,10,31,"*","*",6,22
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,"*",0,0,0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,"*",15,"*",49,16,0,"*",0,28
"Ashford School District","=""0030011""","Ashford School","=""0030111""",0,"*","*",0,13,8,0,"*","*",11
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,"*","*",16,"*","*","*",6,14
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,"*","*","*",12,0,0,0,18
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",0,0,0,0,0,0,0,0,"*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,0,0,0,"*","*",0,0,0,0
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,"*",0,0,0,0,0,0,"*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,0,0,0,0,0,0,0,0,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*",0,"*",7,7,8,"*",0,6,45
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*",13,"*",16,21,"*",0,8,32
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,0,0,"*",0,0,0,0,0,7
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",0,0,"*",0,8,"*","*",0,0,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,0,"*",0,"*","*",0,0,0,0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,9,9,9,8,"*","*","*",21,224
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,6,27,8,13,20,7,"*","*",92
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",0,0,0,0,0,"*",0,0,0,"*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,"*",6,0,7,0,0,"*",0,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",11,8,58,48,0,"*",6,188
