"Percentage of Revenue by Source (Excluding School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,83.2,8.0,8.8
="Amistad Academy District",0.0,89.1,10.7,0.2
="Andover School District",65.2,31.7,3.1,0.1
="Ansonia School District",40.3,54.6,4.2,0.8
="Ashford School District",58.4,38.8,2.8,0.0
="Avon School District",89.8,7.3,1.4,1.4
="Barkhamsted School District",75.1,21.9,2.7,0.3
="Berlin School District",80.9,16.9,2.2,0.1
="Bethany School District",83.2,13.5,3.3,0.1
="Bethel School District",78.7,19.4,1.9,0.1
="Bloomfield School District",69.7,25.9,3.3,1.1
="Bolton School District",64.0,28.9,1.4,5.7
="Booker T. Washington Academy District",0.0,63.0,0.0,37.0
="Bozrah School District",73.7,24.2,2.2,0.0
="Branford School District",93.3,4.6,2.1,0.0
="Brass City Charter School District",0.0,76.7,7.3,16.0
="Bridgeport Achievement First District",0.0,88.3,10.0,1.7
="Bridgeport School District",20.7,69.7,7.9,1.7
="Bristol School District",53.3,42.2,3.6,0.9
="Brookfield School District",92.9,5.7,1.5,0.0
="Brooklyn School District",53.7,43.8,2.4,0.2
="Canaan School District",90.9,7.1,1.9,0.1
="Canterbury School District",55.4,42.4,2.1,0.0
="Canton School District",78.4,18.9,1.5,1.3
="Chaplin School District",60.2,36.2,2.3,1.3
="Cheshire School District",81.1,16.3,1.9,0.8
="Chester School District",89.2,8.1,2.7,0.0
="Clinton School District",76.0,21.9,2.1,0.0
="Colchester School District",60.8,36.3,1.7,1.2
="Colebrook School District",83.6,13.4,2.8,0.2
="Columbia School District",75.6,22.5,1.6,0.3
="Common Ground High School District",0.0,70.3,7.0,22.6
="Cornwall School District",95.1,1.9,2.8,0.2
="Coventry School District",62.6,35.4,1.8,0.2
="Cromwell School District",77.5,19.9,2.2,0.3
="Danbury School District",69.9,25.8,3.3,1.0
="Darien School District",94.0,4.6,1.3,0.1
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",61.9,34.3,3.9,0.0
="East Granby School District",84.5,13.9,1.4,0.1
="East Haddam School District",73.3,22.0,1.5,3.3
="East Hampton School District",70.7,28.3,0.9,0.1
="East Hartford School District",36.9,50.9,6.1,6.1
="East Haven School District",53.1,40.7,2.7,3.6
="East Lyme School District",73.6,17.7,1.8,6.9
="East Windsor School District",66.8,29.9,1.9,1.5
="Eastford School District",64.1,32.7,1.7,1.6
="Easton School District",92.6,5.0,1.5,0.9
="Ellington School District",68.3,29.8,1.6,0.3
="Elm City College Preparatory School District",21.3,69.8,8.7,0.2
="Elm City Montessori School District",0.0,17.9,1.4,80.7
="Enfield School District",56.5,39.4,3.9,0.3
="Essex School District",93.7,4.2,2.1,0.0
="Explorations District",4.0,69.3,2.0,24.6
="Fairfield School District",93.7,4.7,1.5,0.2
="Farmington School District",90.3,5.8,2.1,1.8
="Franklin School District",70.8,26.8,2.0,0.3
="Glastonbury School District",89.4,8.5,1.6,0.5
="Granby School District",73.1,22.2,1.6,3.2
="Great Oaks Charter School District",0.0,70.8,21.5,7.8
="Greenwich School District",95.3,2.5,1.6,0.6
="Griswold School District",49.6,42.4,2.3,5.6
="Groton School District",62.3,35.3,2.3,0.0
="Guilford School District",90.1,7.9,1.6,0.4
="Hamden School District",71.7,25.9,2.2,0.2
="Hampton School District",60.1,36.4,2.3,1.3
="Hartland School District",68.9,29.1,1.7,0.4
="Hebron School District",69.8,28.8,1.1,0.3
="Highville Charter School District",0.0,90.4,8.6,1.0
