"Percentage of Revenue by Source (Including School Construction), 2014-15"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,83.2,8.0,8.8
="Amistad Academy District",0.0,87.8,10.5,1.6
="Andover School District",66.1,30.8,3.0,0.1
="Ansonia School District",40.6,54.8,3.9,0.7
="Ashford School District",58.4,38.8,2.8,0.0
="Avon School District",90.0,7.2,1.4,1.4
="Barkhamsted School District",75.1,21.9,2.7,0.3
="Berlin School District",64.4,33.8,1.6,0.1
="Bethany School District",82.2,14.7,3.1,0.1
="Bethel School District",79.7,18.5,1.8,0.1
="Bloomfield School District",72.7,23.3,3.0,1.0
="Bolton School District",66.1,27.2,1.3,5.4
="Booker T. Washington Academy District",0.0,63.0,0.0,37.0
="Bozrah School District",73.7,24.2,2.2,0.0
="Branford School District",92.9,5.1,2.0,0.0
="Brass City Charter School District",0.0,76.7,7.3,16.0
="Bridgeport Achievement First District",8.4,62.1,6.5,23.1
="Bridgeport School District",21.2,70.6,6.7,1.4
="Bristol School District",54.3,41.4,3.5,0.8
="Brookfield School District",92.6,6.0,1.4,0.0
="Brooklyn School District",53.3,44.2,2.3,0.2
="Canaan School District",90.3,7.8,1.8,0.1
="Canterbury School District",55.4,42.4,2.1,0.0
="Canton School District",79.2,18.1,1.4,1.2
="Chaplin School District",60.2,36.2,2.3,1.3
="Cheshire School District",81.4,16.0,1.8,0.8
="Chester School District",89.2,8.1,2.7,0.0
="Clinton School District",64.5,33.8,1.8,0.0
="Colchester School District",62.2,35.0,1.7,1.1
="Colebrook School District",83.4,13.6,2.8,0.2
="Columbia School District",75.0,23.1,1.6,0.3
="Common Ground High School District",0.0,83.4,3.7,12.9
="Cornwall School District",95.3,1.8,2.7,0.2
="Coventry School District",64.3,33.8,1.7,0.2
="Cromwell School District",78.8,18.8,2.1,0.3
="Danbury School District",59.4,36.5,3.2,1.0
="Darien School District",94.1,4.6,1.2,0.0
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",49.5,46.7,3.8,0.0
="East Granby School District",85.1,13.4,1.3,0.1
="East Haddam School District",75.1,20.5,1.4,3.0
="East Hampton School District",57.6,41.6,0.7,0.1
="East Hartford School District",36.8,51.0,6.1,6.1
="East Haven School District",53.2,40.9,2.5,3.4
="East Lyme School District",75.0,16.7,1.7,6.6
="East Windsor School District",66.2,30.5,1.8,1.4
="Eastford School District",64.1,32.7,1.7,1.6
="Easton School District",89.0,8.8,1.3,0.8
="Ellington School District",58.4,39.7,1.6,0.3
="Elm City College Preparatory School District",8.4,58.4,3.5,29.7
="Elm City Montessori School District",0.0,17.9,1.4,80.7
="Enfield School District",42.4,54.5,2.8,0.2
="Essex School District",94.3,3.8,1.9,0.0
="Explorations District",4.0,69.3,2.0,24.6
="Fairfield School District",94.1,4.5,1.3,0.1
="Farmington School District",90.5,5.8,2.0,1.7
="Franklin School District",71.4,26.3,2.0,0.3
="Glastonbury School District",89.9,8.2,1.5,0.5
="Granby School District",75.4,20.2,1.5,2.9
="Great Oaks Charter School District",0.0,70.8,21.5,7.8
="Greenwich School District",93.3,4.5,1.6,0.6
="Griswold School District",47.8,44.7,2.2,5.3
="Groton School District",63.5,34.2,2.2,0.0
="Guilford School District",73.8,24.6,1.2,0.3
="Hamden School District",71.9,25.8,2.1,0.2
="Hampton School District",60.1,36.3,2.3,1.3
="Hartland School District",68.6,29.4,1.7,0.4
="Hebron School District",70.5,28.2,1.0,0.3
="Highville Charter School District",0.0,41.9,3.2,54.9
