"Percentage of Revenue by Source (Excluding School Construction), 2009-10"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,78.2,12.0,9.8
="Amistad Academy District",0.0,69.6,11.0,19.4
="Andover School District",57.5,30.1,12.2,0.2
="Ansonia School District",29.2,54.9,14.9,1.0
="Ashford School District",49.2,37.9,12.8,0.0
="Avon School District",91.9,4.5,3.4,0.2
="Barkhamsted School District",67.9,21.3,10.8,0.0
="Berlin School District",80.2,14.7,4.9,0.2
="Bethany School District",77.2,15.1,7.6,0.1
="Bethel School District",74.5,19.5,5.9,0.1
="Bloomfield School District",75.0,18.3,5.7,1.0
="Bolton School District",62.8,25.8,5.0,6.4
="Bozrah School District",69.7,24.3,5.5,0.4
="Branford School District",91.0,4.6,3.9,0.4
="Bridgeport Achievement First District",1.6,73.0,13.7,11.6
="Bridgeport School District",15.7,63.3,20.0,0.9
="Bristol School District",49.9,38.1,11.1,0.9
="Brookfield School District",90.5,6.2,3.3,0.0
="Brooklyn School District",48.6,41.8,9.5,0.0
="Canaan School District",89.7,6.4,3.8,0.1
="Canterbury School District",51.7,39.0,9.3,0.0
="Canton School District",79.9,15.3,4.1,0.7
="Chaplin School District",54.6,31.7,12.0,1.7
="Charter School for Young Children on Asylum Hill District",0.4,66.6,10.9,22.1
="Cheshire School District",80.5,14.6,4.1,0.8
="Chester School District",86.0,8.3,5.4,0.3
="Clinton School District",74.5,19.9,5.6,0.1
="Colchester School District",55.5,35.1,8.9,0.5
="Colebrook School District",79.9,12.2,7.5,0.4
="Columbia School District",73.0,22.0,4.8,0.2
="Common Ground High School District",0.6,73.9,20.9,4.7
="Cornwall School District",94.5,3.3,2.1,0.2
="Coventry School District",57.8,34.5,7.5,0.3
="Cromwell School District",76.1,16.9,7.0,0.0
="Danbury School District",67.8,23.5,8.1,0.6
="Darien School District",92.6,5.3,2.0,0.1
="Deep River School District",72.6,18.0,9.4,0.0
="Derby School District",55.4,35.2,9.3,0.0
="East Granby School District",85.9,10.7,3.3,0.0
="East Haddam School District",70.3,20.5,5.7,3.5
="East Hampton School District",66.4,27.2,6.4,0.1
="East Hartford School District",33.4,46.9,15.3,4.4
