"Percentage of Revenue by Source (Including School Construction), 2013-14"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,75.7,13.7,10.6
="Amistad Academy District",0.0,79.3,11.4,9.3
="Andover School District",65.8,31.7,2.2,0.2
="Ansonia School District",38.5,56.3,4.5,0.7
="Ashford School District",55.8,41.4,2.8,0.0
="Avon School District",91.4,6.2,1.3,1.1
="Barkhamsted School District",75.8,21.3,2.9,0.0
="Berlin School District",65.9,32.4,1.6,0.1
="Bethany School District",81.8,15.9,2.2,0.1
="Bethel School District",78.5,19.4,2.0,0.1
="Bloomfield School District",71.7,23.9,3.2,1.1
="Bolton School District",67.0,25.8,1.4,5.8
="Bozrah School District",70.2,26.9,2.4,0.5
="Branford School District",91.3,6.2,2.0,0.5
="Brass City Charter School District",0.0,88.8,7.1,4.1
="Bridgeport Achievement First District",0.0,76.3,10.5,13.3
="Bridgeport School District",21.0,71.0,6.6,1.5
="Bristol School District",55.0,41.1,3.3,0.6
="Brookfield School District",91.3,7.2,1.4,0.1
="Brooklyn School District",46.6,51.0,2.4,0.1
="Canaan School District",90.5,7.5,1.9,0.1
="Canterbury School District",53.3,44.0,2.7,0.0
="Canton School District",79.2,18.9,1.3,0.7
="Chaplin School District",58.9,35.7,3.9,1.5
="Cheshire School District",81.1,16.3,1.8,0.8
="Chester School District",89.0,8.1,2.9,0.0
="Clinton School District",76.1,22.0,1.9,0.0
="Colchester School District",61.2,36.1,1.7,1.0
="Colebrook School District",81.6,15.9,2.4,0.1
="Columbia School District",75.6,22.4,1.8,0.2
="Common Ground High School District",0.0,66.9,5.3,27.8
="Cornwall School District",95.7,2.0,2.2,0.2
="Coventry School District",62.7,35.4,1.6,0.3
="Cromwell School District",77.5,19.6,2.2,0.8
="Danbury School District",70.7,24.5,3.9,1.0
="Darien School District",94.3,4.6,0.9,0.2
="Deep River School District",78.4,18.0,3.6,0.0
="Derby School District",58.6,37.1,4.3,0.0
="East Granby School District",80.6,18.2,1.2,0.0
="East Haddam School District",72.3,23.1,1.5,3.1
="East Hampton School District",68.9,29.3,1.7,0.1
="East Hartford School District",38.6,49.5,6.4,5.5
="East Haven School District",52.0,41.9,2.4,3.7
="East Lyme School District",74.9,17.2,1.6,6.3
="East Windsor School District",63.7,33.3,2.2,0.8
="Eastford School District",60.2,37.0,2.1,0.7
="Easton School District",91.8,6.3,1.3,0.6
="Ellington School District",65.7,32.3,1.5,0.5
="Elm City College Preparatory School District",0.0,64.8,3.1,32.1
="Enfield School District",55.9,39.8,3.7,0.6
="Essex School District",93.9,3.9,2.2,0.0
="Explorations District",7.2,67.4,2.3,23.0
="Fairfield School District",93.9,4.6,1.5,0.1
="Farmington School District",91.6,5.7,1.2,1.6
="Franklin School District",72.4,25.3,2.1,0.2
="Glastonbury School District",87.3,10.5,1.4,0.7
="Granby School District",73.1,21.7,1.4,3.9
="Greenwich School District",94.8,3.0,1.6,0.5
="Griswold School District",48.7,42.9,2.2,6.2
="Groton School District",61.8,35.8,2.3,0.1
="Guilford School District",81.6,16.9,1.3,0.1
="Hamden School District",72.0,25.5,2.4,0.1
="Hampton School District",62.5,34.6,2.3,0.6
="Hartford School District",23.3,67.3,6.6,2.7
="Hartland School District",69.8,28.1,1.7,0.3
="Hebron School District",70.4,27.9,1.5,0.2
="Highville Charter School District",0.0,88.3,8.1,3.6
="Integrated Day Charter School District",0.0,92.6,3.8,3.6
="Interdistrict School for Arts and Comm District",0.0,80.0,1.4,18.6
="Jumoke Academy District",0.0,87.9,2.6,9.4
="Kent School District",92.0,4.9,2.3,0.8
="Killingly School District",51.1,40.9,2.4,5.6
="Lebanon School District",61.2,33.9,2.0,3.0
="Ledyard School District",54.9,40.0,1.5,3.6
="Lisbon School District",55.2,42.6,1.8,0.5
="Litchfield School District",89.0,8.9,1.9,0.2
="Madison School District",92.9,5.1,1.5,0.6
="Manchester School District",65.1,29.8,3.6,1.5
="Mansfield School District",61.5,36.4,2.0,0.1
="Marlborough School District",76.3,21.1,1.7,0.9
="Meriden School District",36.6,59.0,3.8,0.7
="Middletown School District",69.6,26.7,2.4,1.3
="Milford School District",86.6,11.2,2.0,0.2
="Monroe School District",84.4,13.7,1.6,0.3
="Montville School District",61.9,34.7,2.3,1.1
="Naugatuck School District",30.9,65.5,3.6,0.0
="New Beginnings Inc., Family Academy District",0.0,78.6,7.7,13.7
="New Britain School District",30.7,62.0,6.6,0.8
="New Canaan School District",95.7,3.2,1.0,0.1
="New Fairfield School District",83.6,12.6,1.6,2.2
="New Hartford School District",76.5,21.2,1.9,0.4
="New Haven School District",27.9,62.0,8.2,1.9
="New London School District",30.8,60.5,6.4,2.3
="New Milford School District",72.9,22.4,1.8,2.9
="Newington School District",77.6,20.5,1.5,0.3
="Newtown School District",86.1,8.4,5.1,0.4
="Norfolk School District",89.6,8.2,2.1,0.2
="North Branford School District",61.1,37.1,1.8,0.0
="North Canaan School District",69.9,26.1,3.8,0.2
="North Haven School District",88.4,9.9,1.7,0.0
="North Stonington School District",75.3,22.4,2.1,0.2
="Norwalk School District",84.5,11.6,2.5,1.4
="Norwich School District",40.4,54.6,4.3,0.7
="Odyssey Community School District",0.0,89.8,1.0,9.2
="Old Saybrook School District",92.4,4.2,1.7,1.7
="Orange School District",93.0,5.2,1.7,0.1
="Oxford School District",80.0,16.5,1.5,2.0
="Park City Prep Charter School District",0.0,84.4,4.4,11.2
="Plainfield School District",45.5,46.7,2.7,5.1
="Plainville School District",60.8,35.9,2.6,0.7
="Plymouth School District",55.9,41.3,2.6,0.1
="Pomfret School District",61.1,35.8,2.6,0.5
="Portland School District",74.5,24.1,1.2,0.1
="Preston School District",66.9,30.6,2.2,0.3
="Putnam School District",43.1,52.6,3.4,0.9
="Redding School District",95.9,2.9,0.3,0.9
="Regional School District 01",83.8,13.3,2.1,0.9
="Regional School District 04",88.9,9.5,1.6,0.0
="Regional School District 05",90.9,7.6,1.2,0.4
="Regional School District 06",82.8,9.6,1.8,5.7
="Regional School District 07",75.0,18.9,1.4,4.7
="Regional School District 08",72.3,25.5,1.8,0.5
="Regional School District 09",94.2,4.9,0.8,0.1
="Regional School District 10",72.9,24.9,1.7,0.5
="Regional School District 11",60.3,34.1,2.3,3.4
="Regional School District 12",94.2,3.2,1.7,0.9
="Regional School District 13",79.6,18.9,1.2,0.3
="Regional School District 14",80.1,12.8,1.9,5.2
="Regional School District 15",89.2,8.7,1.8,0.3
="Regional School District 16",60.5,38.1,1.3,0.1
="Regional School District 17",84.4,12.9,1.8,0.8
="Regional School District 18",93.3,5.5,1.2,0.1
="Regional School District 19",49.1,36.3,1.4,13.2
="Ridgefield School District",93.9,4.7,1.3,0.2
="Rocky Hill School District",86.8,11.2,1.9,0.1
="Salem School District",59.1,39.5,1.3,0.2
="Salisbury School District",94.5,2.3,2.8,0.4
="Scotland School District",61.4,34.1,2.4,2.1
="Seymour School District",64.6,32.9,2.5,0.0
="Sharon School District",95.6,2.1,2.2,0.1
="Shelton School District",89.9,8.2,1.9,0.0
="Sherman School District",94.1,3.8,1.5,0.7
="Side By Side Charter School District",0.0,91.0,1.6,7.4
="Simsbury School District",87.2,11.0,1.8,0.1
="Somers School District",67.7,30.5,1.7,0.1
="South Windsor School District",76.8,21.0,1.5,0.6
="Southington School District",57.7,39.3,1.9,1.1
="Sprague School District",51.1,45.6,3.2,0.1
="Stafford School District",58.4,38.6,2.4,0.5
="Stamford Academy District",0.0,51.2,3.1,45.7
="Stamford School District",86.9,10.1,2.5,0.6
="Sterling School District",58.1,38.2,3.4,0.3
="Stonington School District",90.0,8.0,1.8,0.2
="Stratford School District",73.7,23.5,2.6,0.2
="Suffield School District",73.3,23.1,1.4,2.2
="The Bridge Academy District",0.3,81.7,6.7,11.3
="Thomaston School District",62.0,35.9,1.8,0.3
="Thompson School District",51.1,45.5,2.6,0.8
="Tolland School District",66.4,30.1,1.5,2.0
="Torrington School District",57.5,38.9,3.2,0.4
="Trailblazers Academy District",0.0,39.3,3.4,57.3
="Trumbull School District",90.6,5.9,1.8,1.7
="Union School District",88.4,10.4,1.2,0.0
="Vernon School District",54.9,41.8,2.4,0.9
="Voluntown School District",58.2,39.5,2.3,0.0
="Wallingford School District",68.1,28.6,2.0,1.3
="Waterbury School District",35.0,57.9,6.3,0.8
="Waterford School District",90.1,8.2,1.5,0.2
="Watertown School District",67.5,29.9,2.4,0.2
="West Hartford School District",82.8,14.6,2.2,0.4
="West Haven School District",45.2,50.3,4.2,0.4
="Westbrook School District",94.2,4.2,1.4,0.3
="Weston School District",95.0,3.4,1.1,0.5
="Westport School District",95.7,2.8,1.3,0.2
="Wethersfield School District",75.6,22.2,1.8,0.3
="Willington School District",68.0,30.1,1.8,0.1
="Wilton School District",95.1,3.5,1.2,0.2
="Windham School District",36.4,53.4,8.3,1.8
="Windsor Locks School District",76.6,20.9,1.9,0.7
="Windsor School District",75.7,21.9,2.2,0.2
="Wolcott School District",54.3,42.9,2.0,0.8
="Woodbridge School District",94.2,4.0,1.6,0.1
="Woodstock School District",61.3,35.5,2.5,0.7

