"Percentage of Revenue by Source (Excluding School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
"District","Revenue Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Local",0.0,0.0,0.0,0.0,0.0
,="State",77.5,87.0,82.1,76.2,83.2
,="Federal",10.1,5.1,7.7,13.8,8.0
,="Tuition & Other",12.4,7.9,10.1,10.0,8.8
="Amistad Academy District",="Local",0.0,7.0,0.0,0.0,0.0
,="State",66.7,66.5,83.8,80.2,89.1
,="Federal",8.4,8.7,14.0,11.5,10.7
,="Tuition & Other",25.0,17.8,2.2,8.3,0.2
="Andover School District",="Local",60.7,64.2,64.0,64.9,65.2
,="State",28.1,32.0,33.7,32.6,31.7
,="Federal",11.1,3.8,2.3,2.3,3.1
,="Tuition & Other",0.2,0.0,0.0,0.2,0.1
="Ansonia School District",="Local",30.1,31.6,40.1,38.1,40.3
,="State",54.1,59.7,54.3,56.3,54.6
,="Federal",15.2,7.9,5.2,4.9,4.2
,="Tuition & Other",0.6,0.8,0.4,0.8,0.8
="Ashford School District",="Local",52.0,53.5,57.7,57.2,58.4
,="State",36.8,41.4,39.5,40.0,38.8
,="Federal",10.7,5.1,2.8,2.8,2.8
,="Tuition & Other",0.5,0.0,0.0,0.0,0.0
="Avon School District",="Local",92.2,92.8,92.5,90.9,89.8
,="State",4.7,5.5,5.7,6.6,7.3
,="Federal",2.5,1.6,1.5,1.4,1.4
,="Tuition & Other",0.6,0.1,0.3,1.1,1.4
="Barkhamsted School District",="Local",68.3,71.6,74.0,75.8,75.1
,="State",20.6,23.6,23.2,21.3,21.9
,="Federal",11.1,4.3,2.8,2.9,2.7
,="Tuition & Other",0.0,0.6,0.0,0.0,0.3
="Berlin School District",="Local",80.2,81.0,80.6,80.9,80.9
,="State",14.9,16.5,17.2,17.0,16.9
,="Federal",4.7,2.5,2.2,2.0,2.2
,="Tuition & Other",0.2,0.0,0.1,0.1,0.1
="Bethany School District",="Local",74.8,78.3,81.8,82.8,83.2
,="State",16.6,17.6,15.7,14.8,13.5
,="Federal",8.5,4.1,2.6,2.3,3.3
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Bethel School District",="Local",75.4,75.8,77.6,77.7,78.7
,="State",19.1,21.2,20.5,20.1,19.4
,="Federal",5.6,3.0,1.9,2.1,1.9
,="Tuition & Other",0.0,0.0,0.0,0.1,0.1
="Bloomfield School District",="Local",75.1,73.9,72.4,70.9,69.7
,="State",18.7,20.9,21.6,24.3,25.9
,="Federal",5.5,4.8,4.3,3.6,3.3
,="Tuition & Other",0.7,0.3,1.7,1.3,1.1
="Bolton School District",="Local",63.2,69.5,71.7,64.9,64.0
,="State",23.5,27.3,26.7,27.4,28.9
,="Federal",5.9,3.1,1.5,1.5,1.4
,="Tuition & Other",7.4,0.1,0.1,6.1,5.7
="Booker T. Washington Academy District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,63.0
,="Federal",N/A,N/A,N/A,N/A,0.0
,="Tuition & Other",N/A,N/A,N/A,N/A,37.0
="Bozrah School District",="Local",69.9,70.4,71.9,72.9,73.7
,="State",22.1,26.6,26.0,24.2,24.2
,="Federal",8.0,3.1,2.1,2.4,2.2
,="Tuition & Other",0.0,0.0,0.0,0.5,0.0
="Branford School District",="Local",91.6,92.1,91.7,92.3,93.3
,="State",4.6,5.2,5.4,5.1,4.6
,="Federal",3.5,2.5,2.5,2.1,2.1
,="Tuition & Other",0.2,0.1,0.4,0.6,0.0
="Brass City Charter School District",="Local",N/A,N/A,N/A,0.0,0.0
,="State",N/A,N/A,N/A,88.8,76.7
,="Federal",N/A,N/A,N/A,7.1,7.3
,="Tuition & Other",N/A,N/A,N/A,4.1,16.0
="Bridgeport Achievement First District",="Local",18.2,0.0,0.0,0.0,0.0
,="State",68.7,67.2,76.5,76.4,88.3
,="Federal",9.0,8.6,12.4,11.4,10.0
,="Tuition & Other",4.0,24.2,11.0,12.2,1.7
="Bridgeport School District",="Local",15.3,16.9,18.3,20.3,20.7
,="State",62.0,72.5,73.1,70.5,69.7
,="Federal",22.0,10.1,7.8,7.5,7.9
,="Tuition & Other",0.8,0.5,0.8,1.7,1.7
="Bristol School District",="Local",51.6,50.9,51.2,53.2,53.3
,="State",37.8,43.1,45.1,42.8,42.2
,="Federal",10.0,5.8,3.4,3.5,3.6
,="Tuition & Other",0.6,0.2,0.3,0.6,0.9
