"Percentage of Revenue by Source (Including School Construction), 2011-12"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,81.0,4.7,14.3
="Amistad Academy District",4.7,67.9,5.9,21.4
="Andover School District",65.3,31.0,3.7,0.0
="Ansonia School District",32.4,59.8,7.1,0.7
="Ashford School District",54.5,40.5,5.0,0.0
="Avon School District",93.0,5.4,1.5,0.1
="Barkhamsted School District",71.6,23.6,4.3,0.6
="Berlin School District",80.1,17.5,2.4,0.0
="Bethany School District",77.5,18.7,3.8,0.0
="Bethel School District",76.9,20.3,2.9,0.0
="Bloomfield School District",66.7,29.2,3.9,0.3
="Bolton School District",46.9,50.7,2.4,0.1
="Bozrah School District",69.0,28.1,2.9,0.0
="Branford School District",91.1,6.4,2.4,0.1
="Bridgeport Achievement First District",0.0,61.9,7.9,30.2
="Bridgeport School District",17.7,73.3,8.6,0.4
="Bristol School District",35.3,60.3,4.2,0.2
="Brookfield School District",92.1,5.9,2.1,0.0
="Brooklyn School District",49.9,46.2,3.9,0.0
="Canaan School District",89.8,7.7,2.5,0.0
="Canterbury School District",51.3,45.5,3.3,0.0
="Canton School District",79.8,17.4,2.8,0.0
="Chaplin School District",58.3,37.6,4.1,0.0
="Cheshire School District",80.1,16.8,2.6,0.5
="Chester School District",89.1,8.0,2.8,0.0
="Clinton School District",74.8,22.2,2.9,0.0
="Colchester School District",59.4,36.9,3.2,0.5
="Colebrook School District",83.8,13.0,3.1,0.1
="Columbia School District",70.2,26.9,2.9,0.0
="Common Ground High School District",5.6,71.7,7.0,15.7
="Cornwall School District",96.3,1.9,1.6,0.2
="Coventry School District",58.3,39.3,2.4,0.1
="Cromwell School District",78.0,18.4,3.5,0.0
="Danbury School District",69.1,25.3,4.9,0.6
="Darien School District",93.6,5.3,1.0,0.1
="Deep River School District",76.6,20.0,3.4,0.0
="Derby School District",57.8,36.3,5.9,0.0
="East Granby School District",87.3,10.9,1.8,0.1
="East Haddam School District",73.7,20.9,2.7,2.7
="East Hampton School District",67.6,30.0,2.4,0.1
="East Hartford School District",40.5,49.7,9.5,0.3
="East Haven School District",50.5,40.4,5.1,3.9
="East Lyme School District",79.6,18.2,2.0,0.1
="East Windsor School District",65.8,30.9,3.2,0.2
="Eastford School District",63.2,33.2,2.8,0.7
="Easton School District",93.1,5.3,1.5,0.0
="Ellington School District",55.7,41.0,3.3,0.0
="Elm City College Preparatory School District",10.5,59.7,6.8,23.0
="Enfield School District",54.3,39.8,5.9,0.0
="Essex School District",95.3,2.8,1.9,0.0
="Explorations District",0.0,60.1,2.8,37.1
="Fairfield School District",93.0,5.6,1.4,0.0
="Farmington School District",92.5,5.1,1.5,0.9
="Franklin School District",67.7,29.0,3.2,0.0
="Glastonbury School District",69.3,28.5,2.1,0.1
="Granby School District",77.2,20.3,2.5,0.0
="Greenwich School District",94.9,3.0,2.0,0.0
="Griswold School District",48.5,46.9,4.4,0.2
="Groton School District",59.6,36.0,4.4,0.0
="Guilford School District",88.3,9.5,2.0,0.1
="Hamden School District",73.0,24.2,2.6,0.2
="Hampton School District",55.2,41.3,3.1,0.4
="Hartford School District",22.1,67.6,9.6,0.7
="Hartland School District",67.3,30.7,2.0,0.0
="Hebron School District",68.2,29.2,2.6,0.0
="Highville Charter School District",0.0,87.9,9.1,3.1
="Integrated Day Charter School District",0.3,88.4,2.5,8.8
="Interdistrict School for Arts and Comm District",0.0,75.3,2.6,22.2
="Jumoke Academy District",0.0,84.5,4.6,10.9
="Kent School District",93.0,4.8,2.2,0.0
="Killingly School District",52.8,42.1,4.8,0.3
="Lebanon School District",62.4,34.7,2.9,0.0
="Ledyard School District",57.4,38.5,4.0,0.1
="Lisbon School District",55.0,41.1,3.8,0.1
="Litchfield School District",88.3,8.9,2.6,0.2
="Madison School District",92.9,4.6,2.1,0.4
="Manchester School District",66.5,27.6,5.7,0.2
="Mansfield School District",63.9,33.3,2.8,0.0
="Marlborough School District",73.5,23.3,3.2,0.0
="Meriden School District",42.2,50.8,6.9,0.2
="Middletown School District",67.2,28.2,4.2,0.4
="Milford School District",82.6,14.9,2.5,0.1
="Monroe School District",84.4,13.6,1.8,0.2
="Montville School District",62.4,33.6,3.8,0.2
="Naugatuck School District",46.6,46.4,6.8,0.1
="New Beginnings Inc., Family Academy District",0.0,81.6,11.3,7.1
="New Britain School District",28.4,63.1,7.4,1.0
="New Canaan School District",95.9,3.0,1.1,0.0
