"Percentage of Revenue by Source (Excluding School Construction), 2007-08"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,64.9,8.3,26.8
="Andover School District",62.6,35.1,2.3,0.0
="Ansonia School District",33.3,59.7,5.6,1.4
="Ashford School District",52.2,44.5,3.2,0.0
="Avon School District",92.9,5.2,1.2,0.7
="Barkhamsted School District",71.7,24.3,4.0,0.0
="Berlin School District",80.1,18.1,1.7,0.0
="Bethany School District",79.3,17.6,3.0,0.1
="Bethel School District",76.1,22.4,1.4,0.1
="Bloomfield School District",78.4,18.1,2.8,0.8
="Bolton School District",67.8,28.8,1.6,1.7
="Bozrah School District",70.6,26.5,2.8,0.0
="Branford School District",92.0,5.6,2.2,0.2
="Bridgeport Achievement First District",0.0,54.5,12.5,33.1
="Bridgeport School District",22.2,67.4,9.9,0.5
="Bristol School District",50.6,44.9,3.7,0.8
="Brookfield School District",92.4,5.8,1.8,0.0
="Brooklyn School District",49.2,48.0,2.9,0.0
="Canaan School District",89.7,7.9,2.3,0.1
="Canterbury School District",51.2,46.5,2.2,0.0
="Canton School District",79.1,18.2,1.6,1.1
="Chaplin School District",55.8,38.6,3.0,2.5
="Cheshire School District",79.8,17.1,2.2,0.8
="Chester School District",85.9,10.3,3.1,0.6
="Clinton School District",74.2,23.4,2.4,0.0
="Colchester School District",55.4,42.0,2.3,0.3
="Colebrook School District",82.9,14.1,2.8,0.3
="Columbia School District",74.1,24.1,1.5,0.2
="Common Ground High School District",0.0,77.2,17.9,4.9
="Cornwall School District",95.0,2.6,2.3,0.1
="Coventry School District",57.3,40.0,2.3,0.3
="Cromwell School District",77.6,19.8,2.4,0.3
="Danbury School District",69.2,25.2,4.7,1.0
="Darien School District",92.4,6.3,1.1,0.2
="Deep River School District",76.7,19.1,4.2,0.0
="Derby School District",53.6,42.1,4.2,0.1
="East Granby School District",84.8,13.6,1.3,0.3
="East Haddam School District",69.9,24.3,2.3,3.5
="East Hampton School District",65.0,32.9,2.0,0.1
="East Hartford School District",40.9,50.6,5.7,2.8
="East Haven School District",52.1,42.0,2.7,3.2
="East Lyme School District",71.4,19.6,2.0,7.0
="East Windsor School District",63.1,34.2,2.0,0.8
="Eastford School District",63.6,32.2,3.2,0.9
="Easton School District",92.9,5.3,1.1,0.7
="Ellington School District",61.6,36.1,2.1,0.2
="Elm City College Preparatory School",0.0,86.0,5.3,8.7
="Enfield School District",57.2,38.7,3.9,0.2
="Essex School District",94.4,3.4,2.2,0.0
="Explorations District",0.0,78.2,3.8,17.9
="Fairfield School District",93.7,4.4,1.9,0.0
="Farmington School District",91.9,5.5,1.6,0.9
="Franklin School District",73.6,24.8,1.3,0.3
="Glastonbury School District",87.5,10.1,1.7,0.6
="Granby School District",73.2,22.8,1.7,2.3
="Greenwich School District",94.5,3.1,2.0,0.4
="Griswold School District",40.7,46.7,3.2,9.4
="Groton School District",61.6,35.7,2.6,0.2
="Guilford School District",89.4,8.7,1.8,0.1
="Hamden School District",70.3,26.6,2.8,0.3
="Hampton School District",55.1,39.4,2.8,2.8
="Hartford School District",25.6,62.7,9.8,1.9
="Hartland School District",66.4,31.0,2.3,0.3
="Hebron School District",63.1,35.0,1.9,0.0
="Highville Charter School District",0.0,94.7,5.3,0.0
="Integrated Day Charter School District",0.3,79.2,11.2,9.3
="Interdistrict School for Arts and Comm District",0.0,79.4,2.3,18.3
="Jumoke Academy District",5.6,76.3,13.3,4.7
="Kent School District",93.8,4.3,1.7,0.1
="Killingly School District",46.3,46.4,3.2,4.1
="Lebanon School District",49.7,37.0,2.2,11.0
="Ledyard School District",53.6,39.2,2.0,5.2
="Lisbon School District",52.6,44.7,2.0,0.7
="Litchfield School District",86.5,11.0,2.3,0.2
="Madison School District",91.4,6.4,1.7,0.5
="Manchester School District",61.9,32.3,4.6,1.2
="Mansfield School District",64.1,33.3,2.3,0.3
="Marlborough School District",72.4,25.5,2.1,0.0
="Meriden School District",44.5,49.9,4.9,0.7
="Middletown School District",67.4,27.3,4.6,0.7
="Milford School District",85.9,11.7,2.2,0.1
="Monroe School District",80.5,15.0,1.9,2.6
="Montville School District",59.8,35.9,2.8,1.5
="Naugatuck School District",48.4,47.0,4.2,0.4
="New Beginnings Inc., Family Academy District",0.0,83.7,9.7,6.6
="New Britain School District",31.7,59.4,7.2,1.7
="New Canaan School District",94.4,3.9,1.8,0.0
="New Fairfield School District",83.6,13.6,1.6,1.2
="New Hartford School District",72.9,25.2,1.8,0.1
="New Haven School District",26.9,60.4,11.1,1.6
="New London School District",37.3,55.1,6.9,0.7
="New Milford School District",73.2,22.8,2.0,2.0
="Newington School District",74.4,23.8,1.7,0.0
="Newtown School District",88.8,9.3,1.8,0.1
="Norfolk School District",87.5,9.4,3.1,0.1
="North Branford School District",67.8,30.3,1.9,0.0
="North Canaan School District",66.8,30.5,2.6,0.1
="North Haven School District",87.9,10.1,1.7,0.3
="North Stonington School District",72.5,24.3,2.6,0.6
="Norwalk School District",85.6,11.0,3.1,0.3
="Norwich School District",42.2,52.2,5.1,0.5
="Odyssey Community School District",0.0,87.2,1.1,11.7
="Old Saybrook School District",91.5,4.9,2.3,1.3
="Orange School District",91.7,6.6,1.7,0.0
="Oxford School District",78.3,20.3,1.4,0.0
="Park City Prep Charter School District",0.0,87.7,11.7,0.6
="Plainfield School District",41.0,49.3,4.1,5.6
="Plainville School District",62.9,33.9,2.4,0.8
="Plymouth School District",50.8,46.7,2.4,0.1
="Pomfret School District",56.0,40.6,2.7,0.7
="Portland School District",70.8,26.8,2.3,0.1
="Preston School District",64.8,31.5,2.5,1.2
="Putnam School District",43.3,50.0,5.0,1.7
="Redding School District",92.6,4.6,2.1,0.7
="Regional School District 01",83.3,12.9,3.2,0.6
="Regional School District 04",87.5,10.5,2.0,0.0
="Regional School District 05",91.9,6.6,1.5,0.0
="Regional School District 06",82.9,8.7,2.4,6.0
="Regional School District 07",74.0,19.7,1.4,4.8
="Regional School District 08",69.7,28.3,2.0,0.0
="Regional School District 09",93.1,6.0,0.9,0.0
="Regional School District 10",71.5,26.9,1.3,0.3
="Regional School District 11",66.8,30.8,2.0,0.3
="Regional School District 12",91.2,4.1,2.0,2.8
="Regional School District 13",74.0,23.7,1.7,0.6
="Regional School District 14",79.9,11.2,2.7,6.2
="Regional School District 15",89.7,7.8,1.9,0.6
="Regional School District 16",65.3,32.0,2.6,0.1
="Regional School District 17",84.3,13.9,1.6,0.1
="Regional School District 18",92.7,5.9,1.4,0.0
="Regional School District 19",58.9,35.2,1.8,4.1
="Ridgefield School District",94.2,4.4,1.1,0.3
="Rocky Hill School District",85.8,12.5,1.7,0.1
="Salem School District",65.8,32.0,2.2,0.0
="Salisbury School District",93.9,2.5,3.1,0.5
="Scotland School District",51.9,44.4,2.0,1.7
="Seymour School District",57.2,35.3,2.1,5.3
="Sharon School District",95.1,2.2,2.6,0.1
="Shelton School District",87.5,10.5,2.0,0.0
="Sherman School District",93.1,5.1,1.7,0.1
="Side By Side Charter School District",0.0,88.8,2.9,8.4
="Simsbury School District",87.1,10.8,1.8,0.2
="Somers School District",64.2,33.2,2.2,0.4
="South Windsor School District",74.2,23.7,1.9,0.1
="Southington School District",66.1,27.0,2.7,4.2
="Sprague School District",46.5,49.6,3.7,0.2
="Stafford School District",52.0,43.9,3.5,0.6
="Stamford Academy District",0.0,46.8,3.1,50.1
="Stamford School District",86.3,8.8,2.8,2.0
="Sterling School District",54.3,42.0,2.9,0.9
="Stonington School District",87.6,9.6,2.6,0.3
="Stratford School District",72.0,25.3,2.5,0.1
="Suffield School District",71.3,24.1,1.5,3.1
="The Bridge Academy District",0.0,86.5,8.1,5.4
="Thomaston School District",55.7,41.0,3.1,0.1
="Thompson School District",44.4,52.0,3.3,0.3
="Tolland School District",62.9,35.0,1.9,0.2
="Torrington School District",53.7,42.8,3.2,0.3
="Trailblazers Academy District",0.0,44.4,4.2,51.3
="Trumbull School District",89.3,6.1,2.3,2.4
="Union School District",78.2,18.6,2.7,0.5
