"Percentage of Revenue by Source (Including School Construction), Trend"
"All Districts"

"",,"% of Revenue",,,,
"District","Revenue Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Local",0.0,0.0,0.0,0.0,0.0
,="State",71.3,81.0,77.5,75.7,83.2
,="Federal",9.3,4.7,7.3,13.7,8.0
,="Tuition & Other",19.5,14.3,15.2,10.6,8.8
="Amistad Academy District",="Local",0.0,4.7,0.0,0.0,0.0
,="State",87.1,67.9,80.5,79.3,87.8
,="Federal",3.6,5.9,12.3,11.4,10.5
,="Tuition & Other",9.2,21.4,7.2,9.3,1.6
="Andover School District",="Local",61.9,65.3,65.0,65.8,66.1
,="State",27.2,31.0,32.7,31.7,30.8
,="Federal",10.7,3.7,2.2,2.2,3.0
,="Tuition & Other",0.2,0.0,0.0,0.2,0.1
="Ansonia School District",="Local",29.8,32.4,39.2,38.5,40.6
,="State",55.8,59.8,56.2,56.3,54.8
,="Federal",13.9,7.1,4.3,4.5,3.9
,="Tuition & Other",0.5,0.7,0.3,0.7,0.7
="Ashford School District",="Local",51.6,54.5,57.7,55.8,58.4
,="State",37.4,40.5,39.5,41.4,38.8
,="Federal",10.4,5.0,2.8,2.8,2.8
,="Tuition & Other",0.5,0.0,0.0,0.0,0.0
="Avon School District",="Local",91.8,93.0,93.1,91.4,90.0
,="State",5.4,5.4,5.3,6.2,7.2
,="Federal",2.2,1.5,1.4,1.3,1.4
,="Tuition & Other",0.6,0.1,0.3,1.1,1.4
="Barkhamsted School District",="Local",68.3,71.6,74.0,75.8,75.1
,="State",20.6,23.6,23.2,21.3,21.9
,="Federal",11.1,4.3,2.8,2.9,2.7
,="Tuition & Other",0.0,0.6,0.0,0.0,0.3
="Berlin School District",="Local",80.2,80.1,78.3,65.9,64.4
,="State",14.9,17.5,19.6,32.4,33.8
,="Federal",4.7,2.4,2.1,1.6,1.6
,="Tuition & Other",0.2,0.0,0.0,0.1,0.1
="Bethany School District",="Local",74.0,77.5,80.8,81.8,82.2
,="State",18.0,18.7,16.8,15.9,14.7
,="Federal",7.9,3.8,2.4,2.2,3.1
,="Tuition & Other",0.1,0.0,0.0,0.1,0.1
="Bethel School District",="Local",75.2,76.9,78.5,78.5,79.7
,="State",19.5,20.3,19.6,19.4,18.5
,="Federal",5.3,2.9,1.8,2.0,1.8
,="Tuition & Other",0.0,0.0,0.0,0.1,0.1
="Bloomfield School District",="Local",67.2,66.7,73.2,71.7,72.7
,="State",27.6,29.2,21.5,23.9,23.3
,="Federal",4.6,3.9,3.8,3.2,3.0
,="Tuition & Other",0.6,0.3,1.5,1.1,1.0
="Bolton School District",="Local",51.6,46.9,72.7,67.0,66.1
,="State",40.0,50.7,25.8,25.8,27.2
,="Federal",3.7,2.4,1.4,1.4,1.3
,="Tuition & Other",4.7,0.1,0.1,5.8,5.4
="Booker T. Washington Academy District",="Local",N/A,N/A,N/A,N/A,0.0
,="State",N/A,N/A,N/A,N/A,63.0
,="Federal",N/A,N/A,N/A,N/A,0.0
,="Tuition & Other",N/A,N/A,N/A,N/A,37.0
="Bozrah School District",="Local",68.6,69.0,73.2,70.2,73.7
,="State",23.8,28.1,24.8,26.9,24.2
,="Federal",7.6,2.9,2.0,2.4,2.2
,="Tuition & Other",0.0,0.0,0.0,0.5,0.0
="Branford School District",="Local",90.5,91.1,90.7,91.3,92.9
,="State",5.8,6.4,6.6,6.2,5.1
,="Federal",3.4,2.4,2.4,2.0,2.0
,="Tuition & Other",0.2,0.1,0.4,0.5,0.0
="Brass City Charter School District",="Local",N/A,N/A,N/A,0.0,0.0
,="State",N/A,N/A,N/A,88.8,76.7
,="Federal",N/A,N/A,N/A,7.1,7.3
,="Tuition & Other",N/A,N/A,N/A,4.1,16.0
="Bridgeport Achievement First District",="Local",13.7,0.0,0.0,0.0,8.4
,="State",51.7,61.9,71.4,76.3,62.1
,="Federal",6.8,7.9,11.6,10.5,6.5
,="Tuition & Other",27.8,30.2,16.9,13.3,23.1
="Bridgeport School District",="Local",17.2,17.7,17.0,21.0,21.2
,="State",62.9,73.3,76.0,71.0,70.6
,="Federal",19.3,8.6,6.3,6.6,6.7
,="Tuition & Other",0.7,0.4,0.7,1.5,1.4
="Bristol School District",="Local",47.6,35.3,49.5,55.0,54.3
,="State",42.9,60.3,47.2,41.1,41.4
,="Federal",8.9,4.2,3.0,3.3,3.5
,="Tuition & Other",0.6,0.2,0.3,0.6,0.8
="Brookfield School District",="Local",91.5,92.1,93.2,91.3,92.6
