"Percentage of Revenue by Source (Including School Construction), 2007-08"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,63.0,8.1,29.0
="Andover School District",64.1,33.7,2.3,0.0
="Ansonia School District",33.9,59.9,5.0,1.3
="Ashford School District",51.4,45.4,3.2,0.0
="Avon School District",79.9,18.4,1.1,0.6
="Barkhamsted School District",70.3,26.0,3.8,0.0
="Berlin School District",79.7,18.6,1.7,0.0
="Bethany School District",78.0,19.1,2.8,0.1
="Bethel School District",68.5,30.2,1.2,0.1
="Bloomfield School District",73.9,23.1,2.4,0.7
="Bolton School District",66.6,30.2,1.6,1.6
="Bozrah School District",69.0,28.4,2.6,0.0
="Branford School District",90.4,7.4,2.1,0.2
="Bridgeport Achievement First District",0.0,50.7,11.6,37.7
="Bridgeport School District",13.5,78.4,7.7,0.4
="Bristol School District",52.0,43.6,3.6,0.8
="Brookfield School District",92.0,6.2,1.7,0.0
="Brooklyn School District",40.6,57.2,2.2,0.0
="Canaan School District",89.0,8.7,2.2,0.1
="Canterbury School District",50.1,47.8,2.1,0.0
="Canton School District",79.8,17.7,1.5,1.0
="Chaplin School District",52.5,42.4,2.8,2.3
="Cheshire School District",79.5,17.6,2.1,0.8
="Chester School District",84.7,11.8,3.0,0.6
="Clinton School District",69.5,28.1,2.4,0.0
="Colchester School District",51.5,46.3,2.0,0.2
="Colebrook School District",81.0,16.1,2.7,0.2
="Columbia School District",73.2,25.2,1.4,0.2
="Common Ground High School District",0.0,77.2,17.9,4.9
="Cornwall School District",93.5,4.4,2.0,0.1
="Coventry School District",56.9,40.5,2.3,0.3
="Cromwell School District",78.2,19.4,2.2,0.2
="Danbury School District",69.5,25.1,4.5,0.9
="Darien School District",91.9,7.0,0.9,0.2
="Deep River School District",76.7,19.1,4.2,0.0
="Derby School District",54.4,41.4,4.0,0.1
="East Granby School District",84.8,13.7,1.3,0.2
="East Haddam School District",48.9,47.3,1.5,2.3
="East Hampton School District",64.6,33.4,1.9,0.1
="East Hartford School District",41.6,50.0,5.6,2.8
="East Haven School District",51.9,42.7,2.5,2.9
="East Lyme School District",71.1,20.6,1.8,6.5
="East Windsor School District",63.1,34.3,1.9,0.7
="Eastford School District",63.2,32.6,3.2,0.9
="Easton School District",93.2,5.3,0.9,0.6
="Ellington School District",62.7,35.1,2.0,0.2
="Elm City College Preparatory School",0.0,93.5,5.2,1.3
="Enfield School District",58.3,37.7,3.8,0.2
="Essex School District",69.1,29.4,1.5,0.0
="Explorations District",0.0,77.9,3.8,18.3
="Fairfield School District",94.0,4.3,1.7,0.0
="Farmington School District",90.9,6.7,1.5,0.9
="Franklin School District",71.8,26.7,1.2,0.3
="Glastonbury School District",86.2,11.8,1.5,0.5
="Granby School District",74.5,22.0,1.5,2.0
="Greenwich School District",94.7,3.1,1.8,0.4
="Griswold School District",40.4,47.9,2.9,8.7
="Groton School District",54.9,43.3,1.7,0.1
="Guilford School District",86.7,11.6,1.7,0.1
="Hamden School District",69.9,27.3,2.5,0.2
="Hampton School District",54.2,40.8,2.5,2.5
="Hartford School District",24.7,65.4,8.3,1.6
="Hartland School District",65.9,31.5,2.3,0.3
="Hebron School District",64.6,33.6,1.8,0.0
="Highville Charter School District",0.0,94.7,5.3,0.0
="Integrated Day Charter School District",1.7,70.3,7.8,20.2
="Interdistrict School for Arts and Comm District",0.0,78.3,2.3,19.4
="Jumoke Academy District",4.0,60.5,9.4,26.1
="Kent School District",94.1,4.3,1.5,0.1
="Killingly School District",42.1,51.3,2.9,3.7
="Lebanon School District",45.6,42.3,2.1,10.1
="Ledyard School District",53.1,39.2,2.6,5.1
="Lisbon School District",53.3,44.0,2.0,0.7
="Litchfield School District",82.9,15.0,1.9,0.2
="Madison School District",91.2,6.8,1.6,0.5
="Manchester School District",58.1,36.7,4.1,1.1
="Mansfield School District",62.4,35.0,2.2,0.3
="Marlborough School District",71.4,26.8,1.7,0.0
="Meriden School District",43.8,50.8,4.8,0.6
="Middletown School District",68.4,28.1,3.0,0.4
="Milford School District",83.7,14.1,2.1,0.1
="Monroe School District",80.8,15.0,1.8,2.4
="Montville School District",52.6,43.9,2.3,1.2
="Naugatuck School District",47.4,48.2,4.0,0.4
="New Beginnings Inc., Family Academy District",0.0,82.5,9.4,8.1
="New Britain School District",30.3,61.6,6.6,1.6
="New Canaan School District",90.9,7.4,1.7,0.0
="New Fairfield School District",83.1,14.3,1.5,1.1
="New Hartford School District",71.2,26.9,1.7,0.1
="New Haven School District",24.1,66.9,7.9,1.1
="New London School District",33.3,60.2,5.8,0.6
="New Milford School District",72.9,23.5,1.8,1.8
="Newington School District",74.9,23.4,1.7,0.0
="Newtown School District",88.1,10.0,1.7,0.1
="Norfolk School District",86.6,10.8,2.5,0.1
="North Branford School District",68.0,30.2,1.8,0.0
="North Canaan School District",63.6,33.9,2.4,0.1
="North Haven School District",87.4,10.7,1.6,0.2
="North Stonington School District",70.8,26.2,2.5,0.6
="Norwalk School District",82.4,14.5,2.8,0.3
="Norwich School District",41.9,52.6,5.0,0.5
="Odyssey Community School District",0.0,93.5,1.1,5.4
="Old Saybrook School District",86.3,10.5,2.0,1.2
="Orange School District",91.8,6.5,1.7,0.0
="Oxford School District",64.0,34.7,1.3,0.0
="Park City Prep Charter School District",0.0,87.7,11.7,0.6
="Plainfield School District",40.4,50.6,3.8,5.2
="Plainville School District",40.7,57.4,1.4,0.4
="Plymouth School District",36.9,61.0,2.0,0.1
="Pomfret School District",56.0,40.6,2.7,0.7
="Portland School District",72.6,25.3,2.1,0.1
="Preston School District",66.3,30.2,2.4,1.2
="Putnam School District",43.5,49.8,5.0,1.7
="Redding School District",92.8,4.6,2.0,0.7
="Regional School District 01",84.2,12.2,3.0,0.6
="Regional School District 04",77.8,20.5,1.7,0.0
="Regional School District 05",83.5,15.2,1.2,0.0
="Regional School District 06",81.9,10.3,2.2,5.6
="Regional School District 07",74.2,20.0,1.3,4.6
="Regional School District 08",72.9,25.3,1.8,0.0
="Regional School District 09",93.9,5.3,0.8,0.0
="Regional School District 10",67.9,30.7,1.2,0.2
="Regional School District 11",66.8,30.8,2.0,0.3
="Regional School District 12",91.0,4.4,1.9,2.7
="Regional School District 13",73.7,24.2,1.5,0.6
="Regional School District 14",78.6,12.9,2.6,5.9
="Regional School District 15",89.5,8.2,1.8,0.5
="Regional School District 16",62.2,35.4,2.3,0.1
="Regional School District 17",85.4,13.0,1.5,0.1
="Regional School District 18",93.3,5.5,1.3,0.0
="Regional School District 19",51.5,43.9,1.4,3.2
="Ridgefield School District",94.6,4.2,1.0,0.2
="Rocky Hill School District",85.2,13.2,1.6,0.1
="Salem School District",64.8,33.1,2.1,0.0
="Salisbury School District",92.5,4.1,3.0,0.5
="Scotland School District",42.9,55.9,0.6,0.5
="Seymour School District",60.8,32.4,2.0,4.9
="Sharon School District",94.4,3.1,2.4,0.1
="Shelton School District",85.9,12.3,1.8,0.0
="Sherman School District",93.3,5.1,1.5,0.1
="Side By Side Charter School District",0.0,88.8,2.9,8.4
="Simsbury School District",87.7,10.3,1.8,0.2
="Somers School District",63.0,34.7,1.9,0.4
="South Windsor School District",73.9,24.1,1.8,0.1
="Southington School District",65.5,27.9,2.6,4.1
="Sprague School District",47.9,48.3,3.6,0.2
="Stafford School District",46.3,50.3,2.9,0.5
="Stamford Academy District",0.0,46.8,3.1,50.1
="Stamford School District",80.5,15.3,2.4,1.8
="Sterling School District",20.9,76.1,2.3,0.7
="Stonington School District",85.0,12.4,2.4,0.2
="Stratford School District",71.5,26.0,2.3,0.1
="Suffield School District",72.8,22.9,1.4,2.9
="The Bridge Academy District",0.0,82.3,7.7,10.0
="Thomaston School District",57.7,39.4,2.9,0.1
="Thompson School District",26.6,71.4,1.8,0.2
="Tolland School District",64.2,33.9,1.7,0.2
="Torrington School District",53.7,43.1,2.9,0.3
="Trailblazers Academy District",0.0,44.4,4.2,51.3
="Trumbull School District",85.6,10.1,2.1,2.2
="Union School District",78.2,18.6,2.7,0.5
="Vernon School District",45.2,51.4,2.4,1.0
="Voluntown School District",53.7,44.3,2.0,0.0
="Wallingford School District",67.8,28.6,2.1,1.5
="Waterbury School District",35.1,58.1,6.0,0.9
