"Percentage of Revenue by Source (Excluding School Construction), 2013-14"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,76.2,13.8,10.0
="Amistad Academy District",0.0,80.2,11.5,8.3
="Andover School District",64.9,32.6,2.3,0.2
="Ansonia School District",38.1,56.3,4.9,0.8
="Ashford School District",57.2,40.0,2.8,0.0
="Avon School District",90.9,6.6,1.4,1.1
="Barkhamsted School District",75.8,21.3,2.9,0.0
="Berlin School District",80.9,17.0,2.0,0.1
="Bethany School District",82.8,14.8,2.3,0.1
="Bethel School District",77.7,20.1,2.1,0.1
="Bloomfield School District",70.9,24.3,3.6,1.3
="Bolton School District",64.9,27.4,1.5,6.1
="Bozrah School District",72.9,24.2,2.4,0.5
="Branford School District",92.3,5.1,2.1,0.6
="Brass City Charter School District",0.0,88.8,7.1,4.1
="Bridgeport Achievement First District",0.0,76.4,11.4,12.2
="Bridgeport School District",20.3,70.5,7.5,1.7
="Bristol School District",53.2,42.8,3.5,0.6
="Brookfield School District",91.7,6.7,1.5,0.1
="Brooklyn School District",51.8,45.6,2.5,0.1
="Canaan School District",91.1,6.8,2.0,0.1
="Canterbury School District",53.3,44.0,2.7,0.0
="Canton School District",78.9,19.1,1.3,0.7
="Chaplin School District",58.9,35.7,3.9,1.5
="Cheshire School District",80.9,16.4,1.9,0.8
="Chester School District",89.0,8.1,2.9,0.0
="Clinton School District",75.7,22.3,2.0,0.0
="Colchester School District",59.7,37.5,1.7,1.1
="Colebrook School District",83.8,13.4,2.7,0.1
="Columbia School District",76.3,21.7,1.8,0.2
="Common Ground High School District",0.0,73.2,7.2,19.6
="Cornwall School District",95.4,2.1,2.3,0.2
="Coventry School District",61.1,36.9,1.7,0.3
="Cromwell School District",77.5,19.4,2.3,0.8
="Danbury School District",70.3,24.8,3.9,1.0
="Darien School District",94.1,4.7,1.0,0.2
="Deep River School District",78.4,18.0,3.6,0.0
="Derby School District",57.6,38.0,4.4,0.0
="East Granby School District",84.8,14.0,1.2,0.0
="East Haddam School District",74.3,20.8,1.6,3.3
="East Hampton School District",68.9,29.3,1.8,0.1
="East Hartford School District",38.5,49.6,6.4,5.5
="East Haven School District",51.9,41.6,2.6,3.9
="East Lyme School District",73.4,18.2,1.7,6.7
="East Windsor School District",64.8,32.2,2.2,0.8
="Eastford School District",64.6,32.6,2.1,0.7
="Easton School District",92.1,5.8,1.4,0.7
="Ellington School District",66.6,31.2,1.6,0.6
="Elm City College Preparatory School District",0.0,77.3,8.4,14.3
="Enfield School District",55.8,39.7,3.8,0.7
="Essex School District",93.3,4.3,2.4,0.0
="Explorations District",7.2,67.4,2.3,23.0
="Fairfield School District",94.1,4.2,1.7,0.1
="Farmington School District",91.5,5.6,1.2,1.6
="Franklin School District",72.3,25.4,2.1,0.2
="Glastonbury School District",89.3,8.4,1.5,0.8
="Granby School District",71.6,22.8,1.5,4.2
="Greenwich School District",94.7,3.1,1.6,0.6
="Griswold School District",45.7,45.3,2.3,6.6
="Groton School District",61.3,36.2,2.4,0.1
="Guilford School District",90.5,7.9,1.5,0.2
="Hamden School District",71.7,25.7,2.5,0.1
="Hampton School District",60.4,36.4,2.5,0.6
="Hartford School District",22.9,67.1,7.1,2.9
="Hartland School District",71.8,26.0,1.9,0.3
="Hebron School District",69.4,28.8,1.6,0.2
="Highville Charter School District",0.0,88.3,8.1,3.6
="Integrated Day Charter School District",0.0,92.2,4.0,3.8
="Interdistrict School for Arts and Comm District",0.0,79.3,2.1,18.6
="Jumoke Academy District",0.0,93.5,2.8,3.7
="Kent School District",91.2,5.4,2.5,0.9
="Killingly School District",48.9,42.7,2.5,5.9
="Lebanon School District",60.4,34.5,2.0,3.0
="Ledyard School District",54.9,39.8,1.6,3.7
="Lisbon School District",54.3,43.4,1.8,0.5
="Litchfield School District",88.1,9.7,2.0,0.2
="Madison School District",92.5,5.3,1.6,0.7
="Manchester School District",63.7,31.0,3.7,1.6
="Mansfield School District",63.9,34.0,2.0,0.1
="Marlborough School District",73.9,23.3,1.9,0.9
="Meriden School District",42.0,52.1,5.0,0.9
="Middletown School District",67.7,28.4,2.5,1.4
="Milford School District",86.0,11.6,2.2,0.2
="Monroe School District",84.3,13.6,1.7,0.3
="Montville School District",60.9,35.7,2.3,1.1
="Naugatuck School District",49.8,46.6,3.6,0.0
="New Beginnings Inc., Family Academy District",0.0,79.9,7.8,12.2
