"Percentage of Revenue by Source (Excluding School Construction), 2005-06"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,64.1,4.7,31.2
="Andover School District",64.3,32.1,3.3,0.2
="Ansonia School District",32.4,60.5,6.4,0.7
="Ashford School District",50.0,46.1,3.6,0.3
="Avon School District",93.9,4.2,1.5,0.4
="Barkhamsted School District",73.9,22.4,3.7,0.0
="Berlin School District",82.3,15.4,2.1,0.2
="Bethany School District",79.3,16.1,4.6,0.0
="Bethel School District",75.7,22.6,1.7,0.0
="Bloomfield School District",78.9,17.1,3.0,1.0
="Bolton School District",71.6,26.4,1.7,0.2
="Bozrah School District",69.2,27.3,3.4,0.1
="Branford School District",92.7,4.6,2.6,0.0
="Bridgeport School District",23.0,66.5,9.9,0.5
="Bristol School District",52.9,42.8,3.6,0.7
="Brookfield School District",93.3,4.6,2.1,0.0
="Brooklyn School District",49.8,46.3,3.9,0.0
="Canaan School District",91.4,6.4,2.1,0.1
="Canterbury School District",49.9,46.9,2.9,0.3
="Canton School District",80.8,15.7,2.3,1.2
="Chaplin School District",54.1,40.5,4.0,1.3
="Cheshire School District",81.5,15.9,1.9,0.8
="Chester School District",86.9,10.6,2.4,0.0
="Clinton School District",72.5,24.9,2.5,0.1
="Colchester School District",55.4,42.0,2.3,0.2
="Colebrook School District",83.0,13.1,2.9,1.0
="Columbia School District",74.4,23.5,1.8,0.4
="Common Ground High School District",1.8,73.4,17.9,6.9
="Cornwall School District",95.2,1.7,2.9,0.3
="Coventry School District",57.7,39.7,2.3,0.4
="Cromwell School District",80.1,17.5,2.4,0.1
="Danbury School District",72.4,22.0,4.9,0.7
="Darien School District",94.4,4.5,1.1,0.0
="Deep River School District",76.7,20.3,3.0,0.0
="Derby School District",54.5,40.7,4.8,0.0
="East Granby School District",89.3,9.1,1.4,0.2
="East Haddam School District",70.2,22.5,3.0,4.3
="East Hampton School District",65.5,32.1,2.3,0.1
="East Hartford School District",44.0,47.5,6.4,2.1
="East Haven School District",49.8,41.6,2.5,6.1
="East Lyme School District",70.6,19.9,2.3,7.2
="East Windsor School District",63.7,32.9,2.5,0.9
="Eastford School District",66.0,31.0,2.7,0.3
="Easton School District",93.8,4.0,2.0,0.2
="Ellington School District",63.2,34.1,2.7,0.1
="Elm City College Preparatory School",0.0,79.7,1.7,18.5
="Enfield School District",58.3,37.8,3.8,0.1
="Essex School District",94.3,3.0,2.7,0.0
="Explorations District",0.0,87.9,5.4,6.7
="Fairfield School District",94.7,3.5,1.8,0.0
="Farmington School District",93.4,3.9,1.9,0.8
="Franklin School District",74.6,24.2,1.0,0.3
="Glastonbury School District",89.3,8.2,1.9,0.6
="Granby School District",76.1,20.1,1.9,1.9
="Greenwich School District",94.4,3.1,2.2,0.3
="Griswold School District",39.0,46.5,4.7,9.8
="Groton School District",59.9,36.1,3.8,0.2
="Guilford School District",89.4,8.3,2.2,0.0
="Hamden School District",71.3,25.2,3.4,0.2
="Hampton School District",55.5,39.9,3.6,1.0
="Hartford School District",24.9,60.4,12.6,2.1
="Hartland School District",69.3,29.3,1.3,0.0
="Hebron School District",62.9,35.1,1.9,0.0
="Highville Mustard Seed Charter School District",5.1,85.3,9.5,0.0
="Integrated Day Charter School District",0.0,80.9,15.7,3.4
="Interdistrict School for Arts and Comm District",0.0,92.0,1.5,6.5
="Jumoke Academy District",0.0,80.0,15.9,4.1
="Kent School District",94.2,2.8,3.1,0.0
="Killingly School District",43.8,46.5,4.5,5.2
="Lebanon School District",50.0,34.8,2.9,12.3
="Ledyard School District",56.5,36.5,2.5,4.5
="Lisbon School District",53.1,44.2,2.3,0.3
="Litchfield School District",88.2,9.0,2.4,0.4
="Madison School District",92.6,5.0,1.9,0.4
="Manchester School District",62.4,31.7,4.7,1.1
="Mansfield School District",64.9,32.4,2.6,0.2
="Marlborough School District",74.4,24.0,1.5,0.0
="Meriden School District",44.4,49.0,5.9,0.7
="Middletown School District",68.6,25.3,5.3,0.8
="Milford School District",85.1,12.4,2.5,0.1
="Monroe School District",78.4,14.4,2.1,5.2
="Montville School District",60.4,34.9,3.3,1.5
="Naugatuck School District",45.6,49.3,4.8,0.4
="New Beginnings Inc., Family Academy District",0.0,66.6,12.4,20.9
="New Britain School District",33.1,58.3,7.8,0.8
="New Canaan School District",96.1,3.0,0.9,0.0
="New Fairfield School District",82.6,14.3,1.7,1.3
="New Hartford School District",73.4,24.4,2.1,0.1
="New Haven School District",26.3,59.0,12.9,1.8
="New London School District",35.6,55.2,8.3,0.9
="New Milford School District",72.5,23.5,2.1,1.8
="Newington School District",75.4,22.6,1.9,0.1
="Newtown School District",88.9,8.7,2.1,0.3
="Norfolk School District",85.1,9.4,4.0,1.5
="North Branford School District",67.1,30.4,2.2,0.3
="North Canaan School District",66.0,30.9,2.9,0.2
="North Haven School District",91.3,7.2,1.4,0.1
="North Stonington School District",70.8,24.6,3.4,1.2
="Norwalk School District",85.5,10.1,4.0,0.4
="Norwich School District",39.1,52.3,7.8,0.8
="Odyssey Community School District",0.0,98.6,0.6,0.8
="Old Saybrook School District",92.0,4.5,2.7,0.8
="Orange School District",92.0,6.2,1.8,0.0
="Oxford School District",77.2,21.2,1.5,0.0
="Plainfield School District",41.1,49.5,5.2,4.1
="Plainville School District",62.8,33.5,2.7,1.0
="Plymouth School District",52.4,44.7,2.8,0.1
="Pomfret School District",57.0,38.6,3.7,0.8
="Portland School District",74.5,22.8,2.7,0.0
="Preston School District",66.6,30.9,1.8,0.7
="Putnam School District",39.2,53.6,5.9,1.3
