"Percentage of Revenue by Source (Including School Construction), 2006-07"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,63.8,7.4,28.8
="Andover School District",71.4,26.3,2.2,0.0
="Ansonia School District",35.2,59.2,5.2,0.4
="Ashford School District",49.9,45.7,3.9,0.4
="Avon School District",93.1,4.8,1.4,0.7
="Barkhamsted School District",74.4,22.0,3.6,0.0
="Berlin School District",81.8,16.3,1.8,0.2
="Bethany School District",80.2,16.8,3.1,0.0
="Bethel School District",76.8,22.0,1.2,0.1
="Bloomfield School District",75.2,21.7,2.6,0.5
="Bolton School District",69.6,28.7,1.2,0.5
="Bozrah School District",68.6,28.5,2.8,0.1
="Branford School District",90.4,7.2,2.3,0.1
="Bridgeport School District",18.0,73.0,8.5,0.5
="Bristol School District",49.1,47.0,3.2,0.7
="Brookfield School District",83.7,14.8,1.5,0.1
="Brooklyn School District",51.1,45.8,3.1,0.1
="Canaan School District",86.8,8.7,4.4,0.0
="Canterbury School District",51.2,46.1,2.5,0.1
="Canton School District",82.9,14.4,1.8,0.9
="Chaplin School District",55.7,40.7,2.1,1.5
="Cheshire School District",81.3,16.1,1.8,0.8
="Chester School District",87.3,11.0,1.7,0.0
="Clinton School District",68.0,29.5,2.5,0.0
="Colchester School District",24.8,72.6,2.3,0.3
="Colebrook School District",82.8,14.0,2.9,0.3
="Columbia School District",75.0,23.1,1.6,0.3
="Common Ground High School District",0.3,80.7,13.5,5.6
="Cornwall School District",93.0,4.8,2.1,0.0
="Coventry School District",58.8,38.5,2.3,0.5
="Cromwell School District",80.4,17.5,1.9,0.2
="Cross Cultural Academy District",0.0,70.9,20.9,8.2
="Danbury School District",68.5,26.9,3.9,0.7
="Darien School District",92.6,6.3,1.1,0.0
="Deep River School District",79.9,17.8,2.3,0.0
="Derby School District",55.3,41.2,3.5,0.0
="East Granby School District",88.9,9.7,1.2,0.2
="East Haddam School District",61.5,32.8,2.0,3.6
="East Hampton School District",65.4,32.4,1.9,0.2
="East Hartford School District",42.5,49.9,5.7,2.0
="East Haven School District",53.0,42.1,2.2,2.8
="East Lyme School District",73.8,17.7,1.9,6.6
="East Windsor School District",63.0,34.0,2.3,0.7
="Eastford School District",66.7,30.4,2.6,0.4
="Easton School District",93.8,4.9,1.1,0.3
="Ellington School District",66.7,31.1,1.9,0.2
="Elm City College Preparatory School",0.0,85.1,11.1,3.8
="Enfield School District",58.4,37.5,3.7,0.3
="Essex School District",93.2,4.8,2.0,0.0
="Explorations District",0.0,89.1,3.6,7.3
="Fairfield School District",93.5,4.8,1.7,0.0
="Farmington School District",92.0,5.8,1.5,0.7
="Franklin School District",71.5,25.8,2.4,0.3
="Glastonbury School District",81.7,16.2,1.6,0.5
="Granby School District",72.3,24.4,1.4,1.9
="Greenwich School District",94.7,3.4,1.5,0.3
="Griswold School District",41.9,45.7,3.4,9.1
="Groton School District",46.2,51.4,2.3,0.1
="Guilford School District",88.1,9.9,1.9,0.0
="Hamden School District",69.3,27.7,2.7,0.2
="Hampton School District",54.6,41.9,2.2,1.4
="Hartford School District",23.0,65.6,9.4,2.0
="Hartland School District",67.6,30.1,1.9,0.4
="Hebron School District",66.8,31.1,2.2,0.0
="Highville Mustard Seed Charter School District",5.6,77.9,6.4,10.1
="Integrated Day Charter School District",3.3,83.2,7.4,6.1
="Interdistrict School for Arts and Comm District",0.0,87.5,1.1,11.4
="Jumoke Academy District",0.0,82.3,13.4,4.4
="Kent School District",95.4,3.0,1.5,0.1
="Killingly School District",45.4,46.5,3.6,4.4
="Lebanon School District",55.6,32.3,2.2,10.0
="Ledyard School District",57.5,36.5,2.0,4.0
="Lisbon School District",54.5,42.3,2.3,0.9
="Litchfield School District",84.0,15.0,1.0,0.1
="Madison School District",92.7,5.0,1.5,0.7
="Manchester School District",52.7,42.5,3.8,1.0
="Mansfield School District",65.6,32.0,2.2,0.2
="Marlborough School District",77.5,21.1,1.4,0.1
="Meriden School District",46.4,48.6,4.6,0.4
="Middletown School District",57.7,38.8,3.0,0.5
="Milford School District",85.1,12.5,2.4,0.1
="Monroe School District",79.5,14.2,1.6,4.7
="Montville School District",47.7,49.2,2.1,1.0
="Naugatuck School District",47.6,47.9,4.2,0.3
="New Beginnings Inc., Family Academy District",0.0,74.8,8.8,16.4
="New Britain School District",33.1,59.3,6.8,0.9
="New Canaan School District",92.2,7.0,0.7,0.0
