"Percentage of Revenue by Source (Excluding School Construction), 2006-07"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,66.3,8.9,24.8
="Andover School District",66.7,30.2,3.1,0.0
="Ansonia School District",36.5,57.2,5.9,0.5
="Ashford School District",50.9,44.7,4.0,0.4
="Avon School District",93.4,4.2,1.6,0.8
="Barkhamsted School District",76.3,19.9,3.8,0.0
="Berlin School District",82.8,15.2,1.8,0.2
="Bethany School District",81.7,14.9,3.3,0.0
="Bethel School District",76.6,22.1,1.2,0.1
="Bloomfield School District",80.8,15.8,2.9,0.6
="Bolton School District",71.0,27.1,1.3,0.5
="Bozrah School District",70.4,26.4,3.1,0.1
="Branford School District",92.2,5.3,2.5,0.1
="Bridgeport School District",23.8,65.9,9.8,0.6
="Bristol School District",54.4,41.2,3.7,0.8
="Brookfield School District",93.7,4.5,1.7,0.1
="Brooklyn School District",50.8,45.7,3.5,0.1
="Canaan School District",87.5,7.8,4.6,0.1
="Canterbury School District",52.7,44.5,2.7,0.1
="Canton School District",82.5,14.6,2.0,1.0
="Chaplin School District",59.6,36.4,2.3,1.7
="Cheshire School District",82.0,15.4,1.7,0.8
="Chester School District",88.8,9.4,1.9,0.0
="Clinton School District",74.5,22.9,2.6,0.0
="Colchester School District",57.7,39.3,2.6,0.4
="Colebrook School District",83.7,13.0,3.0,0.3
="Columbia School District",76.2,21.7,1.8,0.3
="Common Ground High School District",0.3,74.6,13.6,11.4
="Cornwall School District",94.5,2.9,2.5,0.1
="Coventry School District",59.7,37.6,2.3,0.5
="Cromwell School District",81.5,16.2,2.1,0.3
="Cross Cultural Academy District",0.0,70.9,20.9,8.2
="Danbury School District",72.3,22.7,4.3,0.8
="Darien School District",93.5,5.3,1.2,0.0
="Deep River School District",78.0,19.4,2.5,0.0
="Derby School District",55.2,41.2,3.7,0.0
="East Granby School District",89.1,9.4,1.3,0.2
="East Haddam School District",71.6,21.6,2.5,4.4
="East Hampton School District",66.1,31.6,2.1,0.3
="East Hartford School District",45.5,46.9,5.6,2.0
="East Haven School District",53.0,41.5,2.4,3.1
