"Percentage of Revenue by Source (Including School Construction), 2005-06"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Amistad Academy District",0.0,57.0,4.1,38.8
="Andover School District",54.2,42.7,2.9,0.2
="Ansonia School District",31.6,62.2,5.6,0.6
="Ashford School District",49.6,46.6,3.5,0.3
="Avon School District",93.3,5.0,1.4,0.3
="Barkhamsted School District",72.3,24.3,3.4,0.0
="Berlin School District",81.4,16.3,2.1,0.2
="Bethany School District",77.9,17.9,4.2,0.0
="Bethel School District",76.0,22.4,1.6,0.0
="Bloomfield School District",78.5,17.5,3.1,0.9
="Bolton School District",69.8,28.4,1.6,0.2
="Bozrah School District",67.6,29.2,3.1,0.1
="Branford School District",90.6,6.9,2.4,0.0
="Bridgeport School District",18.0,72.6,8.9,0.5
="Bristol School District",51.5,44.4,3.4,0.7
="Brookfield School District",92.6,5.3,2.0,0.0
="Brooklyn School District",50.1,46.3,3.5,0.0
="Canaan School District",90.3,7.6,2.0,0.1
="Canterbury School District",48.4,48.6,2.8,0.2
="Canton School District",76.5,20.5,1.9,1.1
="Chaplin School District",50.4,44.9,3.6,1.2
="Cheshire School District",81.2,16.3,1.8,0.7
="Chester School District",85.5,12.3,2.3,0.0
="Clinton School District",72.2,25.3,2.5,0.1
="Colchester School District",53.6,44.0,2.2,0.2
="Colebrook School District",81.7,14.6,2.7,0.9
="Columbia School District",72.2,25.8,1.6,0.3
="Common Ground High School District",1.8,73.4,17.9,6.9
="Cornwall School District",93.8,3.7,2.3,0.2
="Coventry School District",57.0,40.4,2.2,0.4
="Cromwell School District",70.5,27.6,1.8,0.1
="Danbury School District",62.1,33.2,4.1,0.6
="Darien School District",91.7,7.3,0.9,0.0
="Deep River School District",78.9,18.4,2.7,0.0
="Derby School District",54.4,40.9,4.6,0.0
="East Granby School District",89.0,9.5,1.3,0.2
="East Haddam School District",69.3,23.9,2.8,4.0
="East Hampton School District",64.4,33.3,2.1,0.1
="East Hartford School District",43.0,48.7,6.2,2.1
="East Haven School District",49.3,43.0,2.3,5.5
="East Lyme School District",69.0,22.2,2.1,6.7
="East Windsor School District",63.0,33.6,2.5,0.9
="Eastford School District",66.0,31.0,2.7,0.3
="Easton School District",84.9,13.4,1.5,0.2
="Ellington School District",63.7,33.7,2.5,0.1
="Elm City College Preparatory School",0.0,79.7,1.7,18.5
="Enfield School District",57.8,38.3,3.7,0.1
="Essex School District",92.6,4.8,2.6,0.0
="Explorations District",0.0,84.5,5.2,10.2
="Fairfield School District",86.8,11.7,1.5,0.0
="Farmington School District",92.6,5.0,1.7,0.7
="Franklin School District",72.4,26.4,0.9,0.3
="Glastonbury School District",79.3,18.6,1.5,0.5
="Granby School District",65.0,32.0,1.5,1.5
="Greenwich School District",94.6,2.9,2.1,0.3
="Griswold School District",38.8,47.9,4.3,9.0
="Groton School District",57.6,38.6,3.7,0.2
="Guilford School District",87.6,10.3,2.1,0.0
="Hamden School District",61.1,36.4,2.4,0.1
="Hampton School District",54.4,41.5,3.2,0.9
="Hartford School District",20.4,68.3,9.7,1.6
="Hartland School District",68.6,30.1,1.2,0.0
="Hebron School District",63.1,35.3,1.7,0.0
="Highville Mustard Seed Charter School District",5.1,84.7,9.5,0.7
="Integrated Day Charter School District",0.0,74.5,14.5,11.0
="Interdistrict School for Arts and Comm District",0.0,83.9,1.3,14.8
="Jumoke Academy District",0.0,78.2,15.5,6.2
="Kent School District",94.9,2.4,2.7,0.0
="Killingly School District",43.2,47.5,4.3,5.0
="Lebanon School District",39.3,49.8,2.1,8.8
="Ledyard School District",57.0,36.2,2.4,4.4
="Lisbon School District",52.8,44.6,2.2,0.3
="Litchfield School District",74.7,23.1,1.9,0.3
="Madison School District",92.9,4.9,1.8,0.4
="Manchester School District",61.7,32.7,4.5,1.1
="Mansfield School District",64.3,33.0,2.5,0.2
="Marlborough School District",77.3,21.3,1.4,0.0
="Meriden School District",41.2,52.5,5.7,0.7
="Middletown School District",62.2,33.0,4.2,0.6
="Milford School District",84.3,13.2,2.4,0.1
="Monroe School District",78.6,14.6,2.0,4.8
="Montville School District",57.1,38.6,3.0,1.3
="Naugatuck School District",45.4,49.6,4.6,0.4
="New Beginnings Inc., Family Academy District",0.0,72.3,10.3,17.4
="New Britain School District",33.0,59.0,7.2,0.8
="New Canaan School District",83.1,16.1,0.8,0.0
="New Fairfield School District",81.9,15.2,1.6,1.2
="New Hartford School District",67.4,30.7,1.8,0.1
="New Haven School District",26.0,63.0,9.7,1.4
="New London School District",21.0,72.1,6.2,0.7
="New Milford School District",72.0,24.5,1.9,1.6
="Newington School District",71.1,27.2,1.7,0.1
="Newtown School District",88.6,9.2,1.9,0.2
="Norfolk School District",83.1,11.7,3.7,1.4
