"Percentage of Revenue by Source (Excluding School Construction), 2008-09"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,13.7,9.2,77.1
="Amistad Academy District",0.0,63.6,6.5,29.9
="Andover School District",63.5,34.5,2.0,0.0
="Ansonia School District",33.6,59.9,5.5,1.0
="Ashford School District",53.0,42.2,3.9,0.9
="Avon School District",92.7,5.4,1.3,0.6
="Barkhamsted School District",72.2,24.3,3.5,0.1
="Berlin School District",80.3,17.6,1.8,0.3
="Bethany School District",78.9,17.7,3.4,0.1
="Bethel School District",75.0,23.1,1.8,0.1
="Bloomfield School District",79.1,17.3,2.8,0.8
="Bolton School District",66.3,28.6,1.3,3.9
="Bozrah School District",68.0,29.0,2.9,0.1
="Branford School District",91.5,5.9,2.3,0.3
="Bridgeport Achievement First District",0.0,75.5,13.3,11.2
="Bridgeport School District",19.5,69.7,9.8,1.0
="Bristol School District",51.4,44.4,3.6,0.7
="Brookfield School District",91.5,6.7,1.9,0.0
="Brooklyn School District",49.7,47.3,3.0,0.0
="Canaan School District",90.9,6.7,2.3,0.0
="Canterbury School District",48.1,49.5,2.4,0.0
="Canton School District",80.1,17.4,1.5,1.0
="Chaplin School District",59.8,35.5,3.2,1.4
="Charter School for Young Children on Asylum Hill District",0.0,78.9,4.5,16.6
="Cheshire School District",79.8,17.0,2.5,0.7
="Chester School District",86.9,9.9,2.9,0.3
="Clinton School District",75.0,22.7,2.3,0.0
="Colchester School District",55.5,41.9,2.2,0.4
="Colebrook School District",82.7,13.6,3.4,0.3
="Columbia School District",74.0,24.3,1.6,0.2
="Common Ground High School District",1.8,68.5,13.9,15.8
="Cornwall School District",94.6,3.9,1.3,0.2
="Coventry School District",57.2,40.2,2.0,0.6
="Cromwell School District",77.7,19.1,2.7,0.6
="Danbury School District",70.1,24.4,4.7,0.8
="Darien School District",92.2,6.5,1.3,0.1
="Deep River School District",73.8,22.8,3.3,0.0
="Derby School District",53.0,41.9,5.1,0.0
="East Granby School District",86.5,12.1,1.3,0.0
="East Haddam School District",70.9,23.7,1.8,3.6
="East Hampton School District",65.4,32.5,2.0,0.1
="East Hartford School District",38.1,51.6,6.7,3.5
="East Haven School District",50.9,40.4,2.4,6.3
="East Lyme School District",71.0,19.9,1.7,7.4
="East Windsor School District",65.2,32.0,2.3,0.5
="Eastford School District",63.9,33.2,2.5,0.4
="Easton School District",92.4,5.0,1.9,0.7
="Ellington School District",63.1,34.8,2.0,0.2
="Elm City College Preparatory School District",0.0,72.2,7.9,20.0
="Enfield School District",56.1,39.5,4.1,0.3
="Essex School District",93.5,3.7,2.7,0.0
="Explorations District",0.0,79.1,2.2,18.7
="Fairfield School District",93.8,4.4,1.8,0.0
="Farmington School District",91.5,5.6,1.7,1.2
="Franklin School District",73.5,24.2,2.0,0.3
="Glastonbury School District",87.9,9.5,2.2,0.4
="Granby School District",73.5,22.3,1.5,2.7
="Greenwich School District",94.5,3.3,1.9,0.3
="Griswold School District",42.4,46.3,3.6,7.7
="Groton School District",60.7,36.4,2.7,0.2
="Guilford School District",89.5,8.5,1.8,0.1
="Hamden School District",71.3,25.7,2.9,0.0
="Hampton School District",58.6,38.1,1.8,1.6
="Hartford School District",26.5,64.7,7.9,1.0
="Hartland School District",67.0,30.8,1.8,0.4
="Hebron School District",64.9,33.2,1.9,0.0
="Highville Charter School District",0.0,92.0,7.6,0.3
="Integrated Day Charter School District",0.0,82.4,8.1,9.4
="Interdistrict School for Arts and Comm District",0.0,77.4,8.9,13.7
="Jumoke Academy District",0.0,84.7,11.6,3.7
="Kent School District",94.8,3.5,1.6,0.0
="Killingly School District",47.0,46.8,3.1,3.2
="Lebanon School District",50.4,37.4,2.0,10.2
="Ledyard School District",53.5,40.1,2.3,4.2
="Lisbon School District",52.5,43.8,2.3,1.3
="Litchfield School District",87.6,9.5,2.4,0.6
="Madison School District",91.6,5.9,1.9,0.7
="Manchester School District",61.4,32.3,4.9,1.5
="Mansfield School District",63.9,33.5,2.4,0.2
="Marlborough School District",73.4,24.7,1.8,0.0
