"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",138,126,91.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",15,10,66.7,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",215,211,98.1,"*","*","*","*"
"Avon School District","Avon High School","Special Education",31,26,83.9,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",178,172,96.6,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",31,25,80.6,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",186,181,97.3,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",28,24,85.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",109,102,93.6,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Special Education",23,13,56.5,6,26.1,"*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",24,24,100.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education",13,11,84.6,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",65,65,100.0,"*","*","*","*"
"Bolton School District","Bolton High School","Special Education",10,8,80.0,"*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",210,198,94.3,"*","*","*","*"
"Branford School District","Branford High School","Special Education",26,19,73.1,"*","*","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-Special Education","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Special Education","*","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",236,140,59.3,35,14.8,61,25.8
"Bridgeport School District","Bassick High School","Special Education",51,31,60.8,8,15.7,12,23.5
"Bridgeport School District","Central High School","Non-Special Education",471,369,78.3,22,4.7,80,17.0
"Bridgeport School District","Central High School","Special Education",50,31,62.0,9,18.0,10,20.0
"Bridgeport School District","Harding High School","Non-Special Education",269,149,55.4,22,8.2,98,36.4
"Bridgeport School District","Harding High School","Special Education",51,24,47.1,11,21.6,16,31.4
"Bristol School District","Bristol Central High School","Non-Special Education",257,217,84.4,8,3.1,32,12.5
"Bristol School District","Bristol Central High School","Special Education",46,31,67.4,6,13.0,9,19.6
"Bristol School District","Bristol Eastern High School","Non-Special Education",270,242,89.6,8,3.0,20,7.4
"Bristol School District","Bristol Eastern High School","Special Education",38,25,65.8,6,15.8,7,18.4
"Brookfield School District","Brookfield High School","Non-Special Education",207,202,97.6,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",22,19,86.4,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",116,114,98.3,"*","*","*","*"
"Canton School District","Canton High School","Special Education",12,10,83.3,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education",44,36,81.8,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education",6,"*","*","*","*","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","Non-Special Education",39,38,97.4,"*","*","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",102,95,93.1,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education",9,6,66.7,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",75,72,96.0,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education",6,6,100.0,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-Special Education",32,29,90.6,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Special Education","*","*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",342,342,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",32,29,90.6,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",141,131,92.9,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",19,14,73.7,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",191,183,95.8,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",28,26,92.9,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",169,165,97.6,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",22,21,95.5,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",188,181,96.3,"*","*",7,3.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education",6,"*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",123,119,96.7,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",11,11,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",106,95,89.6,"*","*",10,9.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education",15,14,93.3,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",83,80,96.4,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",23,21,91.3,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",112,112,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education",13,13,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",170,169,99.4,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",125,120,96.0,"*","*","*","*"
