"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Race"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Race","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",21,15,71.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",15,10,66.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",14,10,71.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",19,14,73.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",8,6,75.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",19,14,73.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic",6,"*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",13,9,69.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",21,15,71.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",15,10,66.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",21,15,71.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",204,156,76.5,12,5.9,36,17.6
"Ansonia School District","Ansonia High School","Black",41,23,56.1,"*","*",13,31.7
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",86,56,65.1,6,7.0,24,27.9
"Ansonia School District","Ansonia High School","Eligible For Lunch",131,91,69.5,10,7.6,30,22.9
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",45,35,77.8,"*","*",6,13.3
"Ansonia School District","Ansonia High School","Female",99,82,82.8,"*","*",13,13.1
"Ansonia School District","Ansonia High School","High Needs",141,99,70.2,11,7.8,31,22.0
"Ansonia School District","Ansonia High School","Hispanic",45,31,68.9,"*","*",12,26.7
"Ansonia School District","Ansonia High School","Male",105,74,70.5,8,7.6,23,21.9
"Ansonia School District","Ansonia High School","Non-ELL",194,150,77.3,11,5.7,33,17.0
"Ansonia School District","Ansonia High School","Non-High Needs",63,57,90.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",159,125,78.6,10,6.3,24,15.1
"Ansonia School District","Ansonia High School","Non-Special Education",180,140,77.8,10,5.6,30,16.7
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",73,65,89.0,"*","*",6,8.2
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL",10,6,60.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",24,16,66.7,"*","*",6,25.0
"Ansonia School District","Ansonia High School","White",116,100,86.2,"*","*",11,9.5
"Avon School District","Avon High School","All Students",284,274,96.5,6,2.1,"*","*"
"Avon School District","Avon High School","Black",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",11,9,81.8,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Female",141,138,97.9,"*","*","*","*"
"Avon School District","Avon High School","High Needs",45,39,86.7,"*","*","*","*"
