"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",29,17,58.6,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",165,121,73.3,15,9.1,"*","*"
"Ansonia School District","Ansonia High School","Special Education",18,8,44.4,6,33.3,"*","*"
"Avon School District","Avon High School","Non-Special Education",229,222,96.9,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,21,84.0,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",232,219,94.4,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",28,25,89.3,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",221,215,97.3,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",24,16,66.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",147,115,78.2,15,10.2,17,11.6
"Bloomfield School District","Bloomfield High School","Special Education",24,12,50.0,9,37.5,"*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,237,96.3,"*","*","*","*"
"Branford School District","Branford High School","Special Education",28,23,82.1,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",289,183,63.3,19,6.6,87,30.1
"Bridgeport School District","Bassick High School","Special Education",52,25,48.1,8,15.4,19,36.5
"Bridgeport School District","Central High School","Non-Special Education",569,427,75.0,65,11.4,77,13.5
"Bridgeport School District","Central High School","Special Education",34,18,52.9,9,26.5,7,20.6
"Bridgeport School District","Harding High School","Non-Special Education",377,183,48.5,52,13.8,142,37.7
"Bridgeport School District","Harding High School","Special Education",58,13,22.4,12,20.7,33,56.9
"Bristol School District","Bristol Central High School","Non-Special Education",299,229,76.6,22,7.4,48,16.1
"Bristol School District","Bristol Central High School","Special Education",33,16,48.5,8,24.2,"*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",332,268,80.7,26,7.8,38,11.4
"Bristol School District","Bristol Eastern High School","Special Education",36,29,80.6,6,16.7,"*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",253,241,95.3,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",10,10,100.0,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",102,98,96.1,"*","*","*","*"
"Canton School District","Canton High School","Special Education",16,14,87.5,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",105,93,88.6,"*","*",8,7.6
"Capitol Region Education Council","Great Path Academy at MCC","Special Education",13,10,76.9,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",60,47,78.3,"*","*",11,18.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",101,91,90.1,"*","*",7,6.9
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",329,324,98.5,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",36,26,72.2,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",125,116,92.8,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",19,17,89.5,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",224,210,93.8,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",25,21,84.0,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education",30,27,90.0,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education",8,6,75.0,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",144,133,92.4,"*","*",11,7.6
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",188,177,94.1,"*","*",11,5.9
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",94,89,94.7,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",8,7,87.5,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",118,96,81.4,"*","*",22,18.6
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",113,108,95.6,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",12,12,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",114,105,92.1,"*","*",7,6.1
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",165,162,98.2,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",17,15,88.2,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",118,105,89.0,"*","*",13,11.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",11,10,90.9,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",134,121,90.3,"*","*",12,9.0
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",26,25,96.2,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",127,125,98.4,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",101,99,98.0,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Special Education",10,10,100.0,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",172,160,93.0,"*","*",10,5.8
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education",19,17,89.5,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",183,174,95.1,"*","*",7,3.8
"Connecticut Technical High School System","Platt Technical High School","Special Education",17,17,100.0,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",114,105,92.1,"*","*",9,7.9
"Connecticut Technical High School System","Vinal Technical High School","Special Education",21,20,95.2,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",151,143,94.7,"*","*",6,4.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-Special Education",118,113,95.8,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Special Education",8,7,87.5,"*","*","*","*"
"Coventry School District","Coventry High School","Non-Special Education",133,125,94.0,"*","*","*","*"
"Coventry School District","Coventry High School","Special Education",19,12,63.2,"*","*","*","*"
"Cromwell School District","Cromwell High School","Non-Special Education",147,145,98.6,"*","*","*","*"
"Cromwell School District","Cromwell High School","Special Education",20,14,70.0,"*","*","*","*"
"Danbury School District","Danbury High School","Non-Special Education",653,532,81.5,49,7.5,72,11.0
"Danbury School District","Danbury High School","Special Education",66,40,60.6,17,25.8,9,13.6
"Darien School District","Darien High School","Non-Special Education",291,281,96.6,"*","*","*","*"
"Darien School District","Darien High School","Special Education",35,32,91.4,"*","*","*","*"
"Derby School District","Derby High School","Non-Special Education",116,"*","*","*","*","*","*"
"Derby School District","Derby High School","Special Education",6,"*","*","*","*","*","*"
"East Granby School District","East Granby High School","Non-Special Education",69,67,97.1,"*","*","*","*"
"East Granby School District","East Granby High School","Special Education",7,6,85.7,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-Special Education","*","*","*","*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Special Education","*","*","*","*","*","*","*"
"East Hampton School District","East Hampton High School","Non-Special Education",125,118,94.4,"*","*","*","*"
"East Hampton School District","East Hampton High School","Special Education",11,9,81.8,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-Special Education",33,33,100.0,"*","*","*","*"
"East Hartford School District","East Hartford High School","Non-Special Education",481,391,81.3,34,7.1,56,11.6
"East Hartford School District","East Hartford High School","Special Education",56,39,69.6,"*","*","*","*"
"East Haven School District","East Haven High School","Non-Special Education",268,237,88.4,"*","*","*","*"
"East Haven School District","East Haven High School","Special Education",22,16,72.7,"*","*","*","*"
"East Lyme School District","East Lyme High School","Non-Special Education",289,279,96.5,"*","*","*","*"
"East Lyme School District","East Lyme High School","Special Education",35,33,94.3,"*","*","*","*"
"East Windsor School District","East Windsor High School","Non-Special Education",81,66,81.5,"*","*","*","*"
"East Windsor School District","East Windsor High School","Special Education",12,10,83.3,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-Special Education","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-Special Education",36,28,77.8,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Special Education","*","*","*","*","*","*","*"
"Ellington School District","Ellington High School","Non-Special Education",165,156,94.5,"*","*","*","*"
"Ellington School District","Ellington High School","Special Education",16,15,93.8,"*","*","*","*"
"Enfield School District","Enfield High School","Non-Special Education",212,177,83.5,13,6.1,22,10.4
"Enfield School District","Enfield High School","Special Education",30,17,56.7,"*","*","*","*"
"Enfield School District","Enrico Fermi High School","Non-Special Education",258,220,85.3,18,7.0,20,7.8
"Enfield School District","Enrico Fermi High School","Special Education",18,12,66.7,"*","*","*","*"
"Explorations District","Explorations","Non-Special Education",24,"*","*","*","*","*","*"
"Explorations District","Explorations","Special Education",10,"*","*","*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-Special Education",321,307,95.6,6,1.9,8,2.5
"Fairfield School District","Fairfield Ludlowe High School","Special Education",30,23,76.7,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-Special Education",277,265,95.7,6,2.2,6,2.2
