"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",29,17,58.6,"*","*","*","*"
"Ansonia School District","Ansonia High School",183,129,70.5,21,11.5,33,18.0
"Avon School District","Avon High School",254,243,95.7,"*","*","*","*"
"Berlin School District","Berlin High School",260,244,93.8,"*","*","*","*"
"Bethel School District","Bethel High School",245,231,94.3,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",171,127,74.3,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",13,12,92.3,"*","*","*","*"
"Bolton School District","Bolton High School",73,69,94.5,"*","*","*","*"
"Branford School District","Branford High School",274,260,94.9,7,2.6,7,2.6
"Bridgeport School District","Bassick High School",341,208,61.0,27,7.9,106,31.1
"Bridgeport School District","Central High School",603,445,73.8,74,12.3,84,13.9
"Bridgeport School District","Harding High School",435,196,45.1,64,14.7,175,40.2
"Bristol School District","Bristol Central High School",332,245,73.8,30,9.0,57,17.2
"Bristol School District","Bristol Eastern High School",368,297,80.7,32,8.7,39,10.6
"Brookfield School District","Brookfield High School",263,251,95.4,"*","*","*","*"
"Canton School District","Canton High School",118,112,94.9,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",118,103,87.3,6,5.1,9,7.6
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",62,49,79.0,"*","*",11,17.7
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",103,93,90.3,"*","*",7,6.8
"Cheshire School District","Cheshire High School",365,350,95.9,"*","*","*","*"
"Clinton School District","The Morgan School",144,133,92.4,"*","*","*","*"
"Colchester School District","Bacon Academy",249,231,92.8,12,4.8,6,2.4
"Common Ground High School District","Common Ground High School",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",151,140,92.7,"*","*",11,7.3
"Connecticut Technical High School System","Bullard-Havens Technical High School",193,182,94.3,"*","*",11,5.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School",102,96,94.1,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",123,100,81.3,"*","*",23,18.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",125,120,96.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",121,112,92.6,"*","*",7,5.8
"Connecticut Technical High School System","H. C. Wilcox Technical High School",182,177,97.3,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",129,115,89.1,"*","*",14,10.9
