"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",21,15,71.4,"*","*","*","*"
"Ansonia School District","Ansonia High School",204,156,76.5,12,5.9,36,17.6
"Avon School District","Avon High School",284,274,96.5,"*","*","*","*"
"Berlin School District","Berlin High School",261,249,95.4,"*","*","*","*"
"Bethel School District","Bethel High School",237,225,94.9,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",168,140,83.3,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",16,13,81.3,"*","*","*","*"
"Bolton School District","Bolton High School",73,66,90.4,"*","*","*","*"
"Branford School District","Branford High School",251,239,95.2,"*","*","*","*"
"Bridgeport School District","Bassick High School",310,148,47.7,30,9.7,132,42.6
"Bridgeport School District","Central High School",570,447,78.4,52,9.1,71,12.5
"Bridgeport School District","Harding High School",357,236,66.1,22,6.2,99,27.7
"Bristol School District","Bristol Central High School",332,286,86.1,21,6.3,25,7.5
"Bristol School District","Bristol Eastern High School",290,250,86.2,14,4.8,26,9.0
"Brookfield School District","Brookfield High School",254,247,97.2,"*","*","*","*"
"Canton School District","Canton High School",118,115,97.5,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",79,64,81.0,"*","*",15,19.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",99,87,87.9,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",76,71,93.4,"*","*","*","*"
"Cheshire School District","Cheshire High School",395,389,98.5,"*","*","*","*"
"Clinton School District","The Morgan School",122,113,92.6,"*","*","*","*"
"Colchester School District","Bacon Academy",244,231,94.7,"*","*","*","*"
"Common Ground High School District","Common Ground High School",31,28,90.3,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",168,156,92.9,"*","*",11,6.5
"Connecticut Technical High School System","Bullard-Havens Technical High School",206,195,94.7,"*","*",11,5.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School",129,120,93.0,"*","*",8,6.2
"Connecticut Technical High School System","Eli Whitney Technical High School",125,115,92.0,"*","*",10,8.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",155,146,94.2,"*","*",9,5.8
"Connecticut Technical High School System","Emmett O'Brien Technical High School",133,129,97.0,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School",206,200,97.1,"*","*",6,2.9
"Connecticut Technical High School System","H. H. Ellis Technical High School",131,126,96.2,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",161,156,96.9,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School",144,140,97.2,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",153,148,96.7,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",162,158,97.5,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",216,210,97.2,"*","*",6,2.8
